'Virgin Forest','Forest', 'none', 'none','none, 'Albright Grove Loop',0.7,65.73461914
'Giant Tuliptree','Big trees',35.73480039,-83.27970869,1002.487732, 'Albright Grove Loop',0.7,65.73461914
'Big Trees','Big trees','none','none','none', 'Brushy Mountain',4.9,830.94
'Views','View','none','none','none','Brushy Mountain',4.9,830.94
'Forest Scenes', 'Forest','none','none','none', 'Camel Gap',4.1,451.34
'Stream Views', 'Stream','none','none','none', 'Camel Gap',4.1,451.34
'Big Trees','Big trees', 'none', 'none','none', 'Gabes Mountain',6.6,293.12
'Old-growth forest','Old-growth forest','none','none','none', 'Gabes Mountain',6.6,293.12
'Hen-Wallow Falls','Waterfall',35.7598785022,-83.2375267811,870.479736328, 'Gabes Mountain',6.6,293.12
'Campsite #34', 'Campsite',35.7503369996,-83.2546313856,951.196655273, 'Gabes Mountain',6.6,293.12
'Cultural history sites','Historical sites','none','none','none','Grapeyard Ridge Trail',7.7,402.64
'Broken Engine','Historical sites',35.7012766828,-83.4217178317,760.565612793,'Grapeyard Ridge Trail',7.7,402.64
'Campsite #32', 'Campsite',35.7063274849,-83.4210905318,694.30279541,'Grapeyard Ridge Trail',7.7,402.64
'Forest scene','Forest','none','none','none','Low Gap',5.4,618.79
'Big Trees','Big trees','none','none','none','Low Gap',5.4,618.79
'Early Settlemet','Early settlement', 'none', 'none','none', 'Low Gap',5.4,618.79
'Campsite #37', 'Campsite',35.7179892964,-83.1653525574,922.28515625,'Low Gap',5.4,618.79
'Views','View','none','none','none', 'Lower Mt. Cammerer',7.5,362.51
'Creeks', 'Stream','none','none','none', 'Lower Mt. Cammerer',7.5,362.51
'Sutton Ridge','Overlook',35.7639776038,-83.1952134689,782.444580078, 'Lower Mt. Cammerer',7.5,362.51
'Campsite #35', 'Campsite',35.7724224071,-83.1795469648,801.261535645, 'Lower Mt. Cammerer',7.5,362.51
'Virgin Forest', 'Forest', 'none', 'none', 'none', 'Maddron Bald',7.2,1080.82
'View From Bald','View',35.755620801,-83.2714819908,737.049377441, 'Maddron Bald',7.2,1080.82
'Campsite #29','Campsite',35.7299552954,-83.2537023841,1384.89660645, 'Maddron Bald',7.2,1080.82
'Exposed Cliff', 'View',35.763538706,-83.1612001589,1499.79003906, 'Mt. Cammerer',0.6,27.78
'Historical Sites','Historical sites', 'none','none','none','Old Settlers Trail',15.8,391.20
'Copeland Divide','Historical sites',35.763538706,-83.1612001589,1499.79003906, 'Old Settlers Trail',15.8,391.20
'Chimney','Historical sites',35.7244065903,-83.3773449201,666.412658691,'Old Settlers Trail',15.8,391.20
'Cemetary','Historical sites',35.7448058927,-83.3749280206,438.094116211,'Old Settlers Trail',15.8,391.20
'Texas Creek','Stream',35.7433448958,-83.3128043023,769.608032227,'Old Settlers Trail',15.8,391.20
'Snag Mountain', 'Overlook',35.749977898,-83.2931279969,776.117675781,'Old Settlers Trail',15.8,391.20
'Campsite #33', 'Campsite',35.7487915957,-83.3446643119,597.394470215,'Old Settlers Trail',15.8,391.20
'Fern Branch Falls','Waterfall', 35.6967998822,-83.3882120216,'Greenbrier/Cosby Area', 'Porters Creek',3.7,467.18
'Campsite #31', 'Campsite',35.6865319817,-83.3968470235,'Greenbrier/Cosby Area', 'Porters Creek',3.7,467.18
'Wildflowers','Flowers', 'none','none','Greenbrier/Cosby Area', 'Porters Creek',3.7,467.18
'Virgin Forest','Forest','none','none','none','Ramseys Cascade',4.0,671.76
'Cascades','Waterfall',35.7085318891,-83.3001480965,1301.22631836,'Ramseys Cascade',4.0,671.76
'Big Tupliptree','Big trees',35.7085318891,-83.3001480965,1301.22631836,'Ramseys Cascade',4.0,671.76
'Views','View', 'none', 'none','none','Snake Den Ridge',5.3,1044.92
'Old-Growth Forest','Old-growth forest','none','none','none', 'Snake Den Ridge',5.3,1044.92
'Inadu Creek', 'Waterfall',35.7045735871,-83.330150005,848.583862305,'Snake Den Ridge',5.3,1044.92
'Forest variety','Forest','none','none','none','Gunter Fork',4.1,711.42
'Creek scenes','Stream','none','none','none','Gunter Fork',4.1,711.42
'Cascade','Waterfall',35.6958078896,-83.195818865,1206.78308105,'Gunter Fork',4.1,711.42
'Views','View','none','none','none', 'Trillium Gap',6.5,985.57
'Diverse plant life','Forest','none','none','none','Trillium Gap',6.5,985.57
