'Albright Grove Loop', 0.7, 65.73, 1, 'none',true,'Greenbrier/Cosby Area'
'Brushy Mountain', 4.9, 830.94, 3,'none',false,'Greenbrier/Cosby Area'
'Camel Gap', 4.1, 451.34, 2, 'none',false, 'Greenbrier/Cosby Area'
'Gabes Mountain', 6.6, 293.12, 1, 'none',false,'Greenbrier/Cosby Area'
'Grapeyard Ridge Trail', 7.7, 402.64, 2, 'none',false,'Greenbrier/Cosby Area','Gatlinburg/Le Conte Area'
'Low Gap', 5.4, 618.79, 2, 'none',false, 'Greenbrier/Cosby Area'
'Lower Mt. Cammerer', 7.5, 362.51, 2, 'none',false, 'Greenbrier/Cosby Area'
'Maddron Bald', 7.2, 1080.82, 1, 'none',false, 'Greenbrier/Cosby Area'
'Mt. Cammerer', 0.6, 27.78, 2, 'none',false, 'Greenbrier/Cosby Area'
'Old Settlers Trail', 15.8, 391.20, 1, 'none',false, 'Greenbrier/Cosby Area'
'Porters Creek', 3.7, 467.18, 3, 'none',false, 'Greenbrier/Cosby Area'
'Ramseys Cascade', 4.0, 671.76, 1, 'none',false, 'Greenbrier/Cosby Area'
'Snake Den Ridge', 5.3, 1044.92, 2, 'none',false, 'Greenbrier/Cosby Area'
'Gunter Fork', 4.1, 711.42, 1, 'none',false, 'Cataloochee/Big Creek Area' ,'Greenbrier/Cosby Area'
'Trillium Gap', 6.5, 985.57, 2, 'none',false, 'Gatlinburg/Le Conte Area','Greenbrier/Cosby Area'
'AT_S0', 16.61, 1025.007, 2, 'Segment one of the AT in the smokey mountains',false, 'Fontana Lake - Clingmans Dome Area'
'AT_S1', 11.91, 359.5465, 2, 'Segment two of the AT in the smokey mountains',false, 'Fontana Lake - Clingmans Dome Area'
'AT_S2', 10.01, 419.9082, 2, 'Segment three of the AT in the smokey mountains',false, 'Fontana Lake - Clingmans Dome Area','Gatlinburg/Le Conte Area'
'AT_S3', 6.05, 348.9146,  2, 'Segment four of the AT in the smokey mountains',false, 'Gatlinburg/Le Conte Area', 'Oconaluftee Area'
'AT_S4', 17.00, 499.952,  2, 'Segment five of the AT in the smokey mountains',false, 'Oconaluftee Area', 'Greenbrier/Cosby Area'
'AT_S5', 9.50, 935.9216,  2, 'Segment six of the AT in the smokey mountains',false, 'Greenbrier/Cosby Area', 'Cataloochee/Big Creek Area'
