lat,lng,ele
35.4526097271,-83.5503413547,550.715393066
35.4526231261,-83.5503165547,550.910217285
35.4526369271,-83.5502919547,551.057861328
35.4526512261,-83.5502677546,551.198059082
35.4526658261,-83.5502439546,551.33581543
35.4526794271,-83.5502209546,551.362792969
35.4526925271,-83.5501974546,551.352111816
35.4527063251,-83.5501745546,551.458862305
35.4527218261,-83.5501533546,551.786010742
35.4527402251,-83.5501361546,552.234191895
35.4527624261,-83.5501262546,553.027709961
35.4527858271,-83.5501218546,554.332763672
35.4528092251,-83.5501170546,555.822387695
35.4528310261,-83.5501059546,557.102783203
35.4528485251,-83.5500867546,557.608703613
35.4528633261,-83.5500643546,557.600036621
35.4528774261,-83.5500413546,557.622619629
35.4528925261,-83.5500150546,557.719970703
35.4529062261,-83.5499875546,557.72467041
35.4529196261,-83.5499600546,557.780761719
35.4529338271,-83.5499329546,557.883117676
35.4529463251,-83.5499108546,557.992248535
35.4529592261,-83.5498890546,558.206665039
35.4529723261,-83.5498673546,558.363952637
35.4529857261,-83.5498460545,558.567199707
35.4529992262,-83.5498248545,558.665466309
35.4530135262,-83.5498027545,558.778686523
35.4530280262,-83.5497808545,558.758544922
35.4530428252,-83.5497591545,558.675231934
35.4530580262,-83.5497377545,558.549377441
35.4530737262,-83.5497170545,558.605224609
35.4530917252,-83.5496951545,558.842895508
35.4531104262,-83.5496739545,558.972595215
35.4531293262,-83.5496529545,558.889709473
35.4531476272,-83.5496312545,558.875854492
35.4531644262,-83.5496103545,559.050231934
35.4531811262,-83.5495893545,559.354003906
35.4531972252,-83.5495676545,559.363647461
35.4532125252,-83.5495451545,559.082336426
35.4532271262,-83.5495184545,558.357666016
35.4532401262,-83.5494903545,557.739990234
35.4532533262,-83.5494626544,557.522521973
35.4532689262,-83.5494367544,557.455078125
35.4532874262,-83.5494151544,557.48223877
35.4533079262,-83.5493962544,557.61340332
35.4533292252,-83.5493787544,557.552612305
35.4533502272,-83.5493607544,557.323791504
35.4533700272,-83.5493408544,557.282653809
35.4533868263,-83.5493198544,557.467529297
35.4534026273,-83.5492978544,557.712463379
35.4534184263,-83.5492759544,557.687805176
35.4534350263,-83.5492547544,557.490722656
35.4534506253,-83.5492362544,557.267578125
35.4534665273,-83.5492180544,557.141540527
35.4534827263,-83.5492005544,557.138977051
35.4534998253,-83.5491839544,557.067749023
35.4535179263,-83.5491692544,556.999328613
35.4535389263,-83.5491564544,557.067382812
35.4535609253,-83.5491464544,557.134277344
35.4535833263,-83.5491377544,557.153015137
35.4536055263,-83.5491286544,557.223876953
35.4536271263,-83.5491175544,557.263122559
35.4536478253,-83.5491038544,557.364501953
35.4536677263,-83.5490885544,557.40435791
35.4536873263,-83.5490727544,557.320251465
35.4537072273,-83.5490574544,557.34362793
35.4537279263,-83.5490436544,557.433837891
35.4537485253,-83.5490335544,557.578430176
35.4537697263,-83.5490250544,557.698974609
35.4537906273,-83.5490155544,557.806762695
35.4538099264,-83.5490021543,557.945068359
35.4538255254,-83.5489822543,558.050048828
35.4538380264,-83.5489592543,558.080810547
35.4538505264,-83.5489360543,558.104492188
35.4538658264,-83.5489158543,558.156982422
35.4538856254,-83.5488984543,558.22668457
35.4539069274,-83.5488840543,558.296264648
35.4539298264,-83.5488737543,558.401184082
35.4539523274,-83.5488718543,558.554443359
35.4539748264,-83.5488756543,558.703796387
35.4539973264,-83.5488793543,558.934692383
35.4540198254,-83.5488766543,559.19317627
35.4540422254,-83.5488610543,559.328857422
35.4540622274,-83.5488406543,559.392333984
35.4540841264,-83.5488235543,559.452819824
35.4541077254,-83.5488144543,559.597167969
35.4541321264,-83.5488089543,559.76965332
35.4541566254,-83.5488038543,559.917236328
35.4541793254,-83.5487995543,560.034667969
35.4542022274,-83.5487963543,560.18371582
35.4542250254,-83.5487921543,560.35949707
35.4542471265,-83.5487846543,560.464233398
35.4542690275,-83.5487715543,560.452331543
35.4542894265,-83.5487551543,560.444580078
35.4543092265,-83.5487376543,560.417663574
35.4543296265,-83.5487211543,560.397888184
35.4543525255,-83.5487054543,560.431152344
35.4543758255,-83.5486904543,560.456115723
35.4543988255,-83.5486750543,560.49810791
35.4544211275,-83.5486579543,560.497619629
35.4544402265,-83.5486412543,560.440246582
35.4544587265,-83.5486235543,560.390441895
35.4544763265,-83.5486045543,560.317138672
35.4544916265,-83.5485828543,560.219116211
35.4545059255,-83.5485599543,560.003417969
35.4545227265,-83.5485399543,559.846252441
35.4545429275,-83.5485266543,559.876647949
35.4545645265,-83.5485171543,559.976806641
35.4545865265,-83.5485089542,560.143859863
35.4546104255,-83.5485010542,560.322814941
35.4546346275,-83.5484947542,560.496704102
35.4546590265,-83.5484891542,560.68145752
35.4546816276,-83.5484841542,560.939331055
35.4547043276,-83.5484795542,561.189147949
