lat,lng,ele
35.5913371418,-83.8528665514,519.724975586
35.5913543438,-83.8529002514,519.718811035
35.5914274429,-83.8529452514,519.620117188
35.5915056429,-83.8529828515,519.582763672
35.5915400439,-83.8530254515,519.566833496
35.5915665439,-83.8530733515,518.982055664
35.5915867419,-83.8531649515,518.006408691
35.5915786429,-83.8532586515,517.897033691
35.5915509419,-83.8533486516,520.305969238
35.5915498429,-83.8533927516,522.009155273
35.5915148419,-83.8534479516,520.821350098
35.5914752418,-83.8535004516,519.564880371
35.5914714428,-83.8535673516,519.419311523
35.5914840428,-83.8536337516,519.435119629
35.5914975438,-83.8536998517,519.225036621
35.5915145418,-83.8537950517,519.25769043
35.5915356418,-83.8538893517,519.389465332
35.5915580428,-83.8539834517,519.233093262
35.5915787418,-83.8540778518,519.57409668
35.5915963418,-83.8541663518,519.440307617
35.5916137428,-83.8542549518,519.088562012
35.5916305418,-83.8543436519,518.788208008
35.5916464438,-83.8544325519,518.409973145
35.5916610428,-83.8545216519,518.857849121
35.5916742438,-83.8546109519,518.900085449
35.5916839418,-83.854693952,518.644287109
35.5916919428,-83.854777252,518.279907227
35.5917003428,-83.854860352,518.349975586
35.5917114428,-83.854943252,518.493469238
35.5917273418,-83.8550387521,518.695495605
35.5917453428,-83.8551337521,518.601623535
35.5917667428,-83.8552281521,519.918579102
35.5917925418,-83.8553214522,520.355407715
35.5918172428,-83.8553989522,520.835144043
35.5918442438,-83.8554756522,520.301635742
35.5918751428,-83.8555508522,519.81060791
35.5919115428,-83.8556235522,519.464660645
35.5919538429,-83.8556901523,519.610046387
35.5920018439,-83.8557528523,519.626159668
35.5920526439,-83.8558131523,519.663208008
35.5921039429,-83.8558731523,519.58416748
35.5921644429,-83.8559461524,519.427978516
35.5922253429,-83.8560186524,519.341247559
35.5922886429,-83.8560892524,519.049255371
35.5923560429,-83.8561558524,519.014526367
35.5924293429,-83.8562157525,518.555725098
35.5925100419,-83.8562647525,518.648925781
35.592595743,-83.8563045525,519.291992188
35.592682643,-83.8563414525,519.126831055
35.592767844,-83.8563823525,518.182006836
35.592838844,-83.8564251525,517.99230957
35.592907443,-83.8564716526,517.802368164
35.592976143,-83.8565181526,518.106384277
35.593047443,-83.8565604526,518.380310059
35.5931233421,-83.8565935526,518.476867676
35.5932055431,-83.8566106526,518.442199707
35.5932894441,-83.8566162526,518.109985352
35.5933734441,-83.8566217526,518.143432617
35.5934557431,-83.8566384526,518.826904297
35.5935323421,-83.8566704527,518.545410156
35.5936051442,-83.8567102527,517.808166504
35.5936767442,-83.8567524527,517.372314453
35.5937495432,-83.8567923527,517.155517578
35.5938329432,-83.8568294527,516.497070312
35.5939177442,-83.8568634527,516.294311523
35.5940009432,-83.8569008527,515.320129395
35.5940793432,-83.8569475528,515.911987305
35.5941356443,-83.8569983528,516.196044922
35.5941860433,-83.8570550528,516.224121094
35.5942380423,-83.8571103528,515.555908203
35.5942997433,-83.8571540528,514.865478516
35.5943821423,-83.8571685528,514.952392578
35.5944660433,-83.8571588528,515.360412598
35.5945496433,-83.8571473529,516.925476074
35.5946332444,-83.8571548529,517.827331543
35.5947103424,-83.8571902529,518.367248535
35.5947801434,-83.8572387529,518.850952148
35.5948449434,-83.8572939529,519.237670898
35.5949072424,-83.8573518529,519.690795898
35.5949696434,-83.857409553,520.816772461
35.5950336434,-83.857465253,521.948669434
35.5950969444,-83.857521653,522.960266113
35.5951561424,-83.857582253,523.630249023
35.5952073434,-83.857649753,524.42578125
35.5952536425,-83.8577340531,524.791870117
35.5952908435,-83.8578227531,525.155334473
35.5953203445,-83.8579142531,526.001953125
35.5953430445,-83.8580077531,526.337341309
35.5953551435,-83.8580888532,527.035827637
35.5953604435,-83.8581706532,527.742675781
35.5953615435,-83.8582526532,528.365112305
35.5953607435,-83.8583346532,528.703674316
35.5953603445,-83.8584166533,529.275512695
35.5953627434,-83.8585078533,530.49407959
35.5953653434,-83.8585989533,531.956176758
35.5953634434,-83.8586900534,532.604003906
35.5953517424,-83.8587804534,533.940368652
35.5953308434,-83.8588500534,535.578063965
35.5953048434,-83.8589180534,536.156616211
35.5952837434,-83.8589876534,535.580932617
35.5952703434,-83.8590529535,533.879333496
35.5952610434,-83.8591189535,533.124694824
35.5952609444,-83.8591855535,532.526245117
35.5952793434,-83.8592786535,530.360168457
35.5953198434,-83.8593641535,527.213500977
35.5953764434,-83.8594130536,525.377197266
35.5954440444,-83.8594458536,524.062561035
35.5955405444,-83.8594518536,523.77734375
35.5956360435,-83.8594304536,525.094238281
35.5957330425,-83.8594230536,525.805480957
35.5958148425,-83.8594474536,524.678771973
35.5958932435,-83.8594818536,522.573181152
35.5959743435,-83.8595088536,520.943786621
35.5960573446,-83.8595159536,520.180114746
35.5961404446,-83.8595097536,519.9453125
35.5962231446,-83.8594983536,519.377441406
35.5963060426,-83.8594893536,518.60168457
35.5963893446,-83.8594905536,517.243041992
35.5964771436,-83.8595026537,515.667419434
35.5965640437,-83.8595202537,514.089050293
35.5966494437,-83.8595439537,512.655639648
35.5967168437,-83.8595769537,511.417877197
35.5967821447,-83.8596141537,510.686065674
35.5968547427,-83.8596284537,511.067108154
35.5969176447,-83.8595876537,510.475097656
35.5969826437,-83.8595557537,509.246429443
35.5970248437,-83.8596069537,508.856872559
35.5970521448,-83.8596685537,509.887664795
35.5970689438,-83.8597407538,510.280059814
35.5970847448,-83.8598132538,509.493621826
35.5971374438,-83.8598952538,509.062011719
35.5972069428,-83.8599644538,509.469940186
35.5972685448,-83.8600404539,510.304901123
35.5973050428,-83.8601215539,510.252960205
35.5973349438,-83.8602054539,509.161346436
35.5973708428,-83.8602868539,508.461608887
35.5974167438,-83.860357154,508.636260986
35.5974694438,-83.860422554,508.653991699
35.5975253438,-83.860485254,508.368347168
35.5975810438,-83.860548154,508.238769531
35.5976431428,-83.8606202541,508.09286499
35.5977063448,-83.8606914541,507.955780029
35.5977706429,-83.8607617541,507.574157715
35.5978360439,-83.8608309541,507.717773438
35.5979025439,-83.8608990541,507.615081787
35.5979701439,-83.8609661542,507.102172852
35.5980388439,-83.8610319542,506.860321045
35.5981087449,-83.8610966542,506.855957031
35.5981694449,-83.8611515542,506.805114746
35.5982310439,-83.8612056543,507.148376465
35.5982941429,-83.8612577543,507.688751221
35.598364244,-83.8613093543,507.900238037
35.598436043,-83.8613584543,508.449707031
35.598506945,-83.8614087543,508.762329102
35.598566645,-83.8614540544,509.062835693
35.598625644,-83.8615002544,508.820495605
35.598683844,-83.8615474544,509.247436523
35.598756344,-83.8616140544,508.714141846
35.598825545,-83.8616840544,508.013946533
35.598896744,-83.8617520545,508.047424316
35.5989750441,-83.8618116545,507.723114014
35.5990279441,-83.8618418545,507.522949219
35.5990817441,-83.8618706545,507.002197266
35.5991449441,-83.8619044545,506.668670654
35.5992062431,-83.8619413545,506.564117432
35.5992737441,-83.8619973546,506.608062744
35.5993387441,-83.8620563546,506.377593994
35.5994011431,-83.8621057546,506.40512085
35.5994643452,-83.8621543546,506.67477417
35.5995244452,-83.8622064546,506.554046631
35.5995921442,-83.8622793547,506.441497803
35.5996549432,-83.8623565547,506.343597412
35.5997173442,-83.8624341547,506.805755615
35.5997671442,-83.8624946547,507.538146973
35.5998166432,-83.8625553547,508.110595703
35.5998661432,-83.8626160548,508.222930908
35.5999204452,-83.8626790548,507.969512939
35.5999747452,-83.8627421548,507.36819458
35.6000238442,-83.8628092548,506.410125732
35.6000612442,-83.8628842549,506.165893555
35.6000935442,-83.8629616549,506.940917969
35.6001356443,-83.8630339549,507.200408936
35.6002001433,-83.8630933549,507.621459961
35.6002681453,-83.8631490549,507.87008667
35.6003214443,-83.863202855,508.525787354
35.6003719443,-83.863259255,509.783233643
35.6004172443,-83.863319855,511.482727051
35.6004536443,-83.863380755,512.520507812
35.6004864433,-83.863443755,513.407043457
35.6005248433,-83.8635240551,514.118774414
35.6005591443,-83.8636062551,515.299926758
35.6005887433,-83.8636901551,516.581604004
35.6006134443,-83.8637704551,517.940979004
35.6006338443,-83.8638518552,518.99395752
35.6006459433,-83.8639349552,519.459777832
35.6006440433,-83.8640176552,519.621704102
35.6006420453,-83.8641003552,519.840515137
35.6006527443,-83.8641675553,521.189697266
35.6006690443,-83.8642336553,522.456970215
35.6006823453,-83.8643004553,523.66986084
35.6006902443,-83.8643802553,524.673950195
35.6006936443,-83.8644604554,525.702453613
35.6006939443,-83.8645406554,526.71887207
35.6006927443,-83.8646208554,527.966918945
35.6006912453,-83.8647055554,529.283874512
35.6006874453,-83.8647900555,530.491760254
35.6006777443,-83.8648741555,530.949462891
35.6006589453,-83.8649521555,531.229064941
35.6006328433,-83.8650279555,531.828552246
35.6006048443,-83.8651032555,531.173950195
35.6005803453,-83.8651796556,530.248962402
35.6005548433,-83.8652479556,530.221740723
35.6005293442,-83.8653162556,530.236999512
35.6005302432,-83.8653875556,531.846618652
35.6005829453,-83.8654445556,530.058898926
35.6006398433,-83.8654190556,527.387512207
35.6006839433,-83.8653709556,526.147277832
35.6007181433,-83.8653121556,526.027526855
35.6007498433,-83.8652518556,526.841491699
35.6007847443,-83.8652071556,526.499084473
35.6008239433,-83.8651662556,525.755493164
35.6008856433,-83.8651207556,524.782043457
35.6009521433,-83.8650825556,524.315673828
35.6010242454,-83.8650448555,525.97668457
35.6010980444,-83.8650105555,524.857055664
35.6011829444,-83.8649709555,523.468933105
35.6012710434,-83.8649394555,522.91986084
35.6013607454,-83.8649292555,521.639465332
35.6014511445,-83.8649329555,519.366271973
35.6015414435,-83.8649380555,518.010437012
35.6016406445,-83.8649389556,517.851989746
35.6017395435,-83.8649451556,517.475463867
35.6018114435,-83.8649579556,516.547485352
35.6018831445,-83.8649722556,517.296081543
35.6019819446,-83.8649868556,516.543457031
35.6020678446,-83.8650091556,515.42401123
35.6021510446,-83.8650399556,514.983032227
35.6022301436,-83.8650801556,514.262756348
35.6023029456,-83.8651307556,513.493530273
35.6023648446,-83.8651933557,511.826171875
35.6024261446,-83.8652565557,509.962280273
35.6024919447,-83.8653040557,509.423034668
35.6025591447,-83.8653495557,509.017028809
35.6026184437,-83.8653935557,508.10635376
35.6026740437,-83.8654419558,507.342529297
35.6027249447,-83.8655021558,505.957824707
35.6027702437,-83.8655667558,504.367858887
35.6028099447,-83.8656339558,502.653808594
35.6028481457,-83.8657019558,501.048797607
35.6028932437,-83.8657743559,499.717926025
35.6029398457,-83.8658457559,498.588348389
35.6029872447,-83.8659166559,497.55670166
35.6030428437,-83.8659955559,496.915466309
35.6030994447,-83.866073756,495.675689697
35.6031528448,-83.866154256,494.204986572
35.6031986448,-83.866240656,492.455841064
35.6032411448,-83.8663288561,490.696899414
