lat,lng,ele
35.645602155,-83.8052886407,593.935791016
35.645648457,-83.8054290408,593.128417969
35.645655956,-83.8054955408,592.382507324
35.645695956,-83.8055687408,592.044555664
35.645689357,-83.8056474409,592.061218262
35.645665755,-83.8057372409,592.701599121
35.645630456,-83.8058177409,593.783752441
35.6456050549,-83.8058869409,594.763061523
35.6456007559,-83.8059657409,595.957092285
35.6455820549,-83.806055641,596.566223145
35.6455821559,-83.806152041,597.704162598
35.6455929549,-83.806202041,598.287536621
35.6456250559,-83.806255741,599.091064453
35.6456714569,-83.8063099411,599.607910156
35.6457082549,-83.8063697411,599.934936523
35.645747356,-83.8064324411,600.073181152
35.645779255,-83.8064949411,600.472961426
35.645813256,-83.8065691411,601.411560059
35.645830655,-83.8066428412,601.704467773
35.645836357,-83.8067042412,601.429199219
35.645879456,-83.8067993412,602.86505127
35.645929956,-83.8068829412,604.006469727
35.645976556,-83.8069312413,604.873779297
35.646013356,-83.8069880413,604.727172852
35.646071655,-83.8070456413,605.734375
35.646089555,-83.8070958413,606.384521484
35.646097056,-83.8071838413,606.985168457
35.646095257,-83.8072597414,607.192993164
35.646097956,-83.8073474414,608.572937012
35.646093756,-83.8074291414,608.902038574
35.646098556,-83.8075285414,609.392150879
35.646075656,-83.8075891414,611.228942871
35.646032055,-83.8076197415,612.191650391
35.6459404559,-83.8076574415,612.596374512
35.6458985559,-83.8077173415,613.315856934
35.6458854559,-83.8077665415,614.143432617
35.6458790559,-83.8078364415,615.165161133
35.6458895559,-83.8078981415,616.180664062
35.6459314559,-83.8079434415,617.066833496
35.6459903559,-83.8079717416,617.95715332
35.646075656,-83.8080011416,619.065795898
35.646127356,-83.8080429416,618.582702637
35.646176656,-83.8080767416,618.648803711
35.646247455,-83.8080947416,620.350036621
35.646285155,-83.8081273416,620.963500977
35.646281756,-83.8081710416,621.429992676
35.646246956,-83.8082340416,622.108825684
35.646226355,-83.8082976417,623.458862305
35.646202957,-83.8083814417,624.143249512
35.646175956,-83.8085178417,624.499694824
35.6461540569,-83.8086369418,626.325012207
35.6461610569,-83.8087481418,627.502197266
35.6461945559,-83.8088428418,628.542785645
35.646239755,-83.8089329419,629.938903809
35.646286856,-83.8089746419,630.832458496
35.646350655,-83.8089865419,631.56451416
35.646412756,-83.8089828419,631.692443848
35.646502357,-83.8089246419,633.268554688
35.646540556,-83.8089230419,633.050415039
35.646570656,-83.8089621419,632.756286621
35.646590355,-83.8090358419,633.821289062
35.646602856,-83.8091122419,635.007019043
35.646610455,-83.809197142,636.154785156
35.646613355,-83.809276242,637.624267578
35.646611657,-83.809352142,639.016723633
35.646602256,-83.809445242,639.458190918
35.646621756,-83.8095335421,640.125183105
35.646655457,-83.8096331421,639.530883789
35.646701555,-83.8096990421,640.28137207
35.646763255,-83.8097964421,641.314819336
35.646874256,-83.8099622422,643.799316406
35.6469459571,-83.8100581422,644.568847656
35.6469708571,-83.8101175422,644.912658691
35.6469695561,-83.8101729423,645.432495117
35.646947257,-83.8102072423,645.852905273
35.646897556,-83.8102207423,646.106323242
35.646807257,-83.8102286423,647.388122559
35.646753456,-83.8102157423,647.90838623
35.646668056,-83.8102179423,649.369934082
35.646594455,-83.8102036422,649.285583496
35.646463455,-83.8101932422,649.798950195
35.6463669549,-83.8101690422,650.510375977
35.6462689559,-83.8101397422,651.293029785
35.6462056559,-83.8101302422,651.628967285
35.6460798569,-83.8101148422,652.754638672
35.6460063569,-83.8100992422,652.987426758
35.6459109558,-83.8100988422,654.515808105
35.6458346558,-83.8100990422,655.331054688
35.6457914558,-83.8101121422,656.17578125
35.6457452568,-83.8101484422,657.074890137
35.6457111548,-83.8101794422,657.032897949
35.6457074558,-83.8102348422,657.116394043
35.6457295558,-83.8103144422,657.511474609
35.6457398568,-83.8103791422,657.237365723
35.6457616548,-83.8104646423,656.506225586
35.6457835558,-83.8105501423,655.824890137
35.6458320558,-83.8106190423,657.27545166
35.6458509558,-83.8107278424,656.139099121
35.6458631558,-83.8108158424,655.300292969
35.6458363568,-83.8108903424,652.879638672
35.6458025548,-83.8109597424,652.321166992
35.6457532568,-83.8110311424,654.52532959
35.6456926548,-83.8110757424,655.448181152
35.6456258547,-83.8110763424,656.765258789
35.6455262557,-83.8110451424,658.220458984
35.6454364557,-83.8110309424,658.946533203
35.6453750557,-83.8110333424,659.502685547
35.6453199567,-83.8110429424,659.767822266
35.6452598567,-83.8110672424,660.066894531
35.6452017547,-83.8111032424,660.541809082
35.6451327546,-83.8111554424,660.593322754
35.6450907566,-83.8112182425,660.917236328
35.6450592546,-83.8112793425,660.534667969
35.6450432546,-83.8113517425,659.970031738
35.6450392556,-83.8114246425,659.38067627
35.6450461556,-83.8115359425,658.991760254
35.6450619556,-83.8116320426,659.233642578
35.6450649546,-83.8117081426,658.42755127
35.6450517556,-83.8117661426,657.682373047
35.6450264556,-83.8118236426,658.084899902
35.6449968566,-83.8118692426,658.156616211
35.6449411556,-83.8119024426,657.057800293
35.6448946546,-83.8119533427,658.086486816
35.6448482565,-83.8120014427,658.815124512
35.6447996565,-83.8120435427,658.773254395
35.6447648545,-83.8121007427,658.828796387
35.6447607545,-83.8121765427,660.010009766
35.6447449555,-83.8122374427,659.789978027
35.6447333555,-83.8123245428,659.481079102
35.6447367545,-83.8123860428,659.649291992
35.6447232565,-83.8124528428,659.475952148
35.6446905555,-83.8125275428,659.532104492
35.6446561565,-83.8125673428,659.538757324
35.6446330555,-83.8126395428,660.120483398
35.6446121545,-83.8127205429,660.120117188
35.6446001555,-83.8128254429,659.961425781
35.6445836545,-83.8129153429,659.729431152
35.6445863554,-83.8130060429,659.624633789
35.6446127545,-83.813097443,660.120056152
35.6446508555,-83.813201043,659.960021973
35.6446920545,-83.813275543,659.414611816
35.6447436555,-83.813318243,658.9765625
35.6448002565,-83.8133436431,658.667480469
35.6448679555,-83.8133739431,657.904052734
35.6449124565,-83.8133976431,657.70880127
35.6449552565,-83.8134426431,657.269287109
35.6449972545,-83.8134849431,657.092651367
35.6450436555,-83.8135362431,657.248657227
35.6450898565,-83.8136021431,657.270874023
35.6451408555,-83.8136623432,656.971679688
35.6451925555,-83.8136991432,656.223937988
35.6452494556,-83.8137128432,655.714660645
35.6452997566,-83.8137029432,656.069946289
35.6453644546,-83.8136906432,656.033081055
35.6454566556,-83.8136375432,656.298950195
35.6455169556,-83.8135908432,655.773864746
35.6455707556,-83.8135343432,654.842529297
35.6456129566,-83.8134627431,654.217834473
35.6457212557,-83.8133175431,653.097473145
35.6458433557,-83.8131961431,652.321838379
35.6459699567,-83.813083843,651.959228516
35.6460428567,-83.813027843,652.523132324
35.6460835558,-83.813020543,651.665222168
35.6461017558,-83.813056243,651.538391113
35.6461027558,-83.8131176431,652.910339355
35.6460805567,-83.8132512431,653.643310547
35.6460644557,-83.8134288432,654.337585449
35.6460663557,-83.8135545432,654.919494629
35.6460866547,-83.8136467432,655.565734863
35.6461131567,-83.8137353432,655.75378418
35.6461474557,-83.8138007433,655.84942627
35.6462011557,-83.8138493433,656.183166504
35.6462599558,-83.8138835433,656.493164062
35.6463182558,-83.8139381433,656.645202637
35.6463288568,-83.8139941433,658.42791748
35.6463035558,-83.8140574434,659.987792969
35.6462573548,-83.8140852434,658.715270996
35.6462172557,-83.8141353434,658.305175781
35.6461993557,-83.8141874434,659.033203125
35.6461763557,-83.8142537434,659.479736328
35.6461625557,-83.8143350434,659.978820801
35.6461061547,-83.8144002434,659.404052734
35.6460586557,-83.8144868435,660.686950684
35.6460361547,-83.8145380435,661.099060059
35.6459920547,-83.8145891435,660.788574219
35.6459600567,-83.8146288435,660.584899902
35.6459419557,-83.8146925435,661.049255371
35.6459374547,-83.8147828435,661.547241211
35.6459500557,-83.8148534436,661.770751953
35.6459674547,-83.8149271436,661.858154297
35.6460014557,-83.8150013436,662.171569824
35.6460305557,-83.8150841436,662.41595459
35.6460477557,-83.8151637437,662.57623291
35.6460670557,-83.8152578437,662.706298828
35.6460700547,-83.8153339437,662.868347168
35.6460466567,-83.8154120437,663.237792969
35.6460256546,-83.8154959438,664.000549316
35.6460022566,-83.8155798438,664.936462402
35.6459696566,-83.8156488438,665.331054688
35.6459227546,-83.8157144438,665.639099121
35.6458593566,-83.8157764438,665.98059082
35.6457882556,-83.8158586439,666.799682617
35.6457024566,-83.8159578439,667.427856445
35.6456399555,-83.8160308439,667.061706543
35.6455808555,-83.8161153439,667.212585449
35.6455402555,-83.8161784439,667.634277344
35.6455250555,-83.8162479439,668.196044922
35.6455068565,-83.816317244,667.729492188
35.6455024545,-83.816377844,666.891723633
35.6455151565,-83.816424544,666.418151855
35.6455538565,-83.816501844,665.924987793
35.6455856555,-83.816570244,665.238830566
35.6456361555,-83.8166538441,664.25402832
35.6456917555,-83.8167229441,663.614135742
35.6457334565,-83.8167740441,663.282043457
35.6457656555,-83.8168249441,663.349609375
35.6458006545,-83.8169445442,663.597229004
35.6457982555,-83.8170467442,663.366699219
35.6458075555,-83.8171739442,662.815734863
35.6458314555,-83.8172712443,662.040466309
35.6458679555,-83.8173455443,661.454284668
35.6459162565,-83.8174174443,660.563415527
35.6459629566,-83.8174628443,659.926452637
35.6460153566,-83.8174886443,659.056274414
35.6460694546,-83.8174905443,658.189208984
35.6461536556,-83.8174637443,657.108337402
35.6462313566,-83.8174050443,656.706176758
35.6463259566,-83.8173118443,655.849365234
35.6464221567,-83.8172044443,655.076171875
35.6465143557,-83.8171345443,654.405395508
35.6465835567,-83.8170890443,654.77557373
35.6466638547,-83.8170609443,654.234680176
35.6467388567,-83.8170197442,653.678466797
35.6468191548,-83.8169495442,653.146362305
35.6468959558,-83.8168710442,652.131103516
35.6469753568,-83.8167933442,650.873168945
35.6470614558,-83.8166819442,650.987365723
35.6471205548,-83.8166182442,650.789855957
35.6471609558,-83.8166080442,650.630981445
35.6472008558,-83.8166386442,650.092163086
35.6472140568,-83.8166858442,650.686218262
35.6472146558,-83.8167588442,650.833984375
35.6472072558,-83.8168725442,650.235656738
35.6471973558,-83.8169920443,649.462524414
35.6471976558,-83.8170797443,649.334472656
35.6472006568,-83.8171528443,649.143310547
35.6472060558,-83.8172289443,648.519836426
35.6472139558,-83.8172993444,647.599365234
35.6472432548,-83.8173705444,647.57409668
35.6472749558,-83.8174475444,647.744262695
