lat,lng,ele
35.7373357959,-83.2796163921,948.044189453
35.7373357959,-83.2796883922,948.289794922
35.7373243969,-83.2797594922,948.914550781
35.7372957959,-83.2798253922,949.534423828
35.7372356959,-83.2798635922,950.677429199
35.7371650958,-83.2798814922,952.11138916
35.7371046958,-83.2799194922,953.553527832
35.7370786948,-83.2800120922,954.709960938
35.7370560958,-83.2801059923,954.937744141
35.7370073968,-83.2801721923,954.984802246
35.7369430958,-83.2802236923,955.127258301
35.7368698958,-83.2802615923,955.712158203
35.7367912958,-83.2802863923,956.680236816
35.7367325947,-83.2802902923,957.020690918
35.7366738957,-83.2802941923,957.364746094
35.7365940957,-83.2803328923,958.968322754
35.7365227957,-83.2803865923,960.079467773
35.7364459957,-83.2804313923,961.270935059
35.7363507957,-83.2804502923,962.916748047
35.7362558956,-83.2804700923,964.131713867
35.7361732966,-83.2805164923,965.523254395
35.7360917966,-83.2805648923,967.265930176
35.7360297966,-83.2805895924,968.764892578
35.7359660956,-83.2806094924,970.114685059
35.7359013946,-83.2806257924,971.34765625
35.7358357965,-83.2806400924,972.773376465
35.7357694955,-83.2806506924,973.888122559
35.7357024965,-83.2806532924,975.1484375
35.7356122955,-83.2806363923,976.093811035
35.7355229945,-83.2806149923,978.524719238
35.7354543955,-83.2806041923,979.426513672
35.7353853955,-83.2805964923,980.269287109
35.7353159954,-83.2805979923,981.278686523
35.7352383954,-83.2806192923,982.757873535
35.7351644954,-83.2806515923,984.128417969
35.7350890954,-83.2806799923,985.611999512
35.7349941954,-83.2806998923,987.364257812
35.7348989953,-83.2807187923,988.899658203
35.7348447963,-83.2807343923,990.173339844
35.7347902953,-83.2807488923,991.566894531
35.7347005953,-83.2807647923,993.174255371
35.7346096953,-83.2807657923,995.163696289
35.7345417963,-83.2807604923,996.521057129
35.7344841953,-83.2807290923,997.567443848
35.7344671953,-83.2806732923,997.918762207
35.7343953952,-83.2806601923,998.665710449
35.7343699952,-83.2805710922,998.808410645
35.7343787962,-83.2805041922,998.714050293
35.7343995963,-83.2804394922,998.534973145
35.7344007953,-83.2803728922,998.897827148
35.7343389952,-83.2803047922,1000.58831787
35.7343372963,-83.2802090921,1001.28118896
35.7343695943,-83.2801177921,1002.5894165
35.7344219963,-83.2800649921,1003.2243042
35.7344889953,-83.2800305921,1003.19042969
35.7345522953,-83.2799902921,1003.03015137
35.7346130963,-83.2799201921,1004.43048096
35.7346672953,-83.2798446921,1004.94854736
35.7347276953,-83.279774192,1004.11889648
35.7348003944,-83.279708692,1002.48773193
35.7348830964,-83.279656992,1000.36712646
35.7349750954,-83.279655492,997.582397461
35.7350637944,-83.279640092,994.941772461
35.7351006954,-83.279596892,993.403137207
35.7350943964,-83.279533392,993.012329102
35.7350669954,-83.279474292,993.618469238
35.7350318954,-83.279429092,994.690795898
35.7349965964,-83.2793838919,996.057312012
35.7349779954,-83.2793285919,996.971740723
35.7349625954,-83.2792722919,997.764526367
35.7349218944,-83.2791946919,999.422546387
35.7348755954,-83.2791200919,1000.7154541
35.7348498964,-83.2790368918,1001.03265381
35.7348512954,-83.2789813918,1001.89837646
35.7348609954,-83.2789266918,1002.76898193
35.7348803954,-83.2788756918,1003.14453125
35.7349078954,-83.2788284918,1003.45501709
35.7349404954,-83.2787864918,1004.64648438
35.7349814954,-83.2787531917,1006.80914307
35.7350687965,-83.2787719918,1007.87994385
35.7351515965,-83.2788133918,1008.90008545
35.7352053955,-83.2788259918,1009.63763428
35.7352424955,-83.2787716918,1010.6505127
35.7352162955,-83.2787267918,1010.44671631
35.7351636965,-83.2787013917,1010.27124023
35.7351090965,-83.2786794917,1010.09094238
35.7350776955,-83.2786293917,1009.92462158
35.7350478955,-83.2785782917,1010.00793457
35.7349982955,-83.2785443917,1011.06951904
35.7349499944,-83.2785090917,1011.9362793
35.7349191954,-83.2784496917,1012.35803223
35.7348982954,-83.2783859916,1012.3458252
35.7348785954,-83.2783087916,1011.61724854
35.7348651964,-83.2782302916,1011.21398926
35.7348554954,-83.2781457916,1010.51629639
35.7348511964,-83.2780607915,1010.23040771
