lat,lng,ele
35.6290681666,-83.450941336,1176.40893555
35.6291056657,-83.450904536,1174.84069824
35.6291417677,-83.450866236,1173.4230957
35.6291971667,-83.4508017359,1174.07177734
35.6292260667,-83.4507143359,1175.23266602
35.6292109667,-83.4506472359,1175.5925293
35.6291926667,-83.4505807359,1175.38891602
35.6292256667,-83.4504919359,1176.15576172
35.6292902667,-83.4504207358,1176.24353027
35.6293595667,-83.4503539358,1176.40856934
35.6294253667,-83.4502967358,1176.88110352
35.6294881678,-83.4502364358,1177.07006836
35.6295244668,-83.4501706358,1177.00695801
35.6295628668,-83.4501062358,1177.10864258
35.6296085668,-83.4500624358,1176.77880859
35.6296635668,-83.4500319358,1174.78894043
35.6297132668,-83.4500350358,1174.48535156
35.6297626678,-83.4500350358,1175.33081055
35.6298270668,-83.4499707357,1176.30273438
35.6298558669,-83.4498832357,1176.64831543
35.6298696669,-83.4497993357,1176.59790039
35.6298759669,-83.4497145357,1176.98803711
35.6298880659,-83.4496303356,1177.71508789
35.6299148659,-83.4495523356,1178.5213623
35.6299504669,-83.4494778356,1179.45532227
35.6299856669,-83.4494032356,1180.22766113
35.6300114669,-83.4493249356,1180.20532227
35.6300243669,-83.4492594355,1180.22839355
35.6300321659,-83.4491931355,1180.26672363
35.6300271669,-83.4491076355,1180.61340332
35.6300120659,-83.4490232355,1180.81787109
35.6300012669,-83.4489382355,1181.11206055
35.6299986669,-83.4488646354,1181.44873047
35.6299992659,-83.4487909354,1182.01281738
35.6300058679,-83.4487175354,1182.57958984
35.6300187659,-83.4486513354,1182.7434082
35.6300355669,-83.4485859353,1182.87927246
35.630060667,-83.4485046353,1183.33837891
35.630090067,-83.4484247353,1183.76623535
35.630121568,-83.4483456353,1183.95703125
35.630156166,-83.4482607353,1184.18249512
35.630193168,-83.4481768352,1184.34606934
35.630234867,-83.4480952352,1185.07495117
35.630286367,-83.4480187352,1185.99353027
35.630342667,-83.4479455352,1186.6171875
35.630392666,-83.4478681352,1187.11413574
35.6304335661,-83.4477823351,1187.74511719
35.6304683661,-83.4476938351,1188.21691895
35.6304928671,-83.4476066351,1188.32653809
35.6305123671,-83.4475181351,1188.08129883
35.6305367661,-83.447430935,1188.09057617
35.6305656671,-83.447350435,1188.5526123
35.6305975671,-83.447271035,1189.62988281
35.6306363671,-83.447194935,1189.94604492
35.6306872681,-83.447126335,1190.89294434
35.6307606672,-83.4470623349,1191.63317871
35.6307711672,-83.4469854349,1191.59533691
35.6307632682,-83.4469189349,1191.72839355
35.6307558672,-83.4468524349,1192.34729004
35.6307632682,-83.4468025349,1193.0032959
35.6307759672,-83.4467536349,1193.42443848
35.6308099682,-83.4466625348,1193.85949707
35.6308605672,-83.4465796348,1194.02355957
35.6309189682,-83.4465304348,1194.25830078
35.6309796682,-83.4464838348,1194.96484375
35.6310350672,-83.4464193348,1195.84448242
35.6310446672,-83.4463698348,1195.93261719
35.6310551662,-83.4463205347,1196.01025391
35.6311102673,-83.4462670347,1197.00170898
35.6311283663,-83.4461910347,1197.16650391
35.6311404663,-83.4461133347,1197.00341797
35.6311801673,-83.4460453347,1197.73205566
35.6312333673,-83.4459869347,1198.42578125
35.6312883683,-83.4459302346,1198.68164062
35.6313371673,-83.4458798346,1199.07397461
35.6313874683,-83.4458310346,1199.63061523
35.6314356683,-83.4457800346,1199.97851562
35.6314820684,-83.4457148346,1200.40869141
35.6315227674,-83.4456457346,1200.70776367
35.6315660684,-83.4455783346,1201.15490723
35.6316212674,-83.4455206345,1202.1361084
35.6316985674,-83.4454841345,1203.05859375
35.6317760684,-83.4454481345,1204.32458496
35.6318353674,-83.4453845345,1204.59667969
35.6318807675,-83.4453099345,1205.01379395
35.6319249685,-83.4452346345,1205.36779785
35.6319800675,-83.4451672345,1205.45385742
35.6320467685,-83.4451242345,1206.19628906
35.6321179675,-83.4450889344,1206.86755371
35.6321808675,-83.4450408344,1207.57006836
35.6322365685,-83.4449653344,1208.23474121
35.6322835686,-83.4449471344,1209.28027344
35.6323274676,-83.4449239344,1210.28137207
35.6323470676,-83.4448472344,1208.97485352
35.6323329676,-83.4447745344,1209.10522461
35.6323139666,-83.4447026343,1209.24584961
35.6323284676,-83.4446088343,1209.76086426
35.6323625666,-83.4445197343,1210.81555176
35.6323916666,-83.4444290343,1211.26806641
35.6324005666,-83.4443479342,1211.75158691
35.6324057676,-83.4442664342,1212.17285156
35.6324235666,-83.4441870342,1212.68249512
35.6324761676,-83.4441176342,1213.15136719
35.6325432676,-83.4440610342,1213.06811523
35.6325987667,-83.4439936342,1215.70178223
35.6326271667,-83.4439282341,1217.06469727
35.6326222677,-83.4438605341,1218.28857422
35.6326027677,-83.4437950341,1217.82177734
35.6325805677,-83.4437288341,1217.58190918
35.6325517667,-83.4436651341,1217.22363281
35.6325165667,-83.443604734,1217.43908691
35.6324692666,-83.443555234,1217.59899902
35.6324161686,-83.443511534,1217.68078613
