lat,lng,ele
35.6295551667,-83.4515419362,1173.78540039
35.6295589667,-83.4514626362,1174.00708008
35.6295513667,-83.4513837361,1174.18115234
35.6295279667,-83.4513080361,1174.44470215
35.6294856657,-83.4512411361,1174.18359375
35.6294503667,-83.4512069361,1173.87390137
35.6293879667,-83.4511719361,1173.95507812
35.6293343667,-83.4511481361,1173.87634277
35.6292717667,-83.451124236,1174.04980469
35.6292178657,-83.451090336,1174.55932617
35.6291649667,-83.451054636,1175.05773926
35.6291203657,-83.451031236,1175.63684082
35.6290873667,-83.450990436,1176.09985352
35.6290681666,-83.450941336,1176.40893555
