lat,lng,ele
35.6031571497,-83.767038627,617.071350098
35.6030872477,-83.766976427,617.91998291
35.6030165497,-83.766915227,618.20880127
35.6029450477,-83.766854827,619.010803223
35.6028841487,-83.7668035269,618.850585938
35.6028226477,-83.7667530269,618.465454102
35.6027592496,-83.7667049269,617.854614258
35.6026984486,-83.7666637269,617.060852051
35.6026361486,-83.7666249269,616.443359375
35.6025726496,-83.7665880269,616.142272949
35.6024926486,-83.7665463268,616.011108398
35.6024122476,-83.7665052268,616.188293457
35.6023312486,-83.7664600268,616.574890137
35.6022511495,-83.7664131268,617.103881836
35.6021149485,-83.7663379267,617.962402344
35.6020861485,-83.7663426267,618.057434082
35.6020020485,-83.7663145267,618.618347168
35.6019123495,-83.7662740267,619.17779541
35.6018237485,-83.7662311267,619.657348633
35.6017324495,-83.7661924267,619.851318359
35.6016401474,-83.7661561267,619.979064941
35.6015468474,-83.7661223267,620.127563477
35.6014827484,-83.7660954266,620.155761719
35.6014183474,-83.7660692266,620.544494629
35.6013499494,-83.7660603266,620.715698242
35.6012835474,-83.7660836266,620.820861816
35.6012243493,-83.7661224266,620.926025391
35.6011673483,-83.7661644266,621.091491699
35.6010904493,-83.7662280267,621.523803711
35.6010189483,-83.7662978267,621.791503906
35.6009463473,-83.7663664267,622.117492676
35.6008778483,-83.7664253267,622.563598633
35.6008084482,-83.7664831267,622.917297363
35.6007369492,-83.7665420267,623.013244629
35.6006643482,-83.7665995267,623.106384277
35.6005882482,-83.7666522268,623.506896973
35.6005110492,-83.7666943268,623.707824707
35.6004331472,-83.7667351268,624.250793457
35.6003750481,-83.7667741268,624.428344727
35.6003141491,-83.7668083268,624.758178711
35.6002364481,-83.7668227268,625.136535645
35.6001574481,-83.7668176268,625.596923828
35.6000800481,-83.7668002268,625.83972168
35.6000063481,-83.7667585267,625.982971191
35.5999284491,-83.7667288267,626.269348145
35.599864948,-83.7667487267,626.807128906
35.599805747,-83.7667167267,626.95501709
35.599749348,-83.7666785267,627.479736328
35.599663348,-83.7666907267,628.438903809
35.599577448,-83.7667057267,628.700439453
35.599499348,-83.7666695267,629.368286133
35.599426148,-83.7666232267,629.582336426
35.5993570469,-83.7665829267,630.162658691
35.5992835469,-83.7665521266,630.981079102
35.5992020469,-83.7665562266,631.352416992
35.5991209479,-83.7665685266,632.258178711
35.5990668489,-83.7665642266,633.148864746
35.5990128489,-83.7665648266,634.020996094
35.5989481479,-83.7665996266,633.747680664
35.5988850468,-83.7666377266,633.324890137
35.5988136478,-83.7666523266,633.554199219
35.5987407478,-83.7666522266,633.766662598
35.5986686488,-83.7666412266,634.078979492
35.5985836488,-83.7666057266,634.594238281
35.5984990478,-83.7665692266,635.325561523
35.5984182477,-83.7665554266,635.963195801
35.5983838487,-83.7664904266,636.088439941
35.5983718477,-83.7664157265,636.40802002
35.5983510467,-83.7663433265,636.623291016
35.5982967477,-83.7662635265,636.858886719
35.5982282487,-83.7661956265,637.473388672
35.5981819467,-83.7661619265,637.840637207
35.5981304487,-83.7661370265,638.242004395
35.5980719487,-83.7661345264,637.562866211
35.5980133477,-83.7661330264,637.777404785
35.5979775477,-83.7661207264,638.845825195
35.5979322477,-83.7661302264,639.264221191
35.5978611467,-83.7661509264,640.24420166
35.5977874476,-83.7661583264,641.267700195
35.5977336476,-83.7661498264,641.671691895
35.5976796476,-83.7661436264,642.187194824
35.5975961466,-83.7661816264,642.878356934
35.5975154476,-83.7662262264,643.371582031
35.5974259476,-83.7662445264,643.649475098
35.5973348475,-83.7662421264,643.872741699
35.5972593465,-83.7662074264,643.834350586
35.5971923475,-83.7661574264,643.750854492
35.5971214475,-83.7661133264,643.907409668
35.5970549475,-83.7660855264,644.187255859
35.5969866485,-83.7660629264,644.658752441
35.5969156475,-83.7660511264,645.431640625
35.5968248474,-83.7660614264,646.686401367
35.5967347474,-83.7660779264,647.757141113
35.5966685474,-83.7660863264,648.297851562
35.5966020474,-83.7660922263,648.371643066
35.5965363484,-83.7660821263,648.689086914
35.5964686484,-83.7660396263,649.708190918
35.5964121464,-83.7659825263,650.818786621
35.5963597463,-83.7659216263,651.639404297
35.5963095463,-83.7658564263,652.611450195
35.5962641463,-83.7657877262,653.439819336
35.5962202473,-83.7657181262,654.148132324
35.5961730463,-83.7656389262,655.11932373
35.5961247483,-83.7655604262,655.696899414
35.5960715473,-83.7654838261,656.36730957
35.5960109483,-83.7654130261,657.056335449
35.5959518483,-83.7653694261,657.625671387
35.5958872473,-83.7653343261,658.097351074
35.5958243483,-83.7652962261,658.706176758
35.5957658483,-83.7652513261,659.385131836
35.5957092472,-83.765204026,659.786987305
35.5956466482,-83.765143926,660.388122559
35.5955866462,-83.765081226,661.109069824
35.5955242482,-83.765021026,661.828979492
35.5954502472,-83.7649595259,662.802307129
35.5953734482,-83.7649016259,663.593994141
35.5952938482,-83.7648476259,664.257446289
