lat,lng,ele
35.5641241411,-83.730572414,1489.45581055
35.5640568421,-83.730360514,1491.04626465
35.5640613421,-83.7301621139,1492.7598877
35.5640843421,-83.7299423138,1493.50817871
35.5640375411,-83.7296208137,1494.85559082
35.5640262431,-83.7293226136,1497.79968262
35.5639582411,-83.7291438136,1501.27258301
35.5640157431,-83.7289913136,1503.69091797
35.5639854411,-83.7287366135,1507.17529297
35.5639821431,-83.7284828134,1511.47558594
35.5638418431,-83.7283125133,1512.6940918
35.5636732421,-83.7281965133,1512.66467285
35.5635160421,-83.7279706132,1513.63952637
35.563348443,-83.7278105132,1515.88562012
35.563197542,-83.7277061131,1516.3704834
35.563103242,-83.7274933131,1517.13757324
35.562979142,-83.727400813,1516.48962402
35.5628448409,-83.727363213,1517.65283203
35.5627149419,-83.7271270129,1519.44604492
35.5625928419,-83.7269464129,1520.24328613
35.5625673429,-83.7268793128,1520.4967041
35.5625678419,-83.7268573128,1520.40258789
35.5626338429,-83.7267272128,1517.74206543
35.5626122419,-83.7264948127,1513.61230469
35.5626537409,-83.7262535127,1511.31005859
35.562675242,-83.7260998126,1509.91455078
35.562704443,-83.7260015126,1509.12121582
35.562716742,-83.7258585126,1508.17004395
