lat,lng,ele
35.637253563,-83.5847967757,812.699523926
35.637288164,-83.5848641757,808.648193359
35.637241763,-83.5849288757,807.517028809
35.637195963,-83.5849605757,807.583679199
35.637176563,-83.5850261758,806.965515137
35.637129664,-83.5851129758,806.250305176
35.637073963,-83.5851884758,806.404785156
35.637072963,-83.5852325758,805.959289551
35.637091762,-83.5852785758,804.755981445
35.637116063,-83.5853222759,803.388916016
35.637141262,-83.5854114759,801.15612793
35.637149063,-83.5854668759,799.966064453
35.637129364,-83.5855435759,798.801696777
35.637110463,-83.5855871759,798.113098145
35.637064862,-83.5856077759,797.791931152
35.637045664,-83.5856623759,796.942932129
35.637052863,-83.585750876,797.536010742
35.637123964,-83.585797376,798.297058105
35.637194763,-83.585854876,800.403076172
35.637247264,-83.585912176,802.222839355
35.637300563,-83.5859686761,804.437561035
35.637362664,-83.5860148761,806.415527344
35.637429063,-83.5860291761,807.643066406
35.637497463,-83.5860301761,809.10760498
35.6375875631,-83.5860330761,811.467163086
35.6376598641,-83.5860243761,812.790100098
35.6377406631,-83.5860380761,814.054626465
35.6378009631,-83.5860166761,815.276428223
35.6378501631,-83.5859753761,815.981262207
