lat,lng,ele
35.5671399656,-83.1752599514,1622.40454102
35.5671688647,-83.1753338514,1622.11181641
35.5671985647,-83.1754074515,1621.26745605
35.5672288637,-83.1754807515,1619.9765625
35.5672599647,-83.1755537515,1618.87121582
35.5672981657,-83.1756324515,1617.90222168
35.5673413637,-83.1757085515,1617.3026123
35.5673869647,-83.1757832516,1616.57519531
35.5674326647,-83.1758578516,1615.62475586
35.5674760647,-83.1759339516,1614.7857666
35.5675143647,-83.1760125516,1614.02111816
35.5675447647,-83.1760945517,1613.10119629
35.5675641647,-83.1761798517,1611.77160645
35.5675743637,-83.1762495517,1610.82421875
35.5675807637,-83.1763195517,1609.78430176
35.5675784657,-83.1763898518,1608.68078613
35.5675550647,-83.1764721518,1606.80310059
35.5675303647,-83.1765540518,1604.8416748
35.5675300647,-83.1766432518,1603.1394043
35.5675457647,-83.1767312519,1602.2791748
35.5675631637,-83.1768190519,1601.47302246
35.5675690647,-83.1769081519,1600.99768066
35.5675630657,-83.1769838519,1600.73913574
35.5675525657,-83.177059152,1600.34191895
35.5675356637,-83.177133152,1599.33654785
35.5675096647,-83.177204452,1598.12475586
35.5674610646,-83.177281752,1596.16906738
35.5674077656,-83.177356152,1596.88464355
35.5673588656,-83.1774379521,1597.76196289
35.5673128656,-83.1775214521,1598.2746582
35.5672698646,-83.1776066521,1598.55712891
35.5672302646,-83.1776933521,1599.0958252
35.5672029636,-83.1777647521,1599.79345703
35.5671736646,-83.1778352522,1600.41674805
35.5671274645,-83.1779044522,1600.49816895
35.5670693655,-83.1779641522,1600.49487305
35.5670062645,-83.1780186522,1600.6776123
35.5669440655,-83.1780741522,1600.17663574
35.5668887655,-83.1781364522,1599.80603027
35.5668380635,-83.1781993523,1599.45568848
35.5667874655,-83.1782623523,1598.8963623
35.5667447644,-83.1783307523,1598.49194336
35.5667215644,-83.1784077523,1597.84436035
35.5667215644,-83.1784913523,1597.17529297
35.5667365644,-83.1785736524,1596.3795166
35.5667757644,-83.1786566524,1595.36608887
35.5668339644,-83.1787279524,1594.96606445
35.5669039645,-83.1787877524,1594.74560547
35.5669856635,-83.1788308524,1594.98974609
35.5670739645,-83.1788585525,1595.37927246
35.5671709655,-83.1788733525,1595.08447266
35.5672690655,-83.1788704525,1594.25500488
35.5673659636,-83.1788541525,1593.34094238
35.5674606646,-83.1788279525,1593.63525391
35.5675529636,-83.1787943525,1594.39831543
35.5676143646,-83.1787643525,1595.35424805
35.5676737636,-83.1787304525,1596.45690918
35.5677349646,-83.1786999525,1597.33703613
35.5677970637,-83.1786752524,1598.31762695
35.5678603637,-83.1786540524,1599.05517578
35.5679253647,-83.1786389524,1599.22253418
35.5680020647,-83.1786325524,1599.08361816
35.5680789637,-83.1786362525,1599.6706543
35.5681553637,-83.1786460525,1600.5324707
35.5682314647,-83.1786582525,1601.62731934
35.5683285638,-83.1786771525,1602.28125
35.5684243658,-83.1787018525,1602.52087402
35.5685185648,-83.1787322525,1602.68457031
35.5686073648,-83.1787593525,1603.15563965
35.5686885648,-83.1788030525,1603.47705078
35.5687296638,-83.1788437526,1603.82910156
35.5687590638,-83.1788931526,1604.21203613
35.5687383648,-83.1789811526,1603.36755371
35.5687108648,-83.1790684526,1602.96008301
35.5687233648,-83.1791294526,1604.05126953
35.5687356658,-83.1791904527,1605.22265625
35.5687250658,-83.1792784527,1605.21081543
35.5687348648,-83.1793281527,1605.8392334
35.5687412648,-83.1793781527,1606.1595459
35.5687001658,-83.1794268527,1604.23828125
35.5686583638,-83.1794752527,1602.39599609
35.5686569648,-83.1795523528,1602.47155762
35.5687077648,-83.1796158528,1603.97705078
35.5687813658,-83.1796550528,1604.35864258
35.5688510638,-83.1796818528,1604.04992676
35.5689249648,-83.1796921528,1602.92822266
35.5690151649,-83.1796671528,1601.74267578
35.5690926639,-83.1796132528,1601.46777344
35.5691612649,-83.1795483528,1600.99304199
35.5692262639,-83.1794796528,1601.32250977
35.5692786639,-83.1794040527,1603.56018066
35.5693370659,-83.1793392527,1606.11486816
35.5693477649,-83.1794103528,1606.10693359
35.5693523649,-83.1794830528,1605.22241211
35.5693615649,-83.1795555528,1605.1237793
35.5693735639,-83.1796276528,1605.38134766
35.5694026639,-83.1796940528,1605.73596191
35.569456565,-83.1797350529,1605.984375
35.569518565,-83.1797634529,1606.22741699
35.569614466,-83.1797895529,1606.33557129
35.569714065,-83.1797882529,1607.01049805
35.569812265,-83.1797708529,1607.38818359
35.5699092651,-83.1797471529,1608.17004395
35.5700065651,-83.1797251529,1608.15795898
35.5701055651,-83.1797131529,1607.78808594
35.5701927651,-83.1797137529,1607.13891602
35.5702800651,-83.1797156529,1607.9654541
35.5703669651,-83.1797091529,1608.40563965
35.5704461652,-83.1796875529,1609.38354492
35.5705233662,-83.1796592529,1610.44116211
35.5706026662,-83.1796383529,1610.22827148
35.5706991662,-83.1796404529,1610.89672852
35.5707950642,-83.1796535529,1610.08312988
35.5708909643,-83.1796461529,1610.31079102
35.5709531653,-83.1796135529,1611.4453125
35.5710107663,-83.1795728529,1612.78723145
35.5710731643,-83.1795407529,1613.90649414
35.5711490653,-83.1795219529,1614.94018555
35.5712267663,-83.1795228529,1615.0135498
35.5713072653,-83.1795581529,1614.10083008
35.5713979654,-83.1795274529,1615.86181641
35.5714752654,-83.1795586529,1615.51452637
35.5715499644,-83.1795977529,1615.04541016
35.5716402654,-83.1796019529,1615.5723877
35.5717281654,-83.1795802529,1616.66296387
35.5718086655,-83.1795386529,1618.35961914
35.5718810645,-83.1794839529,1620.33361816
