lat,lng,ele
35.6336274773,-83.1790907564,1348.47583008
35.6338002794,-83.1790308564,1349.11218262
35.6338602784,-83.1789935564,1349.77990723
35.6339231784,-83.1789415564,1351.27624512
35.6339752784,-83.1788779564,1352.47229004
35.6340346784,-83.1788215564,1353.40966797
35.6341111784,-83.1787799564,1354.96166992
35.6341932785,-83.1787511564,1356.43066406
35.6342794785,-83.1787398564,1358.65686035
35.6343534795,-83.1787427564,1360.46533203
35.6344232785,-83.1787658564,1362.01184082
35.6344778775,-83.1788286564,1363.51464844
35.6345199795,-83.1789010564,1364.77038574
35.6345578785,-83.1789652565,1366.22851562
35.6345914785,-83.1790318565,1367.29406738
35.6346154785,-83.1791023565,1368.39172363
35.6346219795,-83.1791831565,1369.57287598
35.6346177795,-83.1792643566,1370.73059082
35.6346200775,-83.1793454566,1371.59765625
35.6346448785,-83.1794323566,1372.11291504
35.6346865775,-83.1795127566,1372.49694824
35.6347364785,-83.1795883567,1373.26501465
35.6347872786,-83.1796634567,1374.96508789
35.6348322776,-83.1797420567,1376.61694336
35.6348637786,-83.1798268567,1378.72900391
35.6348806786,-83.1799210568,1381.16162109
35.6348964796,-83.1800154568,1382.77648926
35.6349131776,-83.1800992568,1382.97558594
35.6349287796,-83.1801832568,1382.77880859
35.6349466776,-83.1802668569,1383.06774902
35.6349705796,-83.1803488569,1383.81848145
35.6350068786,-83.1804260569,1384.53674316
35.6350682786,-83.1804838569,1385.68212891
35.6351526786,-83.180500957,1386.56225586
35.6352392786,-83.180499557,1386.93908691
35.6353244776,-83.180474957,1387.83618164
35.6354063787,-83.180439457,1388.66308594
35.6354926787,-83.180440257,1388.91589355
35.6355474797,-83.180491257,1389.17199707
35.6355898787,-83.180553257,1390.38671875
35.6356211787,-83.180624457,1392.41235352
35.6356415787,-83.180699757,1394.10107422
35.6356578787,-83.1807759571,1395.46191406
35.6356661787,-83.1808593571,1396.81286621
35.6356654777,-83.1809432571,1397.77600098
35.6356677787,-83.1810270571,1398.72424316
35.6356879787,-83.1811080572,1399.83251953
35.6357369797,-83.1811878572,1400.91516113
35.6358024797,-83.1812547572,1401.26037598
35.6358574797,-83.1812901572,1401.83227539
35.6359185777,-83.1813130572,1402.15319824
35.6360006777,-83.1813137572,1401.9855957
35.6360811798,-83.1812954572,1401.30200195
35.6361348798,-83.1812724572,1401.26501465
35.6361900788,-83.1812542572,1401.5579834
35.6362699788,-83.1812834573,1402.20043945
35.6363344788,-83.1813410573,1402.1348877
35.6363947788,-83.1814033573,1401.67272949
35.6364551788,-83.1814650573,1401.59375
35.6365099788,-83.1815318573,1401.96459961
35.6365532778,-83.1816064574,1402.25317383
35.6365791788,-83.1817008574,1402.33703613
35.6366039798,-83.1817955574,1402.55603027
35.6366532779,-83.1818740574,1403.21813965
35.6367184779,-83.1819402575,1403.91442871
35.6367856789,-83.1820046575,1404.73730469
35.6368422789,-83.1820781575,1405.57739258
35.6368788779,-83.1821467575,1406.00549316
35.6369108779,-83.1822175576,1406.7869873
35.6369375789,-83.1822905576,1407.41638184
35.6369566789,-83.1823751576,1407.85205078
35.6369691789,-83.1824609576,1407.92004395
35.6369869789,-83.1825458577,1408.34838867
35.6370091789,-83.1826196577,1408.4699707
35.6370384789,-83.1826908577,1408.88549805
35.6370780789,-83.1827499577,1409.08251953
35.6371264799,-83.1828021577,1409.15393066
35.6371798799,-83.1828492578,1409.40893555
35.6372374779,-83.1828870578,1409.50268555
35.6372990799,-83.1829182578,1409.69775391
35.637358278,-83.1829534578,1409.78466797
35.637423979,-83.1830062578,1409.53967285
35.637485579,-83.1830637578,1409.64245605
35.637544479,-83.1831241579,1409.90881348
35.63759918,-83.1831806579,1410.24084473
35.637651379,-83.1832393579,1410.88366699
35.63769438,-83.1833049579,1411.34680176
35.637728978,-83.183392458,1411.91967773
35.637754279,-83.183483258,1412.39562988
35.63777368,-83.183565958,1413.07409668
35.637787279,-83.183649758,1413.67468262
35.63779188,-83.1837417581,1414.78601074
35.637788579,-83.1838338581,1415.65783691
35.63778228,-83.1839257581,1416.3104248
35.63777558,-83.1839955581,1417.57214355
35.637767179,-83.1840651582,1418.39050293
35.637760479,-83.1841349582,1419.296875
35.637754279,-83.1842189582,1420.47900391
35.637748879,-83.1843029582,1421.15661621
35.637746578,-83.1843871582,1421.74853516
35.637749879,-83.1844712583,1421.96643066
35.637761779,-83.1845545583,1422.42041016
35.637796078,-83.1846481583,1423.86755371
35.637821479,-83.1847439584,1424.89697266
35.637812078,-83.1848163584,1424.7175293
35.637791779,-83.1848866584,1424.96801758
35.63775638,-83.1849670584,1425.40881348
35.6377099789,-83.1850417584,1426.07226562
35.6376614799,-83.1851150585,1426.6706543
35.6376025789,-83.1851925585,1427.32763672
35.6375411789,-83.1852681585,1427.70373535
35.6374948789,-83.1853534585,1428.7911377
35.6374749789,-83.1854326585,1430.0135498
35.6374653789,-83.1855137586,1430.56787109
35.6374634789,-83.1855954586,1430.85827637
35.6374723779,-83.1856839586,1431.07702637
35.6374922789,-83.1857707586,1431.55493164
35.6375185789,-83.1858557587,1431.99523926
35.6375473799,-83.1859400587,1433.07507324
35.6375770789,-83.1860240587,1434.06408691
35.6376106799,-83.1861065587,1434.68041992
35.6376510789,-83.1861858588,1435.11828613
35.6377040779,-83.1862588588,1435.67980957
35.6377565789,-83.1863322588,1435.98730469
35.6377954779,-83.1864086588,1435.5078125
35.6378258789,-83.1864887589,1435.69567871
35.6378401779,-83.1865694589,1435.46630859
35.6378459779,-83.1866513589,1435.40087891
35.6378574779,-83.1867325589,1435.79101562
35.6378822789,-83.186823459,1436.03149414
35.6379173789,-83.186910859,1435.90783691
35.6379637799,-83.186980059,1435.50549316
35.6380221789,-83.187039559,1435.62414551
35.6380876789,-83.1870913591,1435.91674805
35.638156578,-83.1871383591,1436.7265625
35.638228379,-83.1871899591,1437.30224609
35.638303578,-83.1872361591,1437.88208008
35.638389079,-83.1872440591,1438.93469238
35.638434079,-83.1872169591,1439.22973633
35.638471378,-83.1871800591,1438.92626953
35.638503379,-83.1871107591,1438.87084961
35.638527978,-83.1870380591,1439.23156738
35.6385698791,-83.1869507591,1439.96008301
35.6386166791,-83.186866059,1441.35070801
35.6386674791,-83.186783659,1441.95751953
35.6387217791,-83.186703459,1442.57312012
35.6387788791,-83.186625259,1443.2064209
35.6388332791,-83.186553559,1444.09790039
35.6388903781,-83.1864839589,1445.15222168
35.6389538802,-83.1864202589,1446.61328125
35.6390256792,-83.1863579589,1448.09265137
35.6391090792,-83.1863140589,1449.02050781
35.6391863792,-83.1863196589,1449.44250488
35.6392617792,-83.1863402589,1450.43811035
35.6393557792,-83.1863700589,1451.81164551
35.6394454783,-83.1864109589,1452.99304199
35.6395324793,-83.186457459,1453.45739746
35.6396187793,-83.186505159,1453.68676758
35.6397067803,-83.186549859,1454.38720703
35.6397981803,-83.186586759,1454.97485352
35.6398865793,-83.186616259,1455.80175781
35.6399758804,-83.186642559,1456.46862793
35.6400672804,-83.1866603591,1457.28723145
35.6401548804,-83.1866572591,1458.08959961
35.6402421784,-83.1866461591,1458.91296387
35.6403287784,-83.1866564591,1459.2286377
35.6403895794,-83.1866863591,1459.1340332
35.6404446795,-83.1867258591,1459.37719727
35.6404966795,-83.1867793591,1459.90026855
35.6405417795,-83.1868389591,1460.75036621
35.6405830805,-83.1869116592,1461.52270508
35.6406173785,-83.1869880592,1461.98950195
35.6406549805,-83.1870628592,1462.33972168
35.6406958795,-83.1871322592,1462.28723145
35.6407425805,-83.1871978593,1461.95422363
35.6408127795,-83.1872560593,1461.40881348
35.6408847805,-83.1873121593,1461.09448242
35.6409477805,-83.1873854593,1460.07946777
35.6410026795,-83.1874651593,1458.85473633
35.6410517795,-83.1875485594,1457.16149902
35.6410877785,-83.1876261594,1456.06201172
35.6411192796,-83.1877057594,1454.83740234
35.6411556796,-83.1877832594,1453.76000977
35.6411946796,-83.1878390595,1453.078125
35.6412366806,-83.1878927595,1452.55908203
35.6412697796,-83.1879520595,1452.08215332
35.6412871806,-83.1880461595,1451.67578125
35.6413023796,-83.1881406596,1451.18579102
35.6413455796,-83.1882213596,1450.70056152
35.6414005806,-83.1882950596,1450.22473145
35.6414423796,-83.1883763596,1449.88195801
35.6414539806,-83.1884715597,1449.89794922
35.6414515796,-83.1885677597,1450.21911621
35.6414551796,-83.1886638597,1450.71020508
35.6414641806,-83.1887311597,1450.94824219
35.6414797796,-83.1887970598,1451.56958008
35.6415260796,-83.1888712598,1452.56542969
35.6415762796,-83.1889432598,1453.63818359
35.6416130796,-83.1890357598,1454.65979004
35.6416359796,-83.1891325599,1455.98864746
35.6416369796,-83.1892131599,1457.42382812
35.6416228796,-83.1892927599,1458.75305176
35.6416018796,-83.1893708599,1460.13317871
35.6415806796,-83.18944886,1461.20056152
35.6415656796,-83.18952826,1462.40234375
35.6415545796,-83.18961616,1464.12573242
35.6415445796,-83.18970416,1465.54077148
35.6415388796,-83.1897924601,1466.82299805
35.6415411806,-83.1898809601,1467.99316406
35.6415606806,-83.1899711601,1469.81225586
35.6415921796,-83.1900580601,1471.01318359
35.6416215796,-83.1901456602,1472.05200195
35.6416338806,-83.1902369602,1472.9161377
35.6416285796,-83.1903146602,1473.37280273
35.6416130796,-83.1903909602,1473.77075195
35.6415813795,-83.1904568603,1474.55273438
35.6415475805,-83.1905217603,1475.22802734
35.6415283795,-83.1905979603,1475.78381348
35.6415166785,-83.1906758603,1476.08435059
35.6414982795,-83.1907522603,1476.34484863
35.6414637795,-83.1908278604,1476.68334961
35.6414213805,-83.1908993604,1476.76696777
35.6413771795,-83.1909698604,1476.85510254
35.6413244795,-83.1910504604,1476.97485352
35.6412676804,-83.1911282604,1476.90478516
35.6412084794,-83.1912042605,1477.03320312
35.6411487804,-83.1912798605,1477.11242676
35.6410903784,-83.1913564605,1477.19458008
35.6410351794,-83.1914353605,1477.16760254
35.6409871794,-83.1915013605,1477.37084961
35.6409400804,-83.1915679605,1477.61584473
35.6409051794,-83.1916415606,1477.87304688
35.6408950783,-83.1917293606,1477.89355469
35.6408980793,-83.1918180606,1477.77258301
35.6408913793,-83.1919062606,1477.34143066
35.6408569803,-83.1919900607,1477.20239258
35.6408068783,-83.1920658607,1476.9744873
35.6407549793,-83.1921405607,1476.55493164
35.6407143793,-83.1922216607,1475.97570801
35.6406922793,-83.1923088608,1475.47473145
35.6406767803,-83.1923976608,1475.27441406
35.6406554793,-83.1924850608,1474.97143555
35.6406176783,-83.1925689608,1474.40429688
35.6405700782,-83.1926478608,1473.84863281
35.6405231792,-83.1927270609,1473.02185059
35.6404871792,-83.1928117609,1472.29846191
35.6404703782,-83.1929058609,1471.75305176
35.6404476782,-83.1929984609,1471.19824219
35.6403953792,-83.193057861,1470.65356445
35.6403295792,-83.193103161,1469.50598145
35.6402734782,-83.193159261,1467.80712891
35.6402327792,-83.193238161,1466.6895752
35.6402074791,-83.193323161,1465.52905273
35.6402025781,-83.193389961,1464.3927002
35.6402076781,-83.1934567611,1463.5892334
35.6402218791,-83.1935222611,1462.93286133
35.6402600781,-83.1936036611,1461.39306641
35.6403090791,-83.1936792611,1459.74230957
35.6403635802,-83.1937513612,1457.92541504
35.6404145792,-83.1938257612,1455.88525391
35.6404403792,-83.1938927612,1454.21679688
35.6404662792,-83.1939596612,1452.77282715
35.6405147782,-83.1940271612,1451.62194824
35.6405629802,-83.1940948613,1450.58068848
35.6405955802,-83.1941830613,1449.953125
35.6406227782,-83.1942731613,1449.01806641
35.6406493792,-83.1943543613,1448.27148438
35.6406743792,-83.1944360614,1447.48083496
35.6407021792,-83.1945169614,1446.78552246
35.6407375792,-83.1945946614,1446.60302734
35.6407869802,-83.1946641614,1446.75061035
35.6408467802,-83.1947076615,1446.52563477
35.6409024782,-83.1947556615,1446.57543945
35.6409265792,-83.1948307615,1447.86657715
35.6409330802,-83.1949099615,1449.27380371
35.6409432802,-83.1949886616,1450.22229004
35.6409661792,-83.1950648616,1450.56018066
35.6409939792,-83.1951393616,1450.40063477
35.6410221802,-83.1952137616,1450.32800293
35.6410459792,-83.1952896616,1450.5456543
35.6410668792,-83.1953702617,1451.20690918
35.6410847792,-83.1954514617,1452.0144043
35.6410955792,-83.1955339617,1452.59863281
35.6410866792,-83.1956298618,1453.02539062
35.6410683792,-83.1957246618,1453.37731934
35.6410723802,-83.1958203618,1454.5012207
35.6411047792,-83.1958755618,1454.87304688
35.6411333792,-83.1959324618,1455.19470215
35.6411317792,-83.1960207619,1456.25366211
35.6411163792,-83.1961037619,1457.75744629
35.6410878792,-83.1961833619,1458.62817383
35.6410562792,-83.1962617619,1459.34533691
35.6410310792,-83.196342462,1460.56359863
35.6410252792,-83.196426462,1462.0904541
35.6410474802,-83.196505562,1464.44506836
35.6410799792,-83.196581262,1466.32226562
35.6411020802,-83.1966604621,1467.23535156
