lat,lng,ele
35.6572052688,-83.5190360576,627.574890137
35.6571884698,-83.5189630576,627.689880371
35.6571723688,-83.5188900576,627.02935791
35.6571499688,-83.5188186576,626.123901367
35.6571147708,-83.5187460575,625.267456055
35.6570808708,-83.5186729575,624.928649902
35.6570561698,-83.5186015575,624.584106445
35.6570388698,-83.5185280575,624.288208008
35.6570312698,-83.5184783574,623.727294922
35.6570318698,-83.5184283574,622.835510254
35.6570486688,-83.5183811574,621.721069336
35.6570787698,-83.5183415574,620.392089844
35.6571324698,-83.5183321574,618.85534668
35.6571868698,-83.5183449574,617.285400391
35.6572582708,-83.5183802574,615.622802734
35.6572894698,-83.5184303575,615.556213379
35.6573192708,-83.5184815575,615.690002441
35.6573722698,-83.5185116575,614.432922363
35.6574261698,-83.5185401575,612.741882324
35.6574708689,-83.5185928575,611.260192871
35.6575049709,-83.5186530575,610.127197266
35.6575279709,-83.5187304576,609.70513916
35.6575467699,-83.5188090576,609.211791992
35.6575647689,-83.5188663576,608.68762207
35.6575894699,-83.5189208576,608.156555176
35.6576157699,-83.5189547576,608.005859375
