lat,lng,ele
35.6463393689,-83.5092862541,711.066955566
35.6463342689,-83.5092881541,711.245849609
35.6463163689,-83.5092893541,711.667724609
35.6462935679,-83.5092751541,711.699279785
35.6462330669,-83.5092406541,711.725891113
35.6461815689,-83.5092228541,712.49206543
35.6460975669,-83.5092187541,714.188903809
35.6460126679,-83.5091797541,713.57800293
35.6459610668,-83.5091394541,713.228088379
35.6459117688,-83.509096254,713.329406738
35.6458587688,-83.509056954,713.641601562
35.6458061678,-83.509017054,714.149780273
35.6457614678,-83.508985354,714.664489746
35.6457250678,-83.508945054,715.148986816
35.6457193678,-83.508932054,715.14630127
35.6456733688,-83.508855954,715.604980469
35.6456312668,-83.5087778539,715.75
35.6456060668,-83.5086853539,715.470825195
35.6456050668,-83.5085900539,714.542724609
35.6456220678,-83.5085395539,713.895812988
35.6456506678,-83.5084948538,713.132202148
35.6456964668,-83.5084742538,712.583679199
35.6457445678,-83.5084581538,712.042114258
35.6457880678,-83.5084241538,710.727905273
35.6458588679,-83.5084428538,708.030639648
35.6458722669,-83.5084475538,707.737976074
35.6459084679,-83.5084098538,706.460266113
35.6459595679,-83.5084451538,705.983520508
35.6460044689,-83.5084939539,705.300415039
35.6460470669,-83.5085149539,705.008178711
35.6461023669,-83.5085278539,704.501831055
35.6461591689,-83.5085317539,704.112670898
35.6462161679,-83.5085319539,703.58001709
35.6462724679,-83.5085512539,703.004760742
35.6463422689,-83.5086006539,702.083251953
35.646389168,-83.5086351539,701.50604248
35.646426868,-83.5086787539,700.869934082
35.646440369,-83.508739254,700.474609375
35.646439167,-83.508801554,700.965942383
35.646437768,-83.508814254,701.345825195
35.646472369,-83.508784354,699.97668457
35.646513367,-83.508746054,700.245239258
35.646562668,-83.508756454,700.085632324
35.646605667,-83.508784154,699.590881348
35.646666067,-83.508854954,699.185424805
35.646707768,-83.508942554,698.436523438
35.646724368,-83.5090203541,698.153991699
35.646690468,-83.5090944541,700.211120605
35.646648268,-83.5091331541,701.130187988
