lat,lng,ele
35.6900441791,-83.4800984482,694.400878906
35.6899533791,-83.4801287482,694.968505859
35.6897463771,-83.4801112482,697.339294434
35.6896921781,-83.4801206482,697.943359375
35.6896641791,-83.4801639482,698.202087402
35.689679078,-83.4803191482,698.167175293
35.689677677,-83.4803855482,698.669311523
35.689614178,-83.4804056482,699.806762695
35.689531778,-83.4804693482,701.457214355
35.689467778,-83.4805115483,702.529724121
35.689439179,-83.4805880483,703.113952637
35.689436878,-83.4806984483,703.181213379
35.689408277,-83.4807749483,704.43145752
35.689326278,-83.4808165483,706.626037598
35.6892625779,-83.4808477483,707.694274902
35.6892519769,-83.4809247484,708.691650391
35.6892861769,-83.4810142484,710.537475586
35.6893023789,-83.4811030484,713.137817383
35.689381777,-83.4811829484,716.092834473
35.689434978,-83.4812287485,717.612060547
35.689451578,-83.4812955485,719.66003418
35.689440078,-83.4814167485,723.150939941
35.6894270789,-83.4815811486,727.406005859
