lat,lng,ele
35.6770339765,-83.4785024469,835.216796875
35.6770974755,-83.4785122469,835.129638672
35.6771596745,-83.4785284469,835.23614502
35.6772490765,-83.478564347,834.985656738
35.6773173756,-83.478569947,834.984741211
35.6773855746,-83.478562147,834.776123047
35.6774524756,-83.478546247,834.704467773
35.6775244756,-83.478513447,834.081481934
35.6776020756,-83.478497947,833.611572266
35.6776741746,-83.478497947,833.30267334
35.6777461756,-83.478502447,833.140014648
35.6778332767,-83.478509347,833.150695801
35.6779200757,-83.478518947,833.083984375
35.6780069757,-83.478513247,833.074035645
35.6780803747,-83.478468547,833.404541016
35.6781175757,-83.478414447,833.547180176
35.6781103747,-83.4783258469,833.360534668
35.6780824757,-83.4782448469,833.214782715
35.6780411757,-83.4781693469,833.614990234
35.6780070767,-83.4780905469,833.774047852
35.6779915757,-83.4780356468,833.461486816
35.6779822747,-83.4779793468,833.228027344
35.6779895747,-83.4779010468,833.228515625
35.6780124757,-83.4778256468,834.967895508
35.6780403767,-83.4777684468,835.008178711
35.6780778757,-83.4777171468,834.519042969
35.6781423748,-83.4776814467,835.736877441
35.6782055768,-83.4776437467,836.359680176
35.6782523758,-83.4775568467,838.015258789
35.6782584758,-83.4774743467,839.378112793
35.6782557768,-83.4773912467,840.741760254
35.6782621748,-83.4773136466,842.38067627
35.6782720768,-83.4772364466,843.940124512
35.6782875758,-83.4771602466,844.947998047
35.6783087768,-83.4770753466,845.924987793
35.6783450758,-83.4769963466,847.243041992
35.6783831758,-83.4769605466,848.015136719
35.6784274759,-83.4769325465,848.913757324
35.6785002749,-83.4769016465,850.200317383
35.6785477759,-83.4768434465,850.93951416
35.6785928769,-83.4767830465,851.458129883
35.6786780759,-83.4767328465,852.768432617
35.6787745759,-83.4767113465,854.560424805
35.6788286759,-83.4767129465,855.647155762
35.6788635769,-83.4767692465,856.477844238
35.678884077,-83.4768239465,857.299133301
35.678897276,-83.4768808466,857.93182373
35.678901975,-83.4769581466,858.446716309
35.6789030759,-83.4770356466,858.898681641
35.6789142759,-83.4771139466,859.664916992
35.6789309759,-83.4771912467,859.844543457
35.6789478759,-83.4772685467,859.870544434
35.6789597769,-83.4773467467,860.141540527
35.6789667769,-83.4774463467,861.593200684
35.6789558759,-83.4775012467,861.821899414
35.6789464759,-83.4775562468,861.905334473
35.6789667769,-83.4776431468,862.833496094
35.6790060759,-83.4777237468,863.424865723
35.6790400749,-83.4777818468,863.567504883
35.679080476,-83.4778357468,863.277526855
35.679129076,-83.4778822469,863.350036621
35.679189376,-83.4779162469,863.858764648
35.679254076,-83.4779413469,864.403503418
35.679349176,-83.4779632469,864.255249023
35.679442276,-83.4779914469,864.05279541
35.679500875,-83.4780420469,864.125610352
35.679551476,-83.478101047,864.350280762
35.679610276,-83.478151347,864.761962891
35.6796996751,-83.478187247,865.175537109
35.6797710761,-83.478200347,865.340393066
35.6798435761,-83.478202747,865.932861328
35.6799265751,-83.478197147,867.10534668
35.6800063771,-83.478174647,868.50378418
35.6800552771,-83.478147447,869.261962891
35.6800977772,-83.478111147,869.606811523
35.6801276762,-83.478063447,870.468261719
35.6801538762,-83.478013447,871.380859375
35.6801902752,-83.4779529469,872.408508301
35.6802286762,-83.4778938469,872.776489258
35.6802746762,-83.4778404469,873.963928223
35.6803524762,-83.4777860469,875.334777832
35.6804388752,-83.4777461469,875.169067383
35.6805314773,-83.4777105469,876.805725098
35.6806291763,-83.4776967469,877.639892578
35.6806794773,-83.4777053469,877.449707031
35.6807277753,-83.4777219469,877.355529785
35.6807723763,-83.4777453469,877.569824219
35.6807964753,-83.4777943469,877.687744141
35.6808153753,-83.477846147,877.774902344
35.6808680753,-83.477914047,878.500549316
35.6808830753,-83.477963447,878.369750977
35.6808929753,-83.478014247,877.838256836
35.6809025753,-83.478070647,877.168151855
35.6809177763,-83.478125547,876.680786133
35.6809487763,-83.4781689471,876.202087402
35.6809882753,-83.4782050471,875.819885254
35.6810531763,-83.4782358471,875.248352051
35.6811243754,-83.4782487471,874.78338623
35.6811942774,-83.4782666471,873.631896973
35.6812442764,-83.4782884471,872.359008789
35.6812924754,-83.4783138471,871.081542969
35.6813648764,-83.4783810471,869.567565918
35.6814275774,-83.4784579472,868.592224121
35.6815045774,-83.4785192472,866.76574707
35.6815941754,-83.4785441472,865.50958252
35.6816761765,-83.4785024472,863.917602539
35.6817373755,-83.4784393472,862.20904541
35.6817959765,-83.4783736472,860.841552734
35.6818478775,-83.4783320472,859.987243652
35.6819056775,-83.4782996472,859.158752441
35.6819913755,-83.4782906472,857.104736328
35.6820768766,-83.4783049472,854.802734375
35.6821667776,-83.4783448472,852.640991211
35.6822553756,-83.4783878472,850.896057129
35.6823127766,-83.4784055472,850.237243652
35.6823720766,-83.4784135472,849.59552002
35.6824368756,-83.4783917472,849.027893066
35.6824944766,-83.4783539472,848.323608398
35.6825542767,-83.4783197472,847.838928223
35.6826121767,-83.4782962472,847.665893555
35.6826722767,-83.4782792472,847.157592773
35.6827400767,-83.4782745472,846.172607422
35.6828073767,-83.4782833472,844.664672852
35.6828867777,-83.4783175472,843.325439453
35.6829589767,-83.4783654472,842.560180664
35.6830138767,-83.4784091473,841.733642578
35.6830651758,-83.4784570473,840.604797363
35.6831145768,-83.4785116473,839.219604492
35.6831603778,-83.4785693473,837.88482666
35.6832059768,-83.4786271473,836.508728027
35.6832628768,-83.4786893473,835.033508301
35.6833218768,-83.4787496474,834.369140625
35.6833759768,-83.4788143474,834.33782959
35.6834168768,-83.4788878474,834.294555664
35.6834370768,-83.4789426474,834.190856934
35.6834506768,-83.4789993475,834.028503418
35.6834482778,-83.4790656475,833.586730957
35.6834478768,-83.4791318475,833.186279297
35.6834842768,-83.4792038475,833.139648438
35.6835352758,-83.4792671475,833.434143066
35.6835963758,-83.4793405476,833.777099609
35.6836676768,-83.4794037476,834.176757812
35.6837495769,-83.4794314476,833.86328125
35.6838363759,-83.4794402476,833.172302246
35.6839187759,-83.4794667476,831.819030762
35.6839788759,-83.4795153476,830.33013916
35.6840337779,-83.4795697477,828.718444824
35.6840823779,-83.4796213477,827.489135742
35.6841286779,-83.4796749477,826.028747559
35.6841747759,-83.4797288477,824.887023926
35.6842351759,-83.4798017477,824.256958008
35.684295178,-83.4798750478,824.084960938
35.684359577,-83.4799444478,823.457580566
35.684430877,-83.4800125478,821.533447266
35.684510177,-83.4800706478,819.655578613
35.684600776,-83.4801106478,818.306091309
35.684698478,-83.4801206479,817.964660645
35.684780177,-83.4800900479,816.346740723
35.6848492771,-83.4800431478,814.382995605
35.6849120761,-83.4799877478,812.210632324
35.6849815771,-83.4799416478,809.906311035
35.6850529761,-83.4799177478,807.74029541
35.6851265771,-83.4799019478,805.595153809
35.6852132771,-83.4798881478,802.694702148
35.6853007772,-83.4798821478,800.23638916
35.6853882762,-83.4798879478,798.877380371
35.6854744782,-83.4799090478,797.147766113
35.6855585762,-83.4799374479,795.624084473
35.6856221762,-83.4799589479,794.948181152
35.6856850782,-83.4799822479,794.38104248
35.6857463772,-83.4800095479,793.404174805
35.6858108773,-83.4800446479,791.980834961
35.6858729783,-83.4800838479,790.759094238
35.6859332773,-83.4801257479,789.413269043
35.6860021763,-83.480185848,787.649230957
35.6860750773,-83.480240648,785.413635254
35.6861630773,-83.480267748,783.809997559
35.6862546773,-83.480279348,783.222473145
35.6863358774,-83.480286248,782.258666992
35.6864172764,-83.480286148,780.973754883
35.6864980784,-83.480275848,778.995849609
35.6865625774,-83.480254548,777.205078125
35.6866247774,-83.480227048,775.718261719
35.6866888784,-83.480204448,774.723327637
35.6867341774,-83.480194748,774.249145508
35.6868200775,-83.480178648,772.56060791
35.6869057775,-83.480161148,770.78527832
35.6869869775,-83.480129348,769.6953125
35.6870521775,-83.480072048,767.714233398
35.6870800765,-83.480028748,765.777587891
35.6870323775,-83.4799643479,763.701416016
35.6869502785,-83.4799273479,763.074707031
35.6868850785,-83.4798679479,762.109130859
35.6868681785,-83.4798122479,762.551696777
