lat,lng,ele
35.6981712939,-83.1255109445,1731.43005371
35.6982441939,-83.1254687445,1732.5
35.6983169939,-83.1254264445,1733.44702148
35.6983840929,-83.1253692445,1734.11950684
35.6984512939,-83.1253121445,1734.90344238
35.6985183939,-83.1252549445,1735.65319824
35.698586693,-83.1252180445,1736.22509766
35.698654894,-83.1251811445,1736.77087402
35.698723194,-83.1251443444,1736.96105957
35.698791394,-83.1251074444,1737.03137207
35.698852593,-83.1250464444,1737.07788086
35.698913694,-83.1249854444,1737.02099609
35.6989748951,-83.1249244444,1736.33276367
35.6990475941,-83.1248932444,1735.98034668
35.6991202951,-83.1248620444,1735.35754395
35.6991800951,-83.1247917444,1734.28320312
35.6992398931,-83.1247215444,1734.16394043
35.6993043951,-83.1246458443,1733.53552246
35.6993687941,-83.1245702443,1733.52514648
35.6994332942,-83.1244945443,1733.70263672
35.6995153932,-83.1244378443,1733.48571777
35.6995975942,-83.1243810443,1732.4050293
35.6996796942,-83.1243243443,1732.65466309
35.6997660942,-83.1242768443,1734.27636719
35.6998525943,-83.1242294442,1734.7779541
35.6999164933,-83.1241832442,1734.98486328
35.6999804943,-83.1241370442,1735.79162598
35.7000443943,-83.1240908442,1736.42346191
35.7001249943,-83.1240340442,1737.0534668
35.7002055953,-83.1239772442,1737.98217773
35.7002862944,-83.1239204442,1738.36230469
35.7003668944,-83.1238636442,1739.04016113
35.7004474954,-83.1238068442,1740.57983398
35.7005280954,-83.1237500441,1741.40820312
35.7005920944,-83.1237001441,1742.47216797
35.7006561955,-83.1236503441,1743.24291992
35.7007201935,-83.1236004441,1744.7421875
35.7007756945,-83.1235190441,1746.18847656
35.7008311945,-83.1234376441,1747.84301758
35.7009131955,-83.1233900441,1749.13183594
35.7009950945,-83.123342544,1750.53259277
35.7010410935,-83.123293944,1751.91687012
35.7010869956,-83.123245444,1752.7298584
35.7011194946,-83.123191044,1753.93908691
35.7011519936,-83.123136644,1754.92822266
35.7012205956,-83.123077644,1756.71044922
35.7012892956,-83.123018744,1758.31860352
35.7013579956,-83.122959744,1760.01318359
35.7014265946,-83.1229008439,1762.22705078
35.7014932937,-83.1228657439,1763.37878418
35.7015600937,-83.1228307439,1764.44958496
35.7016267957,-83.1227956439,1765.63452148
35.7017035937,-83.1227838439,1766.53881836
35.7017804957,-83.1227721439,1767.66052246
35.7018572937,-83.1227603439,1768.68225098
35.7019341958,-83.1227485439,1769.72277832
35.7019610958,-83.1227492439,1770.03820801
35.7020278958,-83.1227316439,1770.87658691
35.7020882958,-83.1226973439,1771.75549316
35.7021463958,-83.1226468439,1773.08166504
35.7021982938,-83.1225897439,1774.45983887
35.7022644948,-83.1225187439,1775.94506836
35.7023181948,-83.1224382439,1777.13586426
