lat,lng,ele
35.4862499324,-83.5921599689,855.214477539
35.4862599314,-83.5921161689,855.643066406
35.4862688304,-83.5920356689,856.94744873
35.4862721314,-83.5919546688,858.024597168
35.4862831324,-83.5918744688,859.028686523
35.4863143314,-83.5917865688,859.666687012
35.4863500304,-83.5917002688,861.273742676
35.4863766314,-83.5916361688,862.198547363
35.4864024305,-83.5915716687,863.569458008
35.4864173315,-83.5915040687,864.791870117
35.4864057315,-83.5914154687,866.093200684
35.4863941305,-83.5913269687,866.046569824
35.4864197315,-83.5912484686,867.301391602
35.4864605325,-83.5911760686,869.032226562
35.4864891315,-83.5910985686,869.927490234
35.4864896325,-83.5910248686,870.053466797
35.4864805315,-83.5909514686,870.47088623
35.4864758325,-83.5908777685,871.350158691
35.4864907315,-83.5907791685,873.768737793
35.4864981315,-83.5906800685,875.44934082
35.4864700315,-83.5906083685,876.33984375
35.4864472315,-83.5905351684,876.897705078
35.4864576325,-83.5904693684,876.634521484
35.4865106315,-83.5904147684,877.793579102
35.4865768325,-83.5903740684,879.682861328
35.4866262315,-83.5903348684,880.687316895
35.4866688316,-83.5902888684,882.132995605
35.4866912326,-83.5902020683,883.211425781
35.4867086316,-83.5901137683,883.884033203
35.4867607316,-83.5900305683,885.533691406
35.4868202316,-83.5899520683,886.609069824
35.4868592316,-83.5898825683,887.040710449
35.4868965306,-83.5898120682,887.152893066
35.4869418326,-83.5897465682,888.68182373
35.4869938316,-83.5896951682,890.238830566
35.4870520327,-83.5896509682,891.482910156
35.4871068317,-83.5896196682,892.88293457
35.4871352307,-83.5895543682,891.270324707
35.4870860307,-83.5895157682,893.133666992
35.4870158317,-83.5895087682,893.844238281
35.4869473306,-83.5894932682,894.92767334
35.4868823326,-83.5894569681,896.111694336
35.4868228316,-83.5894121681,897.120788574
35.4867867316,-83.5893732681,898.209899902
35.4867524316,-83.5893327681,898.929931641
35.4866908316,-83.5892646681,899.385498047
35.4866711326,-83.5891878681,901.203491211
35.4866580326,-83.589109268,902.709350586
35.4866348316,-83.589046768,903.310974121
35.4866066306,-83.588986368,904.456298828
35.4865791306,-83.588924368,906.152954102
35.4865369326,-83.588873968,906.437011719
35.4864641306,-83.588904668,905.949401855
35.4864101306,-83.588961168,909.377807617
35.4863712315,-83.589029568,910.303710938
35.4863338315,-83.589098868,910.735107422
35.4862930325,-83.589175468,911.394592285
35.4862494315,-83.589250468,911.997497559
35.4862060315,-83.5893058681,912.389282227
35.4861572325,-83.5893565681,913.055541992
35.4861020305,-83.5894000681,914.576660156
35.4860491315,-83.5894295681,916.406799316
35.4859927305,-83.5894515681,917.522033691
35.4859258324,-83.5894689681,918.130187988
35.4858571324,-83.5894692681,918.615600586
35.4857859304,-83.5894302681,919.771179199
35.4857239304,-83.5893768681,921.354797363
35.4856671314,-83.589323868,922.363220215
35.4856147314,-83.589266468,923.17779541
35.4855653324,-83.589206468,924.115356445
35.4855204314,-83.589143368,925.800537109
35.4854785304,-83.5890782679,927.076538086
35.4854342314,-83.5890147679,927.940795898
35.4853823303,-83.5889517679,929.118408203
35.4853287313,-83.5888901679,930.733459473
35.4852804313,-83.5888442679,931.250488281
35.4852315313,-83.5887989679,931.361755371
35.4851967313,-83.5887426678,931.665771484
35.4851857323,-83.5886603678,933.768432617
35.4851912303,-83.5885771678,935.304382324
35.4852088313,-83.5885056678,936.325134277
35.4852303313,-83.5884351677,937.44354248
35.4852445323,-83.5883622677,938.590209961
35.4852562313,-83.5882888677,939.385437012
35.4852711303,-83.5882160677,940.18182373
35.4852969324,-83.5881397677,940.810546875
35.4853264314,-83.5880646676,941.489868164
35.4853481304,-83.5879871676,943.341308594
35.4853576324,-83.5879159676,944.98626709
35.4853602324,-83.5878442676,946.325378418
35.4853513304,-83.5877488676,946.824584961
35.4853282324,-83.5876558675,947.91015625
35.4852925304,-83.5875996675,949.016174316
35.4852493324,-83.5875484675,949.340637207
35.4852326314,-83.5874874675,950.293334961
35.4852786314,-83.5874448675,951.042724609
35.4853529304,-83.5874759675,952.927062988
35.4854211314,-83.5875265675,954.630737305
35.4854871304,-83.5875468675,956.28515625
35.4855557314,-83.5875529675,957.012207031
35.4856287305,-83.5875229675,957.986877441
35.4857013315,-83.5874914675,959.61328125
35.4858003305,-83.5874946675,961.033691406
35.4858721325,-83.5875131675,961.665466309
35.4859438305,-83.5875323675,962.273864746
35.4860130315,-83.5875346675,962.693725586
35.4860821325,-83.5875294675,963.176513672
35.4861513316,-83.5875279675,963.683166504
35.4862194316,-83.5875305675,964.244262695
35.4862861306,-83.5875433675,964.207336426
35.4863395316,-83.5875779676,964.028747559
35.4863928306,-83.5876128676,963.149536133
35.4864873326,-83.5876167676,962.947814941
35.4865820306,-83.5876189676,964.251281738
35.4866455327,-83.5876585676,965.909301758
35.4867007317,-83.5877097676,966.727050781
35.4867593327,-83.5877568676,967.514770508
35.4868261327,-83.5877917677,969.286621094
35.4868956317,-83.5878211677,971.639892578
35.4869646317,-83.5878516677,972.994628906
35.4870443317,-83.5878938677,974.077270508
35.4871250307,-83.5879339677,975.420959473
35.4871905308,-83.5879630677,975.63659668
35.4872592308,-83.5879822677,977.11505127
35.4873092318,-83.5879826677,978.032104492
35.4873585328,-83.5879744677,978.777099609
35.4874155308,-83.5879535677,979.133544922
35.4874678328,-83.5879228677,979.815979004
35.4875385308,-83.5878531677,981.131652832
35.4875972329,-83.5877727677,983.047119141
35.4876376309,-83.5877013677,985.796630859
35.4876813329,-83.5876321677,988.67175293
35.4877556319,-83.5875748676,988.104431152
35.4878368319,-83.5875269676,987.847412109
35.4878796319,-83.5874902676,989.509460449
35.4879283329,-83.5874637676,991.457946777
35.4879999329,-83.5874880676,989.843017578
35.4880343319,-83.5875663677,993.688049316
35.4880482329,-83.5876544677,995.232116699
35.4880498329,-83.5877439677,994.556640625
35.4880647319,-83.5878318677,994.841918945
35.4880999319,-83.5879100678,996.123718262
35.488151733,-83.5879779678,997.039916992
35.488238932,-83.5880058678,998.583007812
35.488331131,-83.5880167678,1001.07983398
35.488404833,-83.5880353678,1004.23455811
35.488474332,-83.5880654678,1006.04675293
35.488523232,-83.5881063678,1004.80780029
35.488562532,-83.5881564679,1004.44683838
35.488580532,-83.5882399679,1007.51104736
35.488579633,-83.5883262679,1007.33685303
35.488593032,-83.5884109679,1007.95172119
35.488614632,-83.588458668,1009.06921387
35.488645231,-83.588500768,1009.32562256
35.4887062331,-83.588519168,1010.58581543
35.4887711311,-83.588515868,1011.78399658
35.4888368321,-83.588510268,1012.08258057
35.4888979331,-83.588486868,1013.1619873
35.4889349321,-83.588432768,1015.91033936
35.4889723321,-83.5883790679,1018.80603027
35.4890088331,-83.5883581679,1019.97772217
35.4890626311,-83.588426868,1018.74523926
35.4890956321,-83.588515268,1018.83392334
35.4891313311,-83.588585968,1020.34466553
35.4891652311,-83.588657568,1021.16247559
35.4892011321,-83.5887281681,1022.25061035
35.4892428332,-83.5887954681,1022.85998535
35.4892948322,-83.5888679681,1023.9173584
35.4893570322,-83.5889313681,1024.99279785
