lat,lng,ele
35.6258012488,-83.8828042622,590.769348145
35.6258054488,-83.8826276622,591.473144531
35.6258653498,-83.8823869621,591.581665039
35.6259879488,-83.882159562,590.900634766
35.6260904479,-83.882019762,591.024719238
35.6261743489,-83.881901262,590.938232422
35.6262959479,-83.8817180619,590.854919434
35.6263978479,-83.8816002619,592.136230469
35.626545949,-83.8814399619,591.601867676
35.62671095,-83.8813244618,590.774230957
35.62679405,-83.8812391618,589.647583008
35.6268947501,-83.8811765618,590.549316406
35.6270227491,-83.8811038618,590.330444336
35.6271220481,-83.8810963618,591.373718262
35.6272038481,-83.8810661618,590.388366699
35.6273294482,-83.8810927618,590.789794922
35.6273574492,-83.8810496618,591.518432617
35.6273238492,-83.8809490618,588.816894531
35.6274228492,-83.8805772617,589.367248535
35.6275356492,-83.8803826616,586.290527344
35.6277359483,-83.8803015616,585.811523438
35.6278971493,-83.8799650615,586.003417969
35.6279191493,-83.8798002615,582.903625488
35.6279668493,-83.8796915614,581.601257324
35.6280306494,-83.8796607614,581.960021973
35.6282491504,-83.8795692614,579.3203125
35.6283683504,-83.8794852614,578.373657227
35.6284260495,-83.8793327614,577.409240723
35.6284289495,-83.8792114613,575.718322754
35.6285237485,-83.8790161613,576.223815918
35.6285361505,-83.8788730612,573.832336426
35.6285133495,-83.8786956612,572.271484375
35.6285441485,-83.8785421611,573.429321289
35.6286569505,-83.8783474611,573.771972656
35.6288325496,-83.878166161,571.045837402
35.6290703496,-83.878020161,567.648864746
35.6292706497,-83.877938961,568.264831543
35.6293815497,-83.877821561,564.381652832
35.6294729497,-83.877769561,562.980285645
35.6296170488,-83.877774761,562.081115723
35.6296816498,-83.877710861,560.621948242
35.6297298488,-83.8775801609,559.532348633
35.6298413488,-83.8774405609,557.169555664
35.6299509488,-83.8773782609,555.571105957
35.6301051499,-83.8773396609,553.86505127
35.6302579499,-83.8773561609,551.817382812
35.63047935,-83.877518661,550.774719238
35.63057815,-83.877533261,546.711547852
35.63071165,-83.877604261,546.80078125
35.630739951,-83.877550061,545.638977051
35.63072515,-83.8774170609,544.311096191
35.63072805,-83.8772957609,544.609802246
35.630704451,-83.8771513609,541.996032715
35.630818551,-83.8769015608,538.141845703
35.6309836501,-83.8767860608,536.451660156
35.6310864491,-83.8766351607,533.255432129
35.6312259501,-83.8764525607,529.651000977
35.6313613502,-83.8764463607,527.186767578
35.6314595502,-83.8764829607,525.873352051
35.6314086502,-83.8763486607,523.183410645
35.6314206512,-83.8762276606,521.620300293
35.6313956502,-83.8761384606,520.313537598
35.6313429502,-83.8760813606,518.627807617
35.6312574492,-83.8758906605,515.452697754
35.6313424492,-83.8757280605,513.578552246
35.6314901502,-83.8755788605,509.593322754
35.6315931503,-83.8754169604,509.198394775
35.6317947503,-83.8752805604,506.94430542
35.6320439494,-83.8750355603,505.030059814
35.6322285514,-83.8748544603,502.78717041
35.6325145505,-83.8745776602,500.888946533
35.6327645496,-83.8742995602,498.873901367
35.6330561506,-83.8741665601,496.32131958
35.6332468497,-83.8741071601,494.47756958
35.6333374507,-83.8740882601,494.272583008
35.6335996497,-83.8740535601,492.921844482
35.6336730518,-83.8740009601,492.670959473
35.6338056508,-83.8737296601,491.350860596
35.6339992508,-83.87354896,490.03805542
35.6342116499,-83.87333576,488.665618896
35.6342767519,-83.8732497599,488.319366455
35.634518551,-83.8729382599,486.907867432
35.634770151,-83.8725939598,486.152130127
35.6350103511,-83.8723486597,483.695709229
35.6352489522,-83.8721695597,483.244689941
35.6353761522,-83.8721299597,482.582672119
