lat,lng,ele
35.5989209619,-83.4125704229,1258.72387695
35.5988753619,-83.412622023,1259.37866211
35.5988337619,-83.412677023,1259.79846191
35.5987962609,-83.412734823,1259.68994141
35.5987661609,-83.412788123,1259.67956543
35.5987399609,-83.412843523,1259.82788086
35.5987179609,-83.412902723,1260.02685547
35.5987015628,-83.412963723,1260.05444336
35.5986910608,-83.4130459231,1259.37817383
35.5986891608,-83.4131289231,1257.93798828
35.5986902618,-83.4131844231,1257.17456055
35.5986959618,-83.4132395231,1256.51745605
35.5987212618,-83.4133285232,1256.36950684
35.5987480618,-83.4133711232,1257.49487305
35.5987827628,-83.4134076232,1259.49035645
35.5988361609,-83.4134424232,1262.53295898
35.5989255629,-83.4134782232,1266.71643066
35.5990063619,-83.4134872232,1268.62231445
35.5990877619,-83.4134830232,1269.13635254
35.5991835609,-83.4134680232,1268.99072266
35.5992777629,-83.4134446232,1269.92480469
35.599361962,-83.4134126232,1269.8260498
35.599442562,-83.4133723232,1267.78051758
35.599525262,-83.4133367232,1266.39013672
35.599613762,-83.4133222232,1266.33825684
35.599663762,-83.4133257232,1267.2557373
35.599712662,-83.4133362232,1268.32946777
35.5997590631,-83.4133562232,1269.49108887
35.5998018631,-83.4133831232,1270.57104492
35.5998725611,-83.4134514233,1272.63806152
35.5999252631,-83.4135103233,1274.41833496
35.5999692621,-83.4135757233,1276.40979004
35.5999942631,-83.4136357233,1278.09741211
35.6000118631,-83.4136984233,1279.30822754
35.6000228621,-83.4137700234,1279.48937988
35.6000269611,-83.4138423234,1279.77124023
35.6000240611,-83.4139197234,1280.5802002
35.6000148621,-83.4139966234,1281.33239746
35.6000043621,-83.4140734234,1281.46826172
35.5999927611,-83.4141653235,1281.72668457
35.5999793621,-83.4142570235,1283.23669434
35.5999627621,-83.4143481235,1284.79516602
35.599943262,-83.4144281235,1286.2244873
35.599920161,-83.4145072236,1287.74816895
35.599896463,-83.4145860236,1288.65783691
35.599875262,-83.4146656236,1288.34057617
35.599856563,-83.4147390236,1288.06604004
35.599837761,-83.4148123237,1288.76452637
35.599822562,-83.4148865237,1289.42346191
35.599815162,-83.4149618237,1289.37097168
35.599816263,-83.4150564237,1287.98901367
35.599829461,-83.4151499238,1286.48852539
35.599850362,-83.4152188238,1286.72351074
35.599880861,-83.4152839238,1288.50012207
35.599937761,-83.4153511238,1289.29040527
35.600004463,-83.4154090238,1288.56933594
35.600054963,-83.4154472239,1287.61816406
35.600102061,-83.4154892239,1287.65698242
35.600141961,-83.4155537239,1289.89147949
35.600171462,-83.4156237239,1292.63549805
35.600196863,-83.4157171239,1297.70837402
35.600212762,-83.415812624,1300.93249512
35.600223063,-83.415889824,1300.92016602
35.600227661,-83.415967524,1299.64257812
35.600217663,-83.416041024,1300.14367676
35.600200862,-83.4161134241,1303.08203125
35.600196263,-83.4161873241,1306.48986816
35.600208262,-83.4162498241,1308.47717285
35.600229861,-83.4163097241,1309.8371582
35.600283861,-83.4163846241,1311.09484863
35.6003532611,-83.4164459242,1311.09423828
35.6004348621,-83.4164981242,1309.19311523
35.6005226621,-83.4165393242,1304.52111816
35.6005930621,-83.4165671242,1300.15783691
35.6006650631,-83.4165902242,1299.44714355
35.6007375621,-83.4166120242,1302.63061523
35.6008137611,-83.4166283242,1304.97021484
35.6008903632,-83.4166431243,1305.14331055
35.6009616632,-83.4166739243,1305.34558105
35.6010084622,-83.4167110243,1306.24377441
35.6010501632,-83.4167538243,1307.42077637
35.6010968612,-83.4168229243,1309.31115723
35.6011315622,-83.4168989243,1311.88293457
35.6011603622,-83.4169773244,1313.88134766
35.6011883622,-83.4170560244,1314.8034668
35.6012127622,-83.4171429244,1315.18945312
35.6012304612,-83.4172316244,1317.07519531
35.6012519622,-83.4173194245,1319.16674805
35.6012895632,-83.4174012245,1319.72753906
35.6013379622,-83.4174623245,1319.72351074
35.6013954622,-83.4175147245,1320.5065918
35.6014843622,-83.4175517246,1319.56604004
35.6015743613,-83.4175863246,1318.97900391
35.6016392613,-83.4176400246,1318.89416504
35.6016982633,-83.4177004246,1318.17102051
35.6017365623,-83.4177375246,1317.17700195
35.6017687623,-83.4177798246,1316.40161133
35.6017862613,-83.4178397247,1316.61096191
35.6017933623,-83.4179020247,1317.38232422
35.6017952623,-83.4179683247,1318.21411133
35.6017906633,-83.4180344247,1318.85144043
35.6017750613,-83.4181164247,1319.61450195
35.6017503633,-83.4181963248,1320.24145508
35.6017227623,-83.4182752248,1320.2043457
35.6017075633,-83.4183174248,1319.71118164
