lat,lng,ele
35.6241530761,-83.2113709654,959.201599121
35.6242004741,-83.2114401654,958.580566406
35.6242434751,-83.2115122654,958.362609863
35.6242965761,-83.2115882654,957.620910645
35.6243475751,-83.2116656655,956.512451172
35.6243966741,-83.2117443655,956.891113281
35.6244436741,-83.2118242655,956.677307129
35.6244886741,-83.2119053656,956.674926758
35.6245791742,-83.2118858656,957.950683594
35.6246510742,-83.2118988656,959.450134277
35.6247229742,-83.2119118656,960.275756836
35.6248134752,-83.2118922656,961.380859375
35.6248554752,-83.2118442656,962.205871582
35.6248963752,-83.2117951655,963.011169434
35.6249630752,-83.2117765655,964.101928711
35.6250320753,-83.2117657655,965.179016113
35.6250954753,-83.2117337655,966.388305664
35.6251594763,-83.2117030655,967.741882324
35.6252407753,-83.2117003655,968.887878418
35.6253215743,-83.2117139655,970.024902344
35.6254026763,-83.2117097655,971.900939941
35.6254862754,-83.2116719655,973.175476074
35.6255576744,-83.2116146655,974.053588867
35.6256016754,-83.2115590655,974.980773926
35.6256319754,-83.2114952655,975.77130127
35.6256337744,-83.2114235655,976.700073242
35.6256346764,-83.2113518655,978.206359863
35.6256730744,-83.2112793654,979.362915039
35.6257183764,-83.2112105654,979.906555176
35.6257469754,-83.2111341654,980.72088623
35.6257752764,-83.2110575654,981.577270508
35.6258204755,-83.2109894654,982.659606934
35.6258714765,-83.2109253653,983.254638672
35.6259052755,-83.2108513653,984.391967773
35.6259068755,-83.2107851653,985.736328125
35.6259076745,-83.2107189653,987.134460449
35.6259371755,-83.2106445653,988.634033203
35.6259899755,-83.2105840653,989.984741211
35.6260522755,-83.2105329652,990.516052246
35.6261159765,-83.2104835652,991.569213867
35.6261744746,-83.2104282652,992.698669434
35.6262385756,-83.2103541652,994.068359375
35.6263018756,-83.2102795652,995.652038574
35.6263637756,-83.2102036652,997.429504395
35.6264233766,-83.2101259651,998.893005371
35.6264748746,-83.2100503651,1000.29571533
35.6265233756,-83.2099727651,1002.6942749
35.6265727757,-83.2098957651,1004.42211914
35.6266272767,-83.2098223651,1005.25665283
35.6266912747,-83.209747965,1006.65319824
35.6267587757,-83.209676665,1008.35430908
35.6268315747,-83.209610865,1010.00994873
35.6269116767,-83.209554165,1011.71691895
35.6269806758,-83.209524465,1012.65411377
35.6270533748,-83.209505465,1013.29968262
35.6271258748,-83.209485065,1014.23736572
35.6271929768,-83.209451565,1015.71685791
35.6272607748,-83.209386065,1017.68505859
35.6273305758,-83.209322865,1019.66259766
35.6274080749,-83.209303765,1021.03186035
35.6274884759,-83.209310065,1022.36950684
35.6275687769,-83.209316765,1023.46008301
35.6276464749,-83.209298465,1024.54797363
35.6277071769,-83.209239665,1026.37634277
35.6277579769,-83.2091714649,1028.43444824
35.6278210759,-83.2091155649,1030.21313477
35.627896075,-83.2091076649,1030.86547852
35.627971676,-83.2091183649,1032.94030762
35.628046577,-83.2091107649,1035.15869141
35.628101875,-83.2090542649,1036.29980469
35.628136476,-83.2089819649,1035.73413086
35.628165876,-83.2089073649,1037.37121582
35.628199476,-83.2088345649,1038.41479492
35.628251077,-83.2087741649,1040.73034668
35.6283381761,-83.2087446649,1043.96691895
35.6284305761,-83.2087379649,1045.75878906
35.6285223771,-83.2087263649,1048.44592285
35.6286130761,-83.2086951649,1051.22973633
35.6287020751,-83.2086594648,1053.13256836
35.6287945762,-83.2086345648,1055.62487793
35.6288534772,-83.2086328648,1057.47277832
35.6289118762,-83.2086267648,1059.2857666
35.6289791752,-83.2085896648,1061.2043457
35.6290396762,-83.2085418648,1063.18383789
35.6290976772,-83.2084824648,1065.43945312
35.6291507752,-83.2084184648,1067.18103027
35.6292140753,-83.2083700648,1069.22753906
35.6292177773,-83.2084641648,1070.95935059
35.6292062773,-83.2085603648,1073.09228516
35.6292087763,-83.2086569649,1074.9675293
35.6292419763,-83.2087487649,1077.21887207
35.6292866763,-83.2088357649,1078.54187012
35.6293485753,-83.208912165,1081.15356445
35.6294173763,-83.208982765,1083.64697266
35.6294535763,-83.209072265,1080.49328613
35.6294436763,-83.209121665,1081.10266113
35.6294337763,-83.209171065,1082.88378906
35.6294578753,-83.2092606651,1085.06860352
35.6294845763,-83.2093491651,1085.85546875
35.6293984753,-83.2093708651,1086.52038574
35.6293013762,-83.2093539651,1088.65075684
35.6292047752,-83.2093634651,1089.78076172
35.6291412762,-83.2094126651,1091.27001953
35.6290855752,-83.2094706651,1092.02368164
35.6290254752,-83.2095447651,1092.97717285
35.6289733752,-83.2096246651,1094.5123291
35.6289284762,-83.2097089652,1095.84716797
35.6288903761,-83.2097964652,1097.3651123
35.6288685751,-83.2098755652,1099.24975586
35.6288552761,-83.2099566652,1101.421875
35.6288400771,-83.2100374653,1103.15283203
35.6288123761,-83.2101145653,1103.15478516
35.6287600761,-83.2101760653,1102.77575684
35.6287198771,-83.2102444653,1103.80517578
35.6287271761,-83.2102957653,1105.29785156
35.6287450761,-83.2103445653,1105.98168945
35.6288141771,-83.2104027654,1106.94970703
35.6289025761,-83.2104311654,1109.98620605
35.6289768771,-83.2104834654,1111.88659668
35.6289963771,-83.2105570654,1113.42565918
35.6290036771,-83.2106333654,1114.63024902
35.6290268761,-83.2107056655,1114.70935059
35.6290747761,-83.2107528655,1115.91906738
35.6291335762,-83.2107858655,1116.58874512
35.6292101772,-83.2107875655,1118.1895752
35.6292867762,-83.2107900655,1118.58276367
35.6293579762,-83.2108361655,1116.19970703
35.6293947762,-83.2109000655,1122.90124512
35.6294186762,-83.2109703656,1124.93188477
35.6294305762,-83.2110637656,1124.35668945
35.6294316752,-83.2111583656,1123.78686523
35.6294586762,-83.2112474657,1125.95239258
35.6295296762,-83.2113046657,1126.91394043
35.6295845762,-83.2112620657,1128.07446289
35.6296399772,-83.2112008656,1129.09912109
35.6296860753,-83.2111323656,1129.91601562
35.6297235763,-83.2110449656,1131.23083496
35.6297614753,-83.2109577656,1132.81494141
