lat,lng,ele
35.7248659869,-83.4408529387,527.390380859
35.7247474869,-83.4409156387,525.650878906
35.7247184879,-83.4410142388,524.259338379
35.7246311868,-83.4413100389,529.291564941
35.7245845878,-83.4413859389,530.468994141
35.7242753868,-83.4415202389,529.92755127
35.7240850877,-83.4415696389,528.321472168
35.7238869857,-83.4415636389,528.063293457
35.7237675866,-83.4416705389,527.283996582
35.7236389856,-83.4417881389,530.337036133
35.7235394866,-83.4418072389,530.710449219
35.7233574856,-83.441890139,533.983947754
35.7231003865,-83.442125539,539.269836426
35.7225285864,-83.442318139,539.973815918
35.7224006863,-83.442402639,542.658508301
35.7222439873,-83.4425747391,546.743103027
35.7221076863,-83.4426258391,544.517272949
35.7220335862,-83.4427230391,545.601501465
35.7219766862,-83.4428650392,544.64654541
35.7219306862,-83.4429078392,544.387145996
35.7218045852,-83.4429039392,546.180847168
35.7216410862,-83.4429652392,546.294494629
35.7213411851,-83.4430887392,546.56628418
35.721029186,-83.4433555392,548.79498291
35.720873587,-83.4434724393,548.322143555
35.7206805869,-83.4436544393,546.78729248
35.7204886859,-83.4437811393,546.950866699
35.7203405848,-83.4439756394,549.962463379
35.7201346858,-83.4443451395,552.909851074
35.7201234858,-83.4444553395,555.490783691
35.7201637868,-83.4446886396,553.593200684
35.7201356868,-83.4447430396,554.657104492
35.7200723868,-83.4447522396,555.58795166
35.7199372847,-83.4447480396,558.36151123
35.7198554847,-83.4447787396,560.02734375
35.7197176867,-83.4449071396,562.768188477
35.7197063857,-83.4450173396,564.483520508
35.7197388857,-83.4451951397,565.626098633
35.7198077867,-83.4453520398,564.889038086
35.7197974857,-83.4454180398,564.593139648
35.7197429847,-83.4454384398,565.365600586
35.7195564856,-83.4453001397,568.376708984
35.7194323846,-83.4451968397,571.173217773
35.7191087855,-83.4451538397,576.352050781
35.7188109865,-83.4451668396,580.019470215
35.7186995845,-83.4453292397,582.987670898
35.7186443854,-83.4453827397,584.018981934
35.7184734854,-83.4453665397,584.736450195
35.7184187854,-83.4453979397,585.360717773
35.7183441844,-83.4455173397,586.786499023
35.7182694854,-83.4456476397,588.115478516
35.7181782843,-83.4457001398,590.991455078
35.7181056863,-83.4457200398,592.302368164
35.7180705843,-83.4456747397,591.400146484
35.7180815853,-83.4455755397,591.42956543
35.7180928863,-83.4454654397,591.663024902
35.7180682863,-83.4453430396,593.26348877
35.7180176853,-83.4451757396,595.288391113
35.7179561843,-83.4450964396,596.719177246
35.7178849853,-83.4450500396,597.032043457
35.7177216853,-83.4451003396,598.358215332
35.7174118862,-83.4452677396,606.043640137
35.7173190852,-83.4453975396,608.894226074
35.7172642842,-83.4454290396,610.281616211
35.7171205851,-83.4454025396,612.970031738
35.7170302861,-83.4454108396,614.366333008
35.7168843851,-83.4454947396,617.858032227
35.716801486,-83.4455806396,620.150512695
35.716737984,-83.4456008396,620.872558594
35.716702585,-83.4455665396,621.360107422
35.716624685,-83.4454094396,623.093261719
35.716571585,-83.4453636396,624.070922852
35.716499285,-83.4453724396,625.598510742
35.716307386,-83.4454992396,630.469665527
35.7160623839,-83.4455801396,632.073364258
35.7159449859,-83.4455876396,634.406677246
35.7158650859,-83.4455299396,635.079528809
35.7157781858,-83.4453725395,637.740783691
35.7156724838,-83.4452477395,641.831359863
35.7155398838,-83.4451220394,646.038696289
35.7153614858,-83.4450282394,651.124145508
35.7152538848,-83.4450028394,653.830444336
35.7150997837,-83.4450423394,657.436401367
35.7149727847,-83.4450826394,658.897277832
35.7148266847,-83.4451776394,659.964172363
35.7147631856,-83.4451978394,661.281494141
35.7146827846,-83.4451622394,662.751281738
35.7146198846,-83.4451492394,663.288269043
35.7145381856,-83.4451798394,664.855041504
35.7144843846,-83.4451672394,665.120666504
35.7143613846,-83.4450087393,669.452148438
35.7142458835,-83.4449277393,672.338500977
35.7141651845,-83.4449031393,673.920959473
35.7139845845,-83.4449197393,677.412414551
35.7137161844,-83.4448230392,682.138793945
35.7135913834,-83.4447529392,683.497070312
35.7133857854,-83.4446693392,686.59564209
35.7132512854,-83.4446320392,689.733886719
35.7131071833,-83.4446276391,692.547485352
35.7130242843,-83.4447135392,694.263427734
35.7129941843,-83.4448673392,696.269348145
35.7129285843,-83.4449869392,698.411743164
35.7128189842,-83.4450609393,701.828308105
35.7126741832,-83.4450896393,704.493041992
35.7125826852,-83.4451531393,706.800964355
35.7124325831,-83.4454469393,712.670043945
35.7123131841,-83.4455539394,713.089416504
35.7122196831,-83.4457169394,710.548522949
