lat,lng,ele
35.7540089051,-83.1079791427,512.926513672
35.7539456051,-83.1080783427,512.626586914
35.7539271051,-83.1081003427,512.580566406
35.7539079051,-83.1081167427,512.468017578
35.7538543061,-83.1081500427,511.972839355
35.7538305071,-83.1081614427,511.846191406
35.7538078071,-83.1081694427,511.752258301
35.7537746071,-83.1081777427,511.635742188
35.7537465051,-83.1081817427,511.53414917
35.7537216051,-83.1081817427,511.463439941
35.7536995071,-83.1081776427,511.425384521
35.7536841071,-83.1081709427,511.402832031
35.7536516051,-83.1081501427,511.334228516
35.7536370061,-83.1081428427,511.305084229
35.7536185061,-83.1081371427,511.267944336
35.7535974061,-83.1081333427,511.238037109
35.753529107,-83.1081287427,511.23236084
35.753474207,-83.1081251427,511.249237061
35.753439007,-83.1081264427,511.246612549
35.753389106,-83.1081337427,511.323699951
35.753371907,-83.1081391427,511.384887695
35.753357507,-83.1081463427,511.438842773
35.753347206,-83.1081544427,511.481414795
35.753323405,-83.1081797427,511.566619873
35.753311605,-83.1081894427,511.590911865
35.753286506,-83.1082018427,511.661224365
35.753257207,-83.1082100427,511.856842041
35.753221606,-83.1082130427,512.230957031
35.753185106,-83.1082081427,512.632385254
