lat,lng,ele
35.7119382951,-83.1668058575,935.167053223
35.7118593951,-83.1668186575,935.423034668
35.7117803951,-83.1668306575,935.798278809
35.711701195,-83.1668419575,935.999450684
35.711621996,-83.1668525575,936.274658203
35.711543695,-83.1668615575,936.629211426
35.711465295,-83.1668698575,937.043762207
35.711387095,-83.1668793575,937.216003418
35.711296396,-83.1668913575,937.687744141
35.7112062939,-83.1669075575,938.316772461
35.7111377949,-83.1669261575,938.784851074
35.7110703949,-83.1669481575,938.938781738
35.7109924939,-83.1669774575,939.425537109
35.7109159949,-83.1670102575,940.053771973
35.7108424949,-83.1670455575,940.786193848
35.7107704948,-83.1670836575,942.086303711
35.7106975948,-83.1671259575,942.789611816
35.7106423948,-83.1671872575,943.971740723
35.7105960948,-83.1672558575,945.263427734
35.7105576948,-83.1673148575,945.360046387
35.7105217938,-83.1673753576,943.917785645
35.7104888938,-83.1674362576,943.642150879
35.7104579948,-83.1674982576,943.98223877
35.7104281947,-83.1675607576,944.191833496
35.7103907947,-83.1676431576,944.670959473
35.7103557947,-83.1677264577,945.158752441
35.7103225957,-83.1678106577,945.262512207
35.7102909957,-83.1678953577,945.78918457
35.7102604947,-83.1679805577,946.398742676
35.7102306947,-83.1680659577,946.703369141
35.7102012947,-83.1681514578,946.851745605
35.7101742957,-83.1682216578,947.346618652
35.7101535937,-83.1682938578,947.400146484
35.7101496957,-83.1683600578,947.714782715
35.7101511947,-83.1684263578,947.935302734
35.7101535937,-83.1685190579,948.004333496
35.7101600947,-83.1686115579,948.190002441
35.7101732946,-83.1687032579,948.437011719
35.7101921957,-83.168769558,949.268737793
35.7102068957,-83.168836858,950.220275879
35.7102028946,-83.168897658,950.861938477
35.7101956946,-83.168958158,951.348815918
35.7101943946,-83.169039158,951.257019043
35.7101977946,-83.1691201581,950.435852051
35.7102075956,-83.1692005581,950.450805664
35.7102259946,-83.1692794581,950.944702148
35.7102577936,-83.1693518581,951.471557617
35.7102971946,-83.1694204581,951.763916016
35.7103302957,-83.1694922582,952.202819824
35.7103521947,-83.1695809582,952.255859375
35.7103721937,-83.1696702582,951.919555664
35.7103984947,-83.1697498583,952.120239258
35.7104292947,-83.1698277583,952.58392334
35.7104616937,-83.1699050583,953.042236328
35.7104926937,-83.1699829583,952.969787598
35.7105240947,-83.1700661584,953.131103516
35.7105553947,-83.1701494584,953.985717773
35.7105852957,-83.1702332584,955.798583984
35.7106128937,-83.1703178584,957.077514648
35.7106411947,-83.1704135585,955.391662598
35.7106668937,-83.1705099585,954.570861816
35.7106887947,-83.1706072585,956.590820312
35.7107052947,-83.1707008585,955.26159668
35.7107180947,-83.1707950586,955.427612305
35.7107280947,-83.1708896586,955.879699707
35.7107360947,-83.1709843586,956.470275879
35.7107428957,-83.1710810587,956.953674316
35.7107477947,-83.1711777587,958.402404785
35.7107495957,-83.1712746587,959.658996582
35.7107470937,-83.1713715587,959.789733887
35.7107395947,-83.1714673588,960.777038574
35.7107281957,-83.1715628588,959.710449219
35.7107148946,-83.1716580588,957.805114746
35.7107004946,-83.1717537589,958.614562988
35.7106839946,-83.1718491589,959.012817383
35.7106646946,-83.1719440589,959.329772949
35.7106434956,-83.1720285589,959.143981934
35.7106199946,-83.172112459,959.571105957
35.7105969946,-83.172196459,960.541259766
35.7105753956,-83.172275559,961.67401123
35.7105532946,-83.172354559,962.823974609
35.7105335936,-83.172434159,963.511047363
35.7105191936,-83.1725148591,962.94744873
35.7105136956,-83.1725755591,962.610290527
35.7105079956,-83.1726361591,962.572021484
35.7104895946,-83.1727298591,962.455322266
35.7104684945,-83.1728229592,962.674621582
35.7104515945,-83.1729051592,962.613220215
35.7104384945,-83.1729879592,961.585083008
35.7104369955,-83.1730763592,961.744140625
35.7104352945,-83.1731646593,961.99798584
35.7104272945,-83.1732255593,961.921630859
35.7104149955,-83.1732857593,962.219360352
35.7103940945,-83.1733524593,962.232543945
35.7103675945,-83.1734170593,962.665893555
35.7103374945,-83.1734783593,963.055053711
35.7103022945,-83.1735368594,963.170776367
35.7102394955,-83.1736083594,962.674560547
35.7101735945,-83.1736770594,962.808166504
35.7101280934,-83.1737368594,963.026367188
35.7100854954,-83.1737987594,963.199279785
35.7100439934,-83.1738614594,963.760620117
35.7100151954,-83.1739042595,963.931396484
35.7099883934,-83.1739483595,964.159973145
35.7099506934,-83.1740365595,964.422790527
35.7099240954,-83.1741287595,965.073303223
35.7099022944,-83.1742222595,965.998840332
35.7098855944,-83.1743134596,966.959106445
35.7098735954,-83.1744054596,968.352050781
35.7098612944,-83.1744974596,970.624389648
35.7098413933,-83.1745849596,971.109558105
35.7098208953,-83.1746723597,970.102478027
35.7098203943,-83.1747616597,969.964050293
35.7098499933,-83.1748290597,971.600830078
35.7098810943,-83.1748959597,973.659301758
35.7098952953,-83.1749894598,974.861633301
35.7098956933,-83.1750842598,969.816101074
35.7098860953,-83.1751613598,972.022216797
35.7098748953,-83.1752383598,971.455627441
35.7098697953,-83.1753268599,970.213623047
35.7098700953,-83.1754155599,970.397705078
35.7098790933,-83.1755037599,970.585754395
35.7099013953,-83.1755846599,970.919921875
35.7099344943,-83.17566176,971.566040039
35.7099699943,-83.17573796,972.188659668
35.7099996943,-83.17581646,972.57989502
35.7100214943,-83.17589746,973.201477051
35.7100402943,-83.1759792601,973.712524414
35.7100582953,-83.1760612601,973.928405762
35.7100752933,-83.1761389601,974.226867676
35.7100915933,-83.1762168601,974.567626953
