lat,lng,ele
35.7217890864,-83.4374539376,556.731689453
35.7218935864,-83.4376340376,556.295898438
35.7219618854,-83.4378240377,554.836608887
35.7220746854,-83.4380375377,552.963989258
35.7222424865,-83.4382084378,550.823181152
35.7225095855,-83.4383713379,548.145141602
35.7229429856,-83.438782438,546.297363281
35.7232537866,-83.4390130381,544.786315918
35.7234933867,-83.4391971382,543.417602539
35.7237435867,-83.4393042382,543.52154541
35.7240998858,-83.4395141383,541.030212402
35.7244304869,-83.4396568384,539.607421875
35.7246520859,-83.4398404384,535.692871094
35.7248306879,-83.4399233385,533.890930176
35.7248820879,-83.4400575385,533.48059082
35.7249142869,-83.4402464386,532.486206055
35.7249190869,-83.4404565386,530.144287109
35.7248659869,-83.4408529387,527.390380859
