lat,lng,ele
35.6171989782,-83.1198251381,858.615478516
35.6171139782,-83.1198370381,858.660644531
35.6170301772,-83.119819638,858.484069824
35.6169611782,-83.119769138,857.887634277
35.6169347762,-83.119735338,857.705383301
35.6168899762,-83.119675338,858.481262207
35.6168375762,-83.119622338,859.301574707
35.6167496782,-83.119599338,860.699890137
35.6166577771,-83.119595538,860.209594727
35.6165751781,-83.119586838,860.880004883
35.6164922771,-83.1195806379,861.248596191
35.6164093761,-83.1195755379,861.893493652
35.6163264771,-83.1195700379,862.424072266
35.6162436771,-83.1195625379,863.528625488
35.616168376,-83.1195555379,863.738891602
35.616093177,-83.1195476379,864.079528809
35.616018778,-83.1195345379,864.926635742
35.615941677,-83.1195032379,866.105712891
35.615866978,-83.1194662379,867.205078125
35.615785876,-83.1194511379,868.130859375
35.615736077,-83.1194665379,868.34375
35.6156861759,-83.1194815379,868.692871094
35.6155917779,-83.1194739379,869.638244629
35.6155067779,-83.1194327378,870.657836914
35.6154508779,-83.1193649378,871.383666992
35.6154101769,-83.1192866378,872.369995117
35.6153783759,-83.1191939378,873.73840332
35.6153594779,-83.1190976377,874.403747559
35.6153536779,-83.1190203377,874.439758301
35.6153558769,-83.1189428377,874.949279785
35.6153634769,-83.1188656377,875.726989746
35.6153738779,-83.1187888376,876.451293945
35.6153929769,-83.1187116376,877.29901123
35.6154195779,-83.1186367376,878.24407959
35.6154431779,-83.1185607376,879.042236328
35.6154513769,-83.1184818376,879.010192871
35.6154409779,-83.1184137375,878.421630859
35.6154220779,-83.1183473375,878.111633301
35.6154007759,-83.1182817375,877.517089844
35.6153737769,-83.1181930375,877.687683105
35.6153425759,-83.1181057374,877.95703125
35.6152971779,-83.1180251374,879.036682129
35.6152391769,-83.1179568374,879.831665039
35.6151639759,-83.1179112374,880.792297363
35.6150825769,-83.1179445374,881.463195801
35.6150180769,-83.1180067374,882.432678223
35.6149913759,-83.1180511374,882.670471191
35.6149623769,-83.1180935374,882.720947266
35.6148976778,-83.1180568374,883.754455566
35.6148521768,-83.1179889374,884.761657715
35.6148031758,-83.1179237374,885.878173828
35.6147353758,-83.1178591373,887.16394043
35.6146655768,-83.1177967373,888.333374023
35.6145936768,-83.1177367373,889.712097168
35.6145200768,-83.1176789373,890.91003418
35.6144446768,-83.1176233373,892.04309082
35.6143676767,-83.1175700372,893.283447266
35.6142832767,-83.1175216372,894.777282715
35.6141972767,-83.1174759372,896.071228027
35.6141178777,-83.1174198372,897.348937988
35.6140634767,-83.1173629372,898.522094727
35.6140152777,-83.1173005371,899.682128906
35.6139698767,-83.1172360371,900.886413574
35.6139239757,-83.1171719371,901.667114258
35.6138843757,-83.1171144371,902.459899902
35.6138453757,-83.1170565371,903.224731445
35.6138006767,-83.117003037,904.135742188
35.6137334756,-83.116945937,905.604064941
35.6136582766,-83.116899937,907.034423828
35.6135846766,-83.116878337,907.867980957
35.6135082766,-83.116868637,908.862060547
