lat,lng,ele
35.6814914746,-83.5504433683,471.662231445
35.6814307745,-83.5505084683,471.596801758
35.6813445725,-83.5505197683,471.21762085
35.6812685735,-83.5505548683,471.050109863
35.6812491735,-83.5506204683,470.822692871
35.6811759735,-83.5506733683,470.633483887
35.6810948745,-83.5506708683,470.734924316
35.6810360745,-83.5506601683,470.724822998
35.6809782744,-83.5506449683,470.662231445
35.6809194744,-83.5506284683,470.344818115
35.6808618734,-83.5506081683,469.667114258
35.6807768734,-83.5505771683,469.615722656
35.6806957744,-83.5505375683,469.806640625
35.6806394744,-83.5504684682,469.179473877
35.6806228744,-83.5504016682,469.274627686
35.6806258734,-83.5503133682,469.702423096
35.6806355734,-83.5502253682,469.741638184
35.6806355734,-83.5501585681,469.73348999
35.6806322734,-83.5500919681,469.596466064
35.6806217734,-83.5500260681,469.759429932
35.6805976724,-83.5499584681,470.456359863
35.6805705724,-83.5498918681,471.319671631
35.6805575734,-83.549834668,471.602508545
35.6805368734,-83.549780268,471.308288574
35.6804878734,-83.549761768,471.835968018
35.6804384744,-83.549744068,472.17489624
35.6804181734,-83.549687368,470.369995117
35.6803957734,-83.549632168,470.705993652
35.6803054734,-83.549640368,471.013061523
35.6802062733,-83.549648868,471.343566895
35.6801070743,-83.549645068,471.762268066
35.6800174733,-83.549620168,472.632904053
35.6799631733,-83.549629468,472.701263428
35.6799089723,-83.5496387679,472.94342041
35.6798193733,-83.5496138679,473.543212891
35.6797579732,-83.5495767679,474.206665039
35.6796946732,-83.5495435679,475.184631348
35.6796045732,-83.5495407679,475.773071289
35.6795597732,-83.5495282679,475.986450195
