lat,lng,ele
35.5002347308,-83.6802117955,694.643188477
35.5003007298,-83.6802381955,694.736022949
35.5003662298,-83.6802654955,695.158447266
35.5004477299,-83.6803153955,695.570861816
35.5005261309,-83.6803699956,696.430236816
35.5005934299,-83.6804316956,696.604309082
35.5006585309,-83.6804956956,696.60546875
35.5007280299,-83.6805600956,697.296447754
35.5007999299,-83.6806215956,697.775085449
35.5008574299,-83.6806623957,698.366271973
35.5009153309,-83.6807025957,698.864440918
35.50098463,-83.6807620957,699.409729004
35.501057031,-83.6808174957,699.912353516
35.501139031,-83.6808561957,700.447692871
35.501226931,-83.6808782957,700.453308105
35.501313432,-83.6808779958,700.285949707
35.501398531,-83.6808619958,699.880554199
35.5014680311,-83.6808375957,701.446899414
35.5015342321,-83.6808049957,703.253967285
35.5015988301,-83.6807693957,703.460632324
35.5016848301,-83.6807187957,702.007385254
35.5017675321,-83.6806629957,701.868713379
35.5018459301,-83.6806012957,700.712097168
35.5019025312,-83.6805485957,700.915344238
35.5019556312,-83.6804925957,700.467590332
35.5020070312,-83.6804347957,700.542663574
35.5020582312,-83.6803768956,700.717346191
35.5021039312,-83.6803227956,701.170471191
35.5021490312,-83.6802681956,701.151489258
35.5021970322,-83.6802160956,701.107910156
35.5022430312,-83.6801735956,701.079223633
35.5022934313,-83.6801134956,701.686767578
35.5023366313,-83.6800478956,702.376953125
35.5023773303,-83.6799807956,703.352172852
35.5024200313,-83.6799148955,703.651428223
35.5024706323,-83.6798445955,703.04864502
35.5025220323,-83.6797747955,702.868347168
35.5025736313,-83.6797050955,703.010009766
35.5026246323,-83.6796350955,703.723266602
35.5026800304,-83.6795558954,704.281188965
35.5027351314,-83.6794762954,705.153564453
35.5027921324,-83.6793981954,706.264770508
35.5028343324,-83.6793436954,706.74041748
35.5028775304,-83.6792899954,707.22833252
35.5029218324,-83.6792371954,707.618041992
35.5029756304,-83.6791769954,707.597412109
35.5030313314,-83.6791183953,707.47442627
35.5030876315,-83.6790603953,707.555175781
35.5031435315,-83.6790020953,707.362304688
35.5032075325,-83.6789367953,707.095153809
35.5032724325,-83.6788722953,707.12487793
35.5033352315,-83.6788057953,707.908996582
35.5033928315,-83.6787347952,708.272033691
35.5034372315,-83.6786723952,707.933959961
35.5034786306,-83.6786080952,707.772583008
35.5035143326,-83.6785403952,707.705505371
35.5035447326,-83.6784592952,707.975585938
35.5035720316,-83.6783769952,708.454101562
35.5035986316,-83.6782999951,709.089660645
35.5036294326,-83.6782245951,709.390258789
35.5036758306,-83.6781458951,710.749328613
35.5037319316,-83.6780736951,711.091552734
35.5037966306,-83.6780093951,710.95904541
35.5038696317,-83.677954895,709.319824219
35.5039518317,-83.677915595,709.691101074
35.5040412317,-83.677898295,709.482971191
35.5041324327,-83.677899595,710.211242676
35.5042047307,-83.6779159951,710.268615723
35.5042758317,-83.6779373951,710.317626953
35.5043517308,-83.6779504951,710.606750488
35.5044278308,-83.6779625951,711.91394043
35.5045000308,-83.6779888951,711.93963623
35.5045599318,-83.6780317951,711.249023438
35.5046151318,-83.6780808951,711.536010742
35.5046744328,-83.6781381951,711.443237305
35.5047301308,-83.6781989952,711.314147949
35.5047823318,-83.6782628952,711.104736328
35.5048304328,-83.6783331952,710.453674316
35.5048747319,-83.6784058952,710.002990723
35.5049218329,-83.6784768953,710.008178711
35.5049672309,-83.6785346953,710.541015625
35.5050146319,-83.6785908953,711.294189453
35.5050622319,-83.6786468953,711.727844238
35.5051167329,-83.6787171953,711.666870117
35.5051764319,-83.6787829954,711.409240723
35.5052384319,-83.6788291954,710.890136719
35.5052807329,-83.6787983954,711.168395996
35.5053122319,-83.6787544954,711.72454834
35.5053442319,-83.6786844953,711.149536133
35.5053600309,-83.6786086953,710.675354004
35.505374232,-83.6785325953,709.981994629
35.505399933,-83.6784597953,709.798461914
35.505460732,-83.6783875953,709.985229492
35.505511433,-83.6783090952,711.415344238
35.505509332,-83.6782313952,711.324584961
35.505496831,-83.6781542952,711.07208252
35.505483532,-83.6780881952,711.212585449
35.505481733,-83.6780215952,711.163818359
35.505512632,-83.6779785952,711.514892578
35.505555533,-83.6779467951,711.889587402
35.505630933,-83.6779295951,712.823852539
35.505709132,-83.6779298951,713.28503418
35.5057993321,-83.6779276952,713.20703125
35.5058895331,-83.6779248952,713.433105469
35.5059646331,-83.6779127952,713.513000488
35.5060385311,-83.6778945952,713.555664062
35.5061127321,-83.6778774952,713.879882812
35.5061882321,-83.6778686952,714.110656738
35.5062787332,-83.6778727952,714.460327148
35.5063685332,-83.6778853952,715.17779541
35.5064580332,-83.6778996952,715.497802734
35.5065436322,-83.6779117952,715.733337402
35.5066286322,-83.6779273952,715.906188965
35.5066967333,-83.6779431952,716.391296387
35.5067630323,-83.6779648952,715.954406738
35.5068174323,-83.6779923952,716.10345459
35.5068698323,-83.6780235952,715.974853516
35.5069346313,-83.6780621953,715.404052734
35.5069978333,-83.6781034953,715.920471191
35.5070563313,-83.6781509953,715.79888916
35.5071019323,-83.6782024953,715.966674805
35.5071433323,-83.6782573953,716.406555176
35.5071880313,-83.6783096953,716.899536133
35.5072552324,-83.6783680954,717.143005371
35.5073275324,-83.6784202954,717.346984863
35.5074007324,-83.6784710954,717.689819336
35.5074735324,-83.6785230954,717.73223877
35.5075472314,-83.6785737954,717.893798828
35.5076227324,-83.6786217955,718.253356934
35.5076930324,-83.6786556955,718.001464844
35.5077660324,-83.6786836955,717.957946777
35.5078369325,-83.6787162955,717.709716797
35.5078990335,-83.6787632955,717.856445312
35.5079384315,-83.6788141955,718.130310059
35.5079778325,-83.6788650956,718.334899902
35.5080386325,-83.6789188956,718.381408691
35.5081071315,-83.6789624956,718.038330078
35.5081823325,-83.6789930956,717.466796875
35.5082454335,-83.6789993956,717.218261719
35.5083081335,-83.6790083956,717.97265625
35.5083720336,-83.6790403956,718.805419922
35.5084235316,-83.6790893956,719.604492188
35.5084256326,-83.6791847957,719.216064453
35.5083973316,-83.6792784957,718.574890137
35.5083811325,-83.6793744957,718.354675293
35.5084010325,-83.6794717958,718.575439453
35.5084428325,-83.6795620958,718.718322754
35.5084980316,-83.6796449958,719.355407715
35.5085609316,-83.6797221958,719.927734375
35.5086275326,-83.6797962959,720.48236084
35.5086945316,-83.6798699959,720.666320801
35.5087549316,-83.6799339959,720.683776855
35.5088179316,-83.6799953959,720.898193359
35.5088849336,-83.680060996,720.115600586
35.5089538326,-83.680124496,719.685974121
35.5090301316,-83.680178796,720.201293945
35.5090941327,-83.680206996,720.988464355
35.5091608317,-83.680228096,721.459960938
35.5092268327,-83.680251496,721.602905273
35.5092976317,-83.6802882961,721.419311523
35.5093670327,-83.6803276961,721.508239746
35.5094408327,-83.6803577961,721.737915039
35.5095305337,-83.6803688961,721.840209961
35.5096208328,-83.6803747961,721.937683105
35.5096905328,-83.6803835961,722.750244141
35.5097599338,-83.6803947961,723.368286133
35.5098272328,-83.6804146961,723.291992188
35.5098938338,-83.6804551961,723.286621094
35.5099552338,-83.6805035962,723.165466309
35.5100226338,-83.6805424962,722.783203125
35.5100995329,-83.6805575962,722.745300293
35.5101781329,-83.6805592962,723.569519043
35.5102566319,-83.6805612962,725.168457031
35.5103511329,-83.6805688962,725.899353027
35.5104457329,-83.6805764962,726.884216309
35.5105402329,-83.6805851962,728.596923828
35.510634432,-83.6805958962,730.641235352
35.510724832,-83.6806063962,732.166320801
35.510815033,-83.6806184962,733.553955078
35.510903832,-83.6806379962,734.929443359
35.510968934,-83.6806556963,735.662109375
35.511032932,-83.6806771963,735.593994141
35.5110915331,-83.6807102963,735.321411133
35.5111360331,-83.6807553963,734.655456543
35.5111796321,-83.6808014963,734.18963623
35.5112577331,-83.6808515963,734.125610352
35.5113398331,-83.6808949963,734.319335938
35.5114058341,-83.6809326964,735.671386719
35.5114716341,-83.6809706964,736.389526367
35.5115355341,-83.6810116964,736.803771973
35.5115911341,-83.6810489964,736.600280762
35.5116418332,-83.6810923964,737.059692383
35.5116769332,-83.6811376964,735.796813965
35.5117294332,-83.6811541964,736.303100586
35.5117845342,-83.6811632965,737.865905762
35.5118480332,-83.6812008965,737.896118164
35.5119023332,-83.6812506965,736.881835938
35.5119434322,-83.6813118965,735.92175293
35.5119602332,-83.6813675965,733.917358398
35.5119770332,-83.6814232965,731.514404297
35.5120352332,-83.6814875966,730.842041016
35.5121107332,-83.6815320966,731.637878418
35.5121807332,-83.6815843966,731.477844238
35.5122236343,-83.6816392966,731.455749512
35.5122623323,-83.6816972966,730.741149902
35.5123031333,-83.6817537967,730.10168457
35.5123529333,-83.6818134967,729.969543457
35.5124052323,-83.6818709967,729.860717773
35.5124616333,-83.6819244967,730.016967773
35.5125151323,-83.6819669967,729.852172852
35.5125714333,-83.6820055967,729.733642578
35.5126303333,-83.6820402968,729.872802734
35.5126995323,-83.6820737968,729.973205566
35.5127713333,-83.6821014968,730.555664062
35.5128447334,-83.6821245968,730.964477539
35.5129126344,-83.6821426968,731.275146484
35.5129814324,-83.6821566968,731.919006348
35.5130511334,-83.6821645968,732.156188965
35.5131333334,-83.6821662968,732.691162109
35.5132153324,-83.6821593968,733.036193848
35.5132950335,-83.6821395968,733.103088379
35.5133679335,-83.6821075968,732.792724609
35.5134356335,-83.6820656968,732.610839844
35.5134961335,-83.6820139968,732.439880371
35.5135518345,-83.6819442968,732.579162598
35.5135972325,-83.6818674968,732.868041992
35.5136364335,-83.6817871967,733.27532959
35.5136650325,-83.6817118967,733.918640137
35.5136884336,-83.6816347967,733.830688477
35.5137136336,-83.6815581967,733.30255127
35.5137447336,-83.6814731967,732.785522461
35.5137778326,-83.6813889966,733.848999023
35.5138183346,-83.6813081966,734.850402832
35.5138664336,-83.6812341966,734.393432617
35.5139215346,-83.6811652966,732.765441895
35.5139851346,-83.6811041966,732.442321777
35.5140660347,-83.6810551966,732.828308105
35.5141494347,-83.6810104966,734.408325195
35.5142318347,-83.6809581965,735.899108887
35.5143052337,-83.6808943965,737.00793457
35.5143446337,-83.6808244965,736.734313965
35.5143734347,-83.6807492965,736.435058594
35.5144092347,-83.6806773965,736.060913086
35.5144580338,-83.6806142965,735.579101562
35.5145136338,-83.6805570964,735.53704834
35.5145752338,-83.6805064964,736.011047363
35.5146464328,-83.6804624964,735.988342285
35.5147228328,-83.6804283964,735.791870117
35.5148029348,-83.6804038964,735.518432617
35.5148718339,-83.6803955964,735.732421875
35.5149414329,-83.6803946964,735.65447998
35.5150106339,-83.6803886964,735.848022461
35.5150827339,-83.6803672964,735.996337891
35.5151557339,-83.6803493964,736.141113281
35.5152503339,-83.6803606964,736.622314453
35.515344335,-83.6803777964,736.658447266
35.515413834,-83.6803769964,736.806274414
35.515483035,-83.6803708964,737.07824707
35.515552035,-83.6803625964,737.323364258
35.515624434,-83.6803506964,737.473388672
35.515696535,-83.6803363964,737.698181152
35.515769133,-83.6803257964,737.760253906
35.5158592331,-83.6803201964,738.00982666
35.5159495341,-83.6803206965,738.017089844
35.5160258341,-83.6803301965,738.004333496
35.5161024331,-83.6803367965,738.143920898
35.5161726341,-83.6803240965,738.168151855
35.5162408331,-83.6803027965,738.016235352
35.5163107352,-83.6802885965,737.489990234
35.5163783342,-83.6802899965,737.782958984
35.5164458342,-83.6802930965,738.346313477
35.5165409332,-83.6802885965,738.866638184
35.5166355332,-83.6802773965,739.251342773
35.5167214352,-83.6802571965,739.509094238
35.5168076343,-83.6802389965,739.953796387
35.5168797343,-83.6802375965,740.070495605
35.5169516343,-83.6802428965,740.328063965
35.5170237353,-83.6802461965,740.597473145
35.5171080343,-83.6802430965,740.714355469
35.5171922333,-83.6802372965,740.16003418
35.5172764344,-83.6802325965,739.811218262
35.5173455354,-83.6802303965,739.651855469
35.5174147344,-83.6802288965,739.602478027
35.5174838344,-83.6802283965,739.768005371
35.5175739344,-83.6802296965,740.505737305
35.5176640344,-83.6802327965,741.671081543
35.5177540335,-83.6802373965,741.942810059
35.5178292345,-83.6802410965,742.065307617
35.5179044345,-83.6802458965,742.338317871
35.5179790335,-83.6802558966,742.559631348
35.5180690345,-83.6802793966,742.791503906
35.5181581345,-83.6803059966,743.178100586
35.5182519336,-83.6803296966,743.520568848
35.5183462336,-83.6803516966,743.55657959
35.5184405336,-83.6803732966,743.701599121
35.5185347356,-83.6803956966,743.895202637
35.5186112346,-83.6804133966,744.056213379
35.5186871356,-83.6804337967,744.139160156
35.5187503347,-83.6804563967,744.34552002
35.5188122347,-83.6804820967,744.539428711
35.5188723347,-83.6805120967,744.632568359
35.5189309347,-83.6805448967,744.745849609
35.5189903347,-83.6805761967,744.788879395
35.5190744347,-83.6806175967,745.171936035
35.5191599347,-83.6806560967,744.801757812
35.5192493357,-83.6806840968,744.858154297
35.5192984348,-83.6806938968,744.83380127
35.5193482348,-83.6806983968,744.701477051
35.5194205348,-83.6806897968,744.535461426
35.5194838348,-83.6806808968,745.001586914
35.5195395338,-83.6807170968,745.34362793
35.5195901348,-83.6807615968,745.538879395
35.5196501338,-83.6807928968,745.862731934
35.5197152358,-83.6808097968,746.050720215
35.5198070339,-83.6807740968,746.242492676
35.5198886349,-83.6807163968,745.831787109
35.5199614339,-83.6806628968,746.451965332
35.5200352339,-83.6806109968,746.753295898
35.5201008349,-83.6805812968,746.971069336
35.5201689349,-83.6805575968,747.145812988
35.520235335,-83.6805294968,747.294494629
35.520308436,-83.6804877968,747.419128418
35.520354535,-83.6804031967,747.777587891
35.520393335,-83.6803141967,748.341003418
35.520461335,-83.6802444967,748.801269531
35.520541835,-83.6801891967,748.93170166
35.5206227351,-83.6801343967,749.187316895
35.5207050361,-83.6800780967,749.604248047
35.5207877351,-83.6800221967,750.456237793
35.5208610341,-83.6799548966,750.692993164
35.5209038341,-83.6799009966,750.876098633
35.5209418361,-83.6798434966,751.271850586
35.5209730351,-83.6797821966,751.512695312
35.5210047362,-83.6796911966,751.905700684
35.5210222352,-83.6795964965,752.338684082
35.5210250352,-83.6795217965,752.75402832
35.5210188362,-83.6794473965,753.060119629
35.5210001352,-83.6793751965,753.413146973
35.5209710352,-83.6793153965,753.945251465
35.5209305352,-83.6792626964,754.025939941
35.5208405361,-83.6792249964,753.542907715
35.5207423351,-83.6792122964,753.803466797
35.5206738351,-83.6792003964,754.165893555
35.5206048351,-83.6791913964,754.528991699
35.5205357351,-83.6791833964,754.763183594
35.5204593341,-83.6791747964,754.98815918
35.520382836,-83.6791672964,755.262939453
