lat,lng,ele
35.6216910784,-83.0890024293,828.646240234
35.6216263794,-83.0889371292,829.264038086
35.6215671794,-83.0888667292,828.852661133
35.6215276804,-83.0888189292,829.211914062
35.6214967784,-83.0887655292,829.471984863
35.6214848804,-83.0886996292,830.24017334
35.6214900784,-83.0886329291,830.772033691
35.6215361794,-83.0885703291,831.175292969
35.6215913784,-83.0885141291,831.22064209
35.6216286804,-83.0884563291,831.592224121
35.6216603784,-83.0883953291,832.454772949
35.6216756804,-83.0883286291,833.709350586
35.6216698794,-83.088266229,834.801574707
35.6216507804,-83.088206529,835.569030762
35.6216171804,-83.088155829,836.421813965
35.6215711804,-83.088116129,837.484924316
35.6214859794,-83.088108129,838.722717285
35.6213997794,-83.088122729,839.70715332
35.6213411784,-83.088128329,840.333740234
35.6212824793,-83.088130729,840.776428223
35.6212115793,-83.088118829,841.072753906
35.6211431793,-83.088096529,841.583007812
35.6210761803,-83.088070129,842.787475586
35.6210112803,-83.0880455289,843.777404785
35.6209509793,-83.0880116289,844.235778809
35.6209016803,-83.0879504289,845.279052734
35.6208539793,-83.0878877289,846.976623535
35.6207976793,-83.0878363289,848.340881348
35.6207291782,-83.0878071289,849.59753418
35.6206805782,-83.0878341289,850.023010254
35.6206378792,-83.0878710289,850.365600586
35.6205664782,-83.0879375289,850.865478516
35.6204914792,-83.0879997289,852.055358887
35.6204257802,-83.0880319289,853.585632324
35.6203553792,-83.0880513289,855.063598633
35.6203012791,-83.0880514289,855.979064941
35.6202471801,-83.0880485289,856.505554199
35.6201581791,-83.0880746289,857.634338379
35.6200720781,-83.0881102289,858.951049805
35.6199849791,-83.0880969289,861.10748291
35.6199410781,-83.0880295289,863.084289551
35.6199406801,-83.0879568289,864.276794434
35.6199615791,-83.0878865288,865.675170898
35.6200038791,-83.0878278288,866.543273926
35.6200615781,-83.0877830288,867.147827148
35.6201173801,-83.0877360288,867.945983887
35.6201790801,-83.0876667288,868.90246582
35.6202375801,-83.0875946288,869.282836914
35.6202924792,-83.0875198287,869.278137207
35.6203366782,-83.0874546287,869.191589355
35.6203787792,-83.0873880287,870.022827148
35.6204171802,-83.0873193287,871.313659668
35.6204503802,-83.0872479287,873.048217773
35.6204831792,-83.0871624287,874.618347168
35.6205098802,-83.0870748286,875.933044434
35.6205270802,-83.0869849286,876.884216309
35.6205290782,-83.0868911286,878.043640137
35.6205302802,-83.0867973285,879.022766113
35.6205370782,-83.0867300285,879.598327637
35.6205476792,-83.0866633285,880.414489746
35.6205698793,-83.0865996285,881.453491211
35.6206347803,-83.0865262285,882.925170898
35.6207163783,-83.0864709285,884.548095703
35.6207902793,-83.0864306285,885.714416504
35.6208691793,-83.0864015285,886.617797852
35.6209521803,-83.0863887285,887.059020996
35.6210284794,-83.0864022285,887.945922852
35.6211049784,-83.0864148285,888.700195312
35.6211687794,-83.0864019285,889.736877441
35.6212316794,-83.0863849285,890.734863281
35.6212989784,-83.0863715285,891.129882812
35.6213671794,-83.0863664285,891.10748291
35.6214358794,-83.0863793285,890.488769531
