lat,lng,ele
35.6232349541,-83.7102056116,597.995178223
35.6231671561,-83.7102651116,598.36730957
35.6230989551,-83.7103243116,598.786376953
35.6230305551,-83.7103831116,598.828979492
35.6229618551,-83.7104416116,598.67401123
35.6228928551,-83.7104998117,598.486694336
35.622820754,-83.7105428117,598.474487305
35.622745354,-83.7105797117,598.523071289
35.622667255,-83.7106104117,599.004760742
35.622586854,-83.7106347117,598.919433594
35.622518655,-83.7106944117,599.151672363
35.622447355,-83.7107504117,598.865478516
35.6223733539,-83.7108026117,598.949645996
35.6222966539,-83.7108509117,599.113098145
35.6222175549,-83.7108952117,598.789611816
35.6221560539,-83.7109413117,598.574890137
35.6220922549,-83.7109843117,597.946105957
35.6220263549,-83.7110239118,598.127990723
35.6219585538,-83.7110602118,598.303771973
35.6218676548,-83.7110858118,598.604431152
35.6217732548,-83.7110852118,599.506652832
35.6216827538,-83.7110584117,600.91973877
35.6216071548,-83.7109990117,602.245239258
35.6215275548,-83.7109449117,602.89654541
35.6214444547,-83.7108966117,603.11340332
35.6213661547,-83.7108703117,603.435241699
35.6212835557,-83.7108705117,603.872131348
35.6212053547,-83.7108971117,604.631896973
35.6211186557,-83.7109063117,605.462341309
35.6210319547,-83.7109150117,605.811401367
35.6209452546,-83.7109232117,606.183654785
35.6208476556,-83.7109403117,607.118713379
35.6207555556,-83.7109765117,608.01751709
35.6206724556,-83.7110304117,609.217407227
35.6206052546,-83.7110864117,610.430114746
35.6205387545,-83.7111433117,610.677856445
35.6204730555,-83.7112010117,610.528442383
35.6204080545,-83.7112596117,610.877990723
35.6203272545,-83.7113075117,611.079650879
35.6202396545,-83.7113414117,610.261474609
35.6201476544,-83.7113604117,609.528625488
35.6200678554,-83.7113660117,608.778747559
35.6199881544,-83.7113740117,608.190551758
35.6199087534,-83.7113842117,607.736694336
35.6198297554,-83.7113968117,607.305358887
35.6197409534,-83.7114067117,607.401977539
35.6196542543,-83.7114284117,607.713745117
35.6195712533,-83.7114615117,608.138061523
35.6194859533,-83.7115042117,609.136901855
35.6194075553,-83.7115584118,610.518676758
35.6193374543,-83.7116230118,612.10925293
35.6192770543,-83.7116968118,613.635864258
35.6192106542,-83.7117497118,614.36340332
35.6191290542,-83.7117733118,614.734680176
35.6190446542,-83.7117641118,615.317504883
