lat,lng,ele
35.6538132724,-83.4348771327,1980.49304199
35.6538112714,-83.4349483328,1980.61779785
35.6538216724,-83.4350187328,1980.77319336
35.6538459724,-83.4350828328,1981.12207031
35.6538790714,-83.4351430328,1982.07543945
35.6539414724,-83.4352155329,1983.52648926
35.6540219724,-83.4352678329,1984.96154785
35.6541077735,-83.4353112329,1985.05688477
35.6541908735,-83.4353596329,1985.51965332
35.6542608735,-83.4354250329,1986.60510254
35.6542941715,-83.4354709329,1988.42138672
35.6543248715,-83.435518633,1989.93457031
35.6543687725,-83.435600533,1990.53198242
35.6544042725,-83.435686433,1990.45361328
35.6544331735,-83.435774833,1991.55725098
35.6544570725,-83.4358646331,1992.86291504
35.6544772735,-83.4359554331,1994.48095703
35.6544950725,-83.4360466331,1995.8260498
35.6545117735,-83.4361381332,1996.97973633
35.6545213735,-83.4362166332,1998.04956055
35.6545287715,-83.4362953332,1998.9786377
35.6545442725,-83.4363728332,2000.36450195
35.6545867725,-83.4364552333,2000.94189453
35.6546220715,-83.4365404333,2001.5423584
35.6546217715,-83.4366250333,2002.52453613
35.6545608725,-83.4366217333,2003.80761719
35.6545042725,-83.4365705333,2005.16320801
35.6544635715,-83.4365039333,2005.7322998
35.6544047715,-83.4364569332,2006.67675781
35.6543321735,-83.4364749332,2008.01489258
35.6542910725,-83.4365295333,2008.86401367
35.6542688734,-83.4366055333,2009.40979004
35.6542632724,-83.4366849333,2009.48486328
35.6542769714,-83.4367624333,2008.69921875
35.6543019724,-83.4368374333,2007.60827637
35.6543114714,-83.4369153334,2006.42687988
35.6542903714,-83.4369839334,2005.21691895
35.6542553724,-83.4370466334,2004.09936523
35.6542135734,-83.4371052334,2003.3248291
35.6541475724,-83.4371710334,2002.14050293
35.6540678734,-83.4372196334,1999.91052246
35.6539809714,-83.4372535335,1998.65686035
35.6538903723,-83.4372763335,1997.6809082
35.6537980723,-83.4372911335,1996.41040039
35.6537186723,-83.4372897334,1995.73327637
35.6536395723,-83.4372799334,1994.78283691
35.6535602723,-83.4372822334,1993.5637207
35.6534701723,-83.4373118334,1990.96203613
35.6533868712,-83.4373574334,1989.75610352
35.6533100722,-83.4374134335,1989.4552002
35.6532389712,-83.4374764335,1988.00671387
35.6531867732,-83.4375289335,1987.39135742
35.6531405722,-83.4375866335,1986.44091797
35.6530911722,-83.4376655335,1985.45239258
35.6530530721,-83.4377502335,1983.83251953
35.6530414711,-83.4378419336,1983.21411133
35.6530520721,-83.4378962336,1982.60424805
35.6530724721,-83.4379477336,1981.97973633
35.6531069711,-83.4379930336,1981.30981445
35.6531502722,-83.4380303336,1980.47546387
35.6532124722,-83.4380664336,1979.08532715
35.6532816732,-83.4380862337,1977.58325195
35.6533468732,-83.4380724337,1976.99047852
35.6534113722,-83.4380704337,1975.94958496
35.6534583722,-83.4381575337,1974.51037598
35.6534722722,-83.4382463337,1973.47583008
35.6534562712,-83.4383353337,1972.5111084
35.6534258712,-83.4384206338,1971.5567627
35.6533908722,-83.4385041338,1970.62683105
35.6533579722,-83.4385885338,1969.59204102
35.6533344712,-83.4386759338,1968.69921875
35.6533193732,-83.4387691339,1967.75439453
35.6533063712,-83.4388626339,1967.14807129
35.6532952721,-83.4389564339,1965.96130371
35.6532864731,-83.4390504339,1965.50695801
35.6532797731,-83.439144634,1964.44396973
35.6532754721,-83.439238934,1963.63952637
35.6532730731,-83.439335034,1962.6784668
35.6532727731,-83.439431134,1961.8737793
35.6532751721,-83.4395272341,1960.9666748
35.6532810731,-83.4396231341,1960.15710449
35.6532871711,-83.4397212341,1959.57055664
35.6532939721,-83.4398193342,1959.21228027
35.6533083721,-83.4399165342,1958.77954102
35.6533396721,-83.4400094342,1958.43469238
35.6533826731,-83.4400797342,1958.17138672
35.6534356721,-83.4401426343,1957.98291016
35.6534978721,-83.4401966343,1957.56079102
35.6535693712,-83.4402373343,1957.00756836
35.6536186722,-83.4402502343,1956.61730957
35.6536680732,-83.4402624343,1956.12756348
35.6537363722,-83.4403023343,1955.59802246
35.6537956712,-83.4403551343,1954.62780762
35.6538532722,-83.4404098344,1953.48010254
35.6539164712,-83.4404577344,1952.74475098
35.6539827722,-83.4404939344,1951.87097168
35.6540512732,-83.4405255344,1950.85229492
35.6541218733,-83.4405523344,1949.39855957
