lat,lng,ele
35.5795611625,-83.321130995,745.646057129
35.5796450615,-83.321151895,746.054199219
35.5797289625,-83.321172695,746.19921875
35.5798128615,-83.321193595,746.855285645
35.5798967606,-83.321214395,747.111999512
35.5799806616,-83.321235295,747.469421387
35.5800585616,-83.321269095,747.730957031
35.5801364606,-83.3213029951,748.02911377
35.5802143626,-83.3213367951,747.993347168
35.5802922616,-83.3213706951,747.540283203
35.5803701617,-83.3214044951,747.592895508
35.5804480607,-83.3214383951,747.695617676
35.5805267617,-83.3214690951,748.241638184
35.5806076617,-83.3214934951,747.833862305
35.5806902627,-83.3215112951,746.988220215
35.5807739627,-83.3215223952,746.718017578
35.5808701628,-83.3215309952,746.829528809
35.5809663628,-83.3215395952,747.128723145
35.5810620618,-83.3215607952,747.36706543
35.5811578608,-83.3215819952,747.725463867
35.5812535618,-83.3216031952,747.737792969
35.5813464618,-83.3216168952,747.768005371
35.5814393629,-83.3216305952,748.094299316
35.5815322619,-83.3216442952,748.900634766
35.5816086619,-83.3216575952,749.273925781
35.5816849619,-83.3216707953,749.432250977
35.5817476619,-83.3216963953,749.372497559
35.5818103629,-83.3217219953,749.53692627
35.581880962,-83.3217407953,749.959838867
35.581953961,-83.3217402953,750.378051758
35.582024362,-83.3217207953,750.943115234
35.582093662,-83.3216915953,751.180175781
35.582162863,-83.3216624953,751.833068848
35.582238162,-83.3216536953,752.116577148
35.582313461,-83.3216447953,752.297180176
35.5823887621,-83.3216359953,752.563598633
35.5824501631,-83.3216197953,752.677001953
35.5825114621,-83.3216035953,752.882995605
35.5826059621,-83.3215884953,753.351318359
35.5827015621,-83.3215886953,753.870727539
35.5827959631,-83.3216041953,754.090209961
35.5828866622,-83.3216346953,754.327392578
35.5829712622,-83.3216792953,754.769714355
35.5830475612,-83.3217368954,754.881530762
35.5831137622,-83.3218059954,755.370483398
35.5831458622,-83.3218375954,755.797302246
35.5832116622,-83.3218914954,755.611694336
35.5832873622,-83.3219301954,755.908630371
35.5833695623,-83.3219518954,756.195007324
35.5834373633,-83.3219612954,756.524719238
35.5835051613,-83.3219706954,756.86529541
35.5835729613,-83.3219800955,756.815429688
35.5836635623,-83.3220034955,756.990905762
35.5837541613,-83.3220267955,757.305786133
35.5838447623,-83.3220501955,757.653503418
35.5839353614,-83.3220734955,758.023010254
35.5840258624,-83.3220968955,758.297485352
35.5841164634,-83.3221201955,758.436462402
35.5842070624,-83.3221435955,758.726989746
35.5842976634,-83.3221668956,759.120849609
35.5843882625,-83.3221902956,759.178833008
35.5844813625,-83.3222069956,759.65802002
35.5845744635,-83.3222237956,760.037414551
35.5846675625,-83.3222404956,760.014282227
35.5847606625,-83.3222571956,760.148620605
35.5848537636,-83.3222738956,761.028686523
35.5849467636,-83.3222906956,761.235656738
35.5850398626,-83.3223073956,761.445495605
35.5851329626,-83.3223240956,762.114562988
35.5852260636,-83.3223407957,762.853637695
35.5853191616,-83.3223575957,762.688354492
35.5854122627,-83.3223742957,762.982788086
35.5855009617,-83.3223768957,763.643798828
35.5855896627,-83.3223793957,763.890441895
35.5856783617,-83.3223819957,763.832824707
35.5857671617,-83.3223845957,763.779663086
35.5858558628,-83.3223871957,764.457763672
35.5859445618,-83.3223896957,765.233825684
35.5860332628,-83.3223922957,765.666137695
35.5860922628,-83.3223939957,765.869506836
35.5861511628,-83.3223956957,765.798156738
35.5862091618,-83.3224079957,766.067932129
35.5862671628,-83.3224202957,766.591674805
35.5863585629,-83.3224395958,766.523864746
35.5864499629,-83.3224589958,767.041137695
35.5865413629,-83.3224782958,767.55255127
35.5866326629,-83.3224975958,768.191772461
35.5867240629,-83.3225169958,768.536987305
35.5868154629,-83.3225362958,768.740356445
35.586903763,-83.3225692958,769.35534668
35.586991963,-83.3226022958,769.663879395
35.587080264,-83.3226352959,770.269775391
35.587168464,-83.3226682959,770.841552734
35.587253262,-83.3227168959,771.416992188
35.587330262,-83.3227771959,771.81842041
35.5873975631,-83.3228479959,772.02545166
35.5874539621,-83.322927896,772.449157715
35.5874982641,-83.323014996,773.030578613
35.5875293621,-83.323107696,773.237792969
35.5875467631,-83.323203896,773.835754395
35.5875500641,-83.3233015961,773.905700684
35.5875391641,-83.3233986961,774.037109375
35.5875218631,-83.3234860961,774.32623291
35.5875045631,-83.3235734962,774.903686523
35.587487263,-83.3236608962,775.336425781
35.587469864,-83.3237481962,775.947937012
35.587452564,-83.3238355962,776.246398926
35.587435263,-83.3239229963,776.583984375
35.587417963,-83.3240103963,776.823791504
35.587405662,-83.3241084963,777.193908691
35.587393263,-83.3242065963,777.499633789
35.587380963,-83.3243047964,778.14630127
35.587368564,-83.3244028964,778.532958984
35.587356263,-83.3245009964,779.141967773
35.587343863,-83.3245990964,779.553344727
35.587331562,-83.3246972965,779.959899902
35.587319163,-83.3247953965,780.574157715
35.587306864,-83.3248934965,781.154663086
35.587305063,-83.3249108965,781.247253418
35.5872864619,-83.3250079966,781.701599121
35.5872833629,-83.3251067966,781.994384766
35.5872960619,-83.3252047966,781.556030273
35.5873240629,-83.3252995966,782.053771973
35.587366662,-83.3253887967,782.55859375
35.587422864,-83.3254701967,783.449401855
35.587491163,-83.3255415967,783.870056152
35.587569962,-83.3256012968,784.568969727
35.587657263,-83.3256477968,784.977294922
35.587750764,-83.3256798968,785.547912598
35.587848063,-83.3256967968,786.231323242
35.5879469641,-83.3256980968,786.757873535
35.5880447641,-83.3256836968,787.57220459
35.5881390641,-83.3256540968,788.17565918
35.5882130631,-83.3256118968,788.492797852
35.5882870621,-83.3255697968,788.89239502
35.5883610632,-83.3255275968,789.407165527
