lat,lng,ele
35.6868756808,-83.3972441237,678.211303711
35.6868134818,-83.3971797236,678.456420898
35.6867334807,-83.3971404236,679.04864502
35.6866740807,-83.3971346236,679.38684082
35.6866161807,-83.3971480236,679.832702637
35.6865579807,-83.3972065236,680.552368164
35.6865143817,-83.3972775237,681.478088379
35.6864783807,-83.3973412237,682.307006836
35.6864486807,-83.3974081237,683.063598633
35.6864220797,-83.3974964237,684.093505859
35.6864061807,-83.3975872237,685.143310547
35.6864003797,-83.3976793238,686.235595703
35.6864053816,-83.3977714238,687.120788574
35.6864195807,-83.3978322238,687.541442871
35.6864300796,-83.3978937238,688.014465332
35.6864085816,-83.3979709239,688.860351562
35.6863818806,-83.3980469239,689.479797363
35.6863797806,-83.3981206239,689.926635742
35.6863862796,-83.3981943239,690.282958984
35.6863864806,-83.3982681239,690.799072266
35.6863666806,-83.398357324,691.318359375
35.6863367796,-83.398443724,692.014038086
35.6863091816,-83.398530924,692.226745605
35.6862870806,-83.398618224,692.456115723
35.6862695816,-83.3987065241,692.729675293
35.6862580816,-83.3987778241,693.196533203
35.6862577816,-83.3988498241,694.067687988
35.6862758806,-83.3989015241,694.637573242
35.6863007806,-83.3989505241,694.948120117
35.6863376816,-83.3990060242,695.233337402
35.6863784806,-83.3990589242,695.25177002
35.6864055806,-83.3991194242,695.363586426
35.6864114816,-83.3992032242,695.789001465
35.6863931806,-83.3992847242,696.074157715
35.6863520796,-83.3993223243,696.483520508
35.6863105796,-83.3993596243,696.545410156
35.6862886806,-83.3994125243,695.596008301
35.6862813816,-83.3994692243,694.551940918
35.6863055806,-83.3995258243,693.798706055
35.6863331816,-83.3995813243,694.182128906
35.6863262806,-83.3996518243,695.347045898
35.6863034816,-83.3997197244,696.062194824
35.6862929795,-83.3997900244,696.781799316
35.6863096805,-83.3998513244,697.425842285
35.6863265805,-83.3999125244,697.769104004
35.6863155815,-83.3999904244,698.434936523
35.6862896815,-83.4000653245,698.997009277
35.6862768805,-83.4001430245,699.782653809
35.6863030805,-83.4002388245,700.39074707
35.6863362805,-83.4003327245,701.128051758
35.6863438805,-83.4004112246,702.069580078
35.6863464805,-83.4004902246,702.535339355
35.6863676815,-83.4005656246,702.815673828
35.6864119805,-83.4006055246,703.290466309
35.6864561805,-83.4006456246,704.020080566
35.6864883805,-83.4007262247,705.058349609
35.6864979805,-83.4008126247,706.002990723
35.6864873805,-83.4008896247,706.641967773
35.6864847805,-83.4009710247,707.424621582
35.6864899805,-83.4010523248,708.358520508
35.6865005805,-83.4011331248,709.319030762
35.6865149805,-83.4012004248,709.820983887
35.6865333805,-83.4012668248,710.261413574
35.6865506805,-83.4013335249,711.186218262
35.6865603815,-83.4014050249,712.506713867
35.6865684795,-83.4014767249,714.020141602
35.6865914795,-83.4015446249,714.827758789
35.6866257805,-83.4015901249,714.830932617
35.6866709816,-83.4016243249,716.023986816
35.6867250796,-83.4016214249,717.25402832
35.6867793796,-83.4016165249,717.167053223
35.6868390816,-83.401654425,716.801635742
35.6868856806,-83.401708225,716.71295166
