lat,lng,ele
35.6385238508,-83.8979567674,471.809112549
35.6383993518,-83.8978860674,472.70904541
35.6382052507,-83.8977134673,472.457336426
35.6380722507,-83.8976202673,472.825134277
35.6380381507,-83.8975417673,470.992858887
35.6381263507,-83.8972468672,467.100494385
35.6381830518,-83.8971385672,468.495666504
35.6381864508,-83.8969951671,473.678314209
35.6381462518,-83.8967949671,474.260559082
35.6380866508,-83.896649267,472.787384033
35.6381070498,-83.896550667,468.623901367
35.6380511508,-83.8962503669,468.976318359
35.6379669518,-83.8960044668,467.7394104
35.6378975507,-83.8958915668,466.827972412
35.6380468518,-83.8956871667,461.576873779
35.6381040518,-83.8955567667,458.202941895
35.6381585508,-83.8955366667,457.486938477
35.6382025498,-83.8955823667,458.081054688
35.6382663508,-83.8955515667,456.230621338
35.6382870508,-83.8954418667,454.413757324
35.6384266509,-83.8952592666,453.50567627
35.6385389509,-83.8950866666,456.794433594
35.6386856509,-83.8949815666,458.046203613
35.638733851,-83.8948507665,456.138946533
35.638819952,-83.8946441665,453.694213867
35.638922151,-83.8945153664,452.385559082
35.63903155,-83.8944640664,450.768829346
35.6391073501,-83.8943122664,448.811981201
35.6393637511,-83.8941448664,452.330810547
35.6396100502,-83.8940212663,456.165374756
35.6398092512,-83.8939842663,457.824462891
35.6399185512,-83.8939330663,458.481048584
35.6400451513,-83.8939154663,454.309539795
35.6402003513,-83.8938327663,448.486541748
35.6403906513,-83.8937954663,442.382659912
35.6404799504,-83.8938318663,440.378479004
35.6405503514,-83.8939005664,439.480438232
35.6406316524,-83.8938924664,439.442840576
35.6407121514,-83.8939174664,439.439239502
