lat,lng,ele
35.6566848724,-83.4501508374,1822.60327148
35.6566689734,-83.4502382374,1822.54516602
35.6566581714,-83.4503263374,1822.36706543
35.6566524724,-83.4504149375,1822.05126953
35.6566518724,-83.4504927375,1821.89074707
35.6566553724,-83.4505703375,1821.64160156
35.6566625734,-83.4506478375,1821.51501465
35.6566732724,-83.4507248376,1821.42736816
35.6566828724,-83.4507865376,1820.90686035
35.6566977714,-83.4508470376,1820.10754395
35.6567242714,-83.4508973376,1818.85998535
35.6567497734,-83.4509480376,1817.53540039
35.6567588724,-83.4510143377,1817.16955566
35.6567651714,-83.4510810377,1817.17089844
35.6567813724,-83.4511369377,1816.45581055
35.6567988724,-83.4511925377,1816.03393555
35.6568135724,-83.4512476377,1815.36901855
35.6568236714,-83.4513037377,1814.58496094
35.6568216734,-83.4514030378,1813.39196777
35.6567956724,-83.4514911378,1812.64282227
35.6567522724,-83.4515725378,1811.82385254
35.6567083724,-83.4516536378,1811.05932617
35.6566810733,-83.4517140379,1810.27941895
35.6566518723,-83.4517734379,1809.98327637
35.6566072733,-83.4518341379,1810.63183594
35.6565579723,-83.4518913379,1810.81896973
35.6565219713,-83.4519571379,1810.37585449
35.6565087723,-83.4520503379,1809.37341309
35.6565090723,-83.452144638,1808.7434082
35.6565202723,-83.452222938,1808.03137207
35.6565413723,-83.452299338,1806.6895752
35.6565589733,-83.452376538,1806.484375
35.6565568713,-83.4524553381,1806.96862793
35.6565413723,-83.4525059381,1807.23620605
35.6565187713,-83.4525536381,1807.19958496
35.6564699723,-83.4526034381,1807.22375488
35.6564176723,-83.4526499381,1807.39453125
35.6563689722,-83.4527302381,1806.83581543
35.6563349732,-83.4528179382,1806.59338379
35.6563086722,-83.4529083382,1805.6550293
35.6562843722,-83.4529992382,1805.68115234
35.6562666712,-83.4530758382,1804.328125
35.6562517722,-83.4531529382,1802.91064453
35.6562345722,-83.4532296383,1801.79785156
35.6562176732,-83.4532961383,1801.015625
35.6561958722,-83.4533610383,1799.26171875
35.6561531712,-83.4534196383,1799.70947266
35.6561017712,-83.4534711383,1801.94006348
35.6560660721,-83.4535337383,1803.06079102
35.6560625721,-83.4535998384,1801.72473145
35.6560633711,-83.4536661384,1800.61462402
35.6560472721,-83.4537595384,1800.51208496
35.6560325721,-83.4538530384,1801.03491211
35.6560358731,-83.4539195385,1801.60656738
35.6560443721,-83.4539857385,1801.10693359
35.6560464711,-83.4540522385,1800.03503418
35.6560323711,-83.4541292385,1800.36291504
35.6560162721,-83.4542059385,1800.17919922
35.6560091721,-83.4542859386,1799.58032227
35.6560075721,-83.4543661386,1798.91552734
35.6560108721,-83.4544463386,1798.64111328
35.6560187721,-83.4545262386,1798.02026367
35.6560401721,-83.4546192387,1797.38134766
35.6560682721,-83.4547105387,1796.63671875
35.6560852721,-83.4548044387,1796.48278809
35.6560881721,-83.4548653387,1796.38745117
35.6560827721,-83.4549258388,1795.80322266
35.6560449721,-83.4550130388,1794.46240234
35.6559807721,-83.4550662388,1793.64526367
35.6559183721,-83.4550893388,1793.29589844
35.655853771,-83.4551065388,1793.09533691
35.655784572,-83.4551365388,1792.72998047
35.655717573,-83.4551713388,1792.42883301
35.655653273,-83.4552108388,1792.23266602
35.655579871,-83.4552645388,1791.78894043
35.655511073,-83.4553240388,1791.3137207
35.6554467719,-83.4553882389,1790.33532715
35.6553868709,-83.4554567389,1789.36364746
35.6553296709,-83.4555330389,1788.85839844
35.6552776719,-83.4556129389,1788.29418945
35.6552287719,-83.4556948389,1788.09423828
35.6551850719,-83.455773039,1787.68969727
35.6551442709,-83.455852839,1787.40563965
35.6551067719,-83.455934139,1787.77868652
35.6550710708,-83.456020039,1787.73583984
35.6550389718,-83.456107439,1787.82751465
35.6550112728,-83.4561962391,1788.3815918
35.6549912718,-83.4562720391,1788.52331543
35.6549742708,-83.4563486391,1788.3972168
35.6549605718,-83.4564258391,1788.92492676
35.6549508728,-83.4565036392,1789.33728027
35.6549453718,-83.4565864392,1789.10595703
35.6549441728,-83.4566693392,1788.54528809
35.6549468718,-83.4567523392,1788.95410156
35.6549531708,-83.4568350393,1788.69018555
35.6549661728,-83.4569165393,1788.0604248
35.6549827718,-83.4569974393,1787.85180664
35.6549931718,-83.4570793393,1787.94421387
35.6549947718,-83.4571566393,1788.55834961
35.6549900718,-83.4572338394,1789.11132812
35.6549780708,-83.4573058394,1788.65527344
35.6549599718,-83.4573765394,1787.37316895
35.6549342728,-83.4574430394,1786.96655273
35.6549031717,-83.4575072394,1787.15930176
35.6548748707,-83.4575726395,1787.02832031
35.6548509717,-83.4576453395,1787.17016602
35.6548305717,-83.4577191395,1787.13122559
35.6548127727,-83.4577935395,1787.00134277
35.6547967717,-83.4578684395,1786.52478027
35.6547787717,-83.4579556396,1786.29248047
35.6547619727,-83.4580430396,1785.8885498
35.6547486707,-83.4581310396,1784.91650391
35.6547412707,-83.4582197396,1784.5333252
