lat,lng,ele
35.6725150737,-83.5266743608,499.113647461
35.6725699727,-83.5266299608,498.582824707
35.6726247717,-83.5265852608,498.187347412
35.6726808727,-83.5265423607,497.185089111
35.6727380727,-83.5265210607,496.009979248
35.6727900727,-83.5264905607,493.944519043
35.6728279737,-83.5264033607,491.038330078
35.6728203717,-83.5263368607,489.684997559
35.6727850727,-83.5263026607,489.163085938
35.6727499737,-83.5262573607,489.473632812
35.6727439717,-83.5262078607,489.655426025
35.6727429737,-83.5261576606,490.218597412
35.6727263717,-83.5260908606,491.7315979
35.6727011717,-83.5260017606,493.670562744
35.6726836727,-83.5259790606,493.98449707
35.6726399727,-83.5259114606,494.286071777
35.6726044727,-83.5258882606,494.387786865
