lat,lng,ele
35.6089811671,-83.3332666003,928.735473633
35.6090171671,-83.3332677003,928.637939453
35.6092245672,-83.3332627003,927.981750488
35.6094405662,-83.3332800003,928.614013672
35.6096295673,-83.3332965003,930.49005127
35.6097370683,-83.3333327003,931.246032715
35.6098794673,-83.3334252004,931.482788086
35.6099764663,-83.3335384004,934.662780762
35.6100746673,-83.3335854004,935.114807129
35.6101383674,-83.3335541004,932.114990234
35.6100789684,-83.3333648004,933.522155762
35.6100718674,-83.3332652003,932.139770508
35.6101096684,-83.3331780003,932.309448242
35.6102470684,-83.3330606003,933.229431152
35.6104575675,-83.3329011002,934.126281738
35.6106593685,-83.3327193002,933.603942871
35.6108783666,-83.3325822002,934.747802734
35.6110884676,-83.3324448002,934.86138916
35.6112986677,-83.3322963001,936.147705078
35.6113803687,-83.3322656001,936.224853516
35.6114953687,-83.3323793002,936.942138672
35.6115491667,-83.3323919002,937.723571777
35.6116139687,-83.3323055001,938.057800293
35.6117260677,-83.3320990001,936.839111328
35.6118462688,-83.3319480001,937.628051758
35.6121096668,-83.3318452,937.575195312
35.6121209678,-83.3317241,940.039245605
35.6121499669,-83.3316256,939.261352539
35.6123431679,-83.3314214999,941.208557129
35.6124641679,-83.3312262999,940.261474609
35.612663867,-83.3311548999,942.782104492
35.612783768,-83.3310147998,942.50970459
35.612904069,-83.3308526998,942.643432617
35.6129962681,-83.3307449998,943.642883301
35.6130968671,-83.3306706998,944.369140625
35.6131970681,-83.3306183997,943.863586426
35.6132873671,-83.3306099997,943.626647949
35.6134381672,-83.3307357998,945.599365234
35.6135022682,-83.3306823998,944.622802734
35.6135389682,-83.3306503998,944.760559082
35.6136571682,-83.3305985998,944.64855957
35.6139267693,-83.3306395998,949.742553711
35.6141421693,-83.3306899998,952.149597168
35.6142508673,-83.3306599998,953.61517334
35.6143611674,-83.3305527998,954.640869141
35.6145530684,-83.3304148998,954.503540039
35.6146642684,-83.3302635997,954.142150879
35.6148107675,-83.3301463997,954.249755859
35.6149224685,-83.3299619997,953.816589355
35.6150438685,-83.3297446996,952.167236328
35.6151363696,-83.3296259996,951.055725098
35.6152673686,-83.3293758995,947.868591309
35.6153889686,-83.3291475994,945.274230957
35.6154747687,-83.3289070994,940.305358887
35.6155873677,-83.3286785993,937.930664062
35.6156263677,-83.3285250993,935.730651855
35.6156186697,-83.3284586993,934.889160156
35.6155922687,-83.3284247992,934.636169434
35.6155561687,-83.3284237992,934.436584473
35.6154560677,-83.3284759992,933.832519531
35.6153818676,-83.3285842993,933.355895996
35.6152632696,-83.3286580993,932.98815918
35.6151336686,-83.3288309993,932.233459473
35.6150405676,-83.3289827994,931.805297852
35.6149382695,-83.3291453994,931.358154297
35.6148376675,-83.3292197994,930.96472168
35.6147722685,-83.3293393995,930.777770996
35.6146180675,-83.3293901995,929.600219727
35.6144734684,-83.3294078995,929.107910156
35.6144018684,-83.3293837995,928.868469238
35.6141903684,-83.3295984995,928.676269531
