lat,lng,ele
35.602194947,-83.781010331,564.720458984
35.6021124489,-83.780998631,564.473327637
35.6020336479,-83.780971631,564.476745605
35.6019522479,-83.780916131,564.574645996
35.6018740489,-83.780855731,565.036499023
35.6018035479,-83.780818731,565.364013672
35.6017307479,-83.780786131,565.691650391
35.6016602489,-83.7807490309,566.122436523
35.6015800488,-83.7806994309,566.524291992
35.6015035478,-83.7806442309,566.425598145
35.6014389478,-83.7805758309,566.153198242
35.6013988488,-83.7805034309,566.074584961
35.6013611468,-83.7804296308,565.969970703
35.6013326488,-83.7803830308,565.820495605
35.6013001468,-83.7803392308,565.655029297
35.6012584478,-83.7803013308,565.621398926
35.6012116468,-83.7802699308,565.51574707
35.6011313488,-83.7802341308,565.741882324
35.6010412467,-83.7802309307,566.337890625
35.6009684467,-83.7802615308,566.585388184
35.6009226487,-83.7802931308,566.751159668
35.6008948487,-83.7803252308,566.872802734
35.6008665477,-83.7803794308,566.799499512
35.6008643477,-83.7804786308,566.615783691
35.6008659477,-83.7805395308,566.50982666
35.6008705487,-83.7806002308,566.276428223
35.6008771477,-83.7806503309,565.931213379
35.6008862467,-83.7807001309,565.722839355
