lat,lng,ele
35.6001002478,-83.7737534288,595.591125488
35.6001034478,-83.7737527288,595.588745117
35.6001455478,-83.7736813288,596.321960449
35.6001609478,-83.7735959288,597.234985352
35.6001868478,-83.7735136287,597.766601562
35.6002348479,-83.7734528287,597.848388672
35.6002908489,-83.7733990287,597.897216797
35.6003440479,-83.7733425287,597.859619141
35.6003906479,-83.7732808287,598.235595703
35.6004345479,-83.7732171287,598.539489746
35.6004751479,-83.7731513286,598.817016602
35.6005122479,-83.7730834286,598.869506836
35.6005468469,-83.7730123286,598.889526367
35.6005780479,-83.7729396286,600.334350586
35.600605148,-83.7728653286,602.565612793
35.600627148,-83.7727894285,604.46697998
35.600646348,-83.7727023285,606.138000488
35.600658248,-83.7726139285,607.768615723
35.600660549,-83.7725147285,608.998413086
35.600657049,-83.7724586285,609.968200684
35.600645048,-83.7724038284,611.283203125
35.600601547,-83.7723361284,614.148132324
35.600556049,-83.7723566284,615.645629883
35.6005090479,-83.7723980284,616.896789551
35.6004639479,-83.7724417284,617.943603516
35.6004181479,-83.7724674284,619.332458496
35.6003726489,-83.7724937284,620.466491699
35.6003158469,-83.7725671285,620.911437988
35.6002522469,-83.7726330285,621.562744141
35.6001979479,-83.7726422285,622.954101562
35.6001441489,-83.7726293285,624.816650391
35.6001179489,-83.7725953285,626.348144531
35.6001464469,-83.7725300284,627.509094238
35.6001474479,-83.7724859284,628.741210938
35.6001207479,-83.7724740284,629.656494141
35.6000730479,-83.7725073284,629.790649414
35.6000288468,-83.7725481284,629.173522949
35.5999607468,-83.7725383284,630.958862305
35.5999037478,-83.7724996284,632.552734375
35.5999177478,-83.7724110284,634.571289062
35.5999597488,-83.7723273284,635.987670898
35.5999819478,-83.7722374283,638.009338379
35.5999542478,-83.7721670283,640.36340332
35.5999118468,-83.7721035283,641.487915039
35.5998784478,-83.7720352283,642.396911621
35.5998626468,-83.7719697283,643.385620117
35.5998536488,-83.7719030282,644.644165039
35.5998559468,-83.7718358282,646.196533203
35.5998647478,-83.7717844282,647.416748047
35.5998852488,-83.7717375282,648.925842285
35.5999301479,-83.7717638282,649.580749512
35.5999740479,-83.7717957282,649.96496582
35.6000403469,-83.7717945282,651.187011719
35.6001009479,-83.7717670282,652.002258301
35.6001456479,-83.7717183282,652.961791992
35.6001755469,-83.7716592282,654.041503906
35.6001744479,-83.7715754282,655.852966309
35.6001793469,-83.7714938281,657.041137695
35.6002693479,-83.7714969281,655.307128906
35.6003176489,-83.7714757281,653.913146973
35.600360748,-83.7714449281,652.689758301
35.600406748,-83.7714023281,651.400939941
35.600436849,-83.7713113281,651.657104492
35.600429048,-83.7712155281,653.572265625
35.600376847,-83.771136528,655.281616211
35.600332747,-83.771088628,654.726135254
35.600298048,-83.771034428,653.323669434
35.600300348,-83.770935228,652.385070801
35.600308348,-83.770863228,651.867980957
35.600303748,-83.7707918279,651.535705566
35.600251348,-83.7707613279,651.661865234
35.600196947,-83.7707330279,651.503662109
35.6001699479,-83.7706738279,651.62677002
35.6001546489,-83.7706101279,651.278320312
35.6001477469,-83.7705380279,650.379150391
35.600139949,-83.7704661278,649.181640625
35.6001006489,-83.7703970278,648.815002441
35.6000421479,-83.7703423278,649.296630859
35.5999841479,-83.7702871278,649.830505371
35.5999474479,-83.7702167278,649.630432129
35.5999420479,-83.7701506277,649.149963379
35.5999414479,-83.7700841277,648.67010498
35.5999302479,-83.7699990277,648.91796875
35.5999181479,-83.7699141277,649.560546875
35.5999292479,-83.7698298276,649.512634277
35.5999640479,-83.7697881276,649.038574219
35.5999943469,-83.7697438276,649.156860352
35.5999876469,-83.7696851276,650.636779785
35.5999608479,-83.7696323276,651.955932617
35.5998715489,-83.7695961276,651.809448242
35.5998594469,-83.7695022275,650.569641113
35.5998488489,-83.7694077275,648.500793457
35.5998003469,-83.7693725275,646.302246094
35.5997417489,-83.7693599275,645.254516602
35.5996766469,-83.7693994275,643.632507324
35.5996224479,-83.7694551275,641.588256836
35.5995640479,-83.7695068275,639.679199219
35.5995088469,-83.7695618275,638.054138184
35.5994652478,-83.7696262276,636.348266602
35.5994425478,-83.7696976276,634.778625488
35.5994300478,-83.7697716276,633.382385254
35.5994151488,-83.7698452276,631.92376709
35.5993952478,-83.7699152276,630.504272461
35.5993733468,-83.7699846277,628.881835938
35.5993473478,-83.7700526277,627.368408203
35.5993138488,-83.7701289277,625.681030273
35.5992753478,-83.7702028277,624.02935791
35.5992250488,-83.7702690277,622.242980957
35.5991607488,-83.7703220277,620.292785645
35.5990955477,-83.7703598277,618.479309082
35.5990241477,-83.7703835277,617.261352539
35.5989541477,-83.7703720277,616.433227539
35.5988876467,-83.7703452277,617.563232422
35.5988177477,-83.7703433277,617.647399902
35.5987661467,-83.7703957277,615.063659668
35.5987161477,-83.7704501277,612.726928711
35.5986282476,-83.7704801278,611.038208008
35.5985350486,-83.7704880277,609.679077148
35.5984624476,-83.7704787277,609.026855469
35.5983909466,-83.7704831277,611.00189209
35.5983396476,-83.7705635278,612.928894043
35.5983148486,-83.7706570278,612.479064941
35.5983124476,-83.7707342278,610.834411621
35.5983112476,-83.7708114278,608.774230957
35.5982904476,-83.7708867279,608.180969238
35.5982587475,-83.7709584279,607.813171387
35.5982251465,-83.7710291279,607.093566895
35.5981775475,-83.7711137279,606.750854492
35.5981400485,-83.7712027279,606.338500977
35.5981597475,-83.771297328,606.803161621
35.5982152465,-83.771378028,606.250427246
35.5982795475,-83.771452328,605.011474609
35.5983398465,-83.771529728,603.983947754
35.5983761475,-83.7715872281,603.149414062
35.5984128475,-83.7716443281,602.845458984
35.5984530476,-83.7716991281,602.81048584
35.5985215476,-83.7717664281,602.29309082
35.5985964466,-83.7718268281,602.458740234
35.5986649476,-83.7718940282,601.668579102
35.5987216486,-83.7719682282,601.971313477
35.5987719466,-83.7720469282,602.196228027
35.5988126476,-83.7721309282,602.379150391
35.5988396466,-83.7722195283,601.500915527
35.5988626486,-83.7723092283,600.328186035
35.5988880476,-83.7723974283,600.210327148
35.5989129476,-83.7724858284,599.823120117
35.5989377486,-83.7725742284,599.037780762
35.5989632486,-83.7726624284,598.237792969
35.5989901486,-83.7727502284,597.367553711
35.5990189466,-83.7728374285,597.208435059
35.5990504476,-83.7729236285,596.544921875
35.5990854466,-83.7730085285,595.896484375
35.5991246486,-83.7730915285,596.098205566
35.5991691466,-83.7731718286,595.583129883
35.5992195486,-83.7732485286,594.882202148
35.5992632477,-83.7733078286,594.418640137
35.5993094467,-83.7733652286,594.099182129
35.5993598487,-83.7734188287,594.120483398
35.5994207477,-83.7734707287,593.604003906
35.5994864487,-83.7735166287,593.394836426
35.5995549477,-83.7735580287,592.830871582
35.5996388487,-83.7735996287,592.534667969
35.5997259477,-83.7736340287,592.762268066
35.5998138478,-83.7736663288,593.43170166
35.5998845478,-83.7736935288,594.239746094
35.5999556468,-83.7737193288,594.943969727
35.6000284488,-83.7737399288,595.562805176
35.6001002478,-83.7737534288,595.591125488
