lat,lng,ele
35.602749675,-83.1004857315,928.505615234
35.602676876,-83.1005249315,928.732849121
35.602600874,-83.1005574315,928.584411621
35.6025220749,-83.1005823315,928.329956055
35.6024411749,-83.1005991315,928.693725586
35.6023465749,-83.1006050315,929.105285645
35.6022517759,-83.1006050315,929.484924316
35.6021674739,-83.1006112315,928.620605469
35.6020832749,-83.1006170315,927.854980469
35.6019992748,-83.1006095315,927.838012695
35.6019191738,-83.1005893315,928.02130127
35.6018470748,-83.1005503315,928.208557129
35.6018059758,-83.1004923315,928.849975586
35.6017779738,-83.1004265315,929.30670166
35.6017512748,-83.1003602314,929.71472168
35.6017299738,-83.1002964314,929.87286377
35.6016992758,-83.1002374314,930.237548828
35.6016518748,-83.1002188314,930.087585449
35.6016005738,-83.1002127314,930.09552002
35.6015207748,-83.1002079314,930.154174805
35.6014410737,-83.1002154314,929.874572754
35.6013623757,-83.1002305314,929.134399414
35.6012843747,-83.1002486314,928.570678711
35.6012008747,-83.1002700314,928.200195312
35.6011187747,-83.1002966314,928.177490234
35.6010395747,-83.1003305314,926.83392334
35.6009765746,-83.1003658314,925.94342041
35.6009161746,-83.1004055314,925.773010254
35.6008572746,-83.1004472314,925.074829102
35.6007884756,-83.1005004314,923.995239258
35.6007224746,-83.1005570314,923.382263184
35.6006575746,-83.1006149314,923.317016602
35.6005919735,-83.1006720315,923.359436035
35.6005284745,-83.1007263315,923.500305176
35.6004654745,-83.1007811315,923.176513672
35.6004024735,-83.1008358315,922.669311523
35.6003387755,-83.1008898315,923.104187012
35.6002739735,-83.1009425315,923.436889648
35.6002075745,-83.1009931315,923.50213623
35.6001364754,-83.1010374315,923.32434082
35.6000707744,-83.1010889315,922.896179199
35.6000347744,-83.1011353316,922.577514648
35.6000059744,-83.1011865316,923.300964355
35.5999882734,-83.1012676316,923.329101562
35.5999908744,-83.1013510316,922.848266602
35.5999987754,-83.1014341316,922.284545898
35.6000001744,-83.1015175317,921.605957031
35.5999917734,-83.1016168317,920.680541992
35.5999786734,-83.1017156317,919.850708008
35.5999633734,-83.1017933317,919.362487793
35.5999441734,-83.1018702318,918.791137695
35.5999205744,-83.1019458318,918.205322266
35.5998867743,-83.1020348318,918.171813965
35.5998453753,-83.1021205318,918.638061523
35.5998034753,-83.1021849319,918.802185059
35.5997557743,-83.1022451319,919.12109375
35.5997069753,-83.1023045319,919.308898926
35.5996501733,-83.1023741319,919.385559082
35.5995917743,-83.1024424319,919.920715332
35.5995320743,-83.1025096319,920.297851562
35.5994763742,-83.1025730319,920.875732422
35.5994196752,-83.102635532,921.767272949
35.5993576752,-83.102692732,922.729187012
35.5993044742,-83.102732232,923.796203613
35.5992481742,-83.102767132,924.852294922
35.5991784732,-83.102799132,925.731018066
35.5991054742,-83.102822432,926.216369629
35.5990305741,-83.102838732,926.481201172
35.5989539741,-83.102848632,926.866943359
35.5988768741,-83.102851332,927.296630859
35.5987998741,-83.102845732,927.573608398
35.5987241741,-83.102830632,927.351501465
35.5986401751,-83.102788132,927.156311035
35.598561874,-83.1027352319,928.082641602
35.598474073,-83.1027027319,928.799255371
35.598437973,-83.1027017319,927.938354492
35.598373975,-83.1027553319,927.862731934
35.598349173,-83.102829932,928.762451172
35.598344275,-83.102909032,929.285705566
35.598358274,-83.103004732,929.935546875
35.598385974,-83.103097732,930.287353516
35.598406575,-83.1031469321,930.621398926
35.598420274,-83.1031980321,931.04309082
35.598400974,-83.1032747321,931.899414062
