lat,lng,ele
35.7100915933,-83.1762168601,974.567626953
35.7101207943,-83.1763084602,974.818603516
35.7101404933,-83.1764024602,975.314819336
35.7101495943,-83.1764981602,975.904418945
35.7101478933,-83.1765942602,976.439208984
35.7101354943,-83.1766600603,976.807128906
35.7101273933,-83.1767262603,977.375244141
35.7101417933,-83.1767881603,977.956176758
35.7101612933,-83.1768487603,978.080505371
35.7101731943,-83.1769100603,978.265319824
35.7101860943,-83.1769710604,978.589782715
35.7102102943,-83.1770350604,978.902526855
35.7102395933,-83.1770970604,979.362731934
35.7102637953,-83.1771610604,979.623962402
35.7102783943,-83.1772343604,979.818603516
35.7102868933,-83.1773086605,980.423706055
35.7102957953,-83.1773829605,980.570983887
35.7103084943,-83.1774735605,980.834472656
35.7103200933,-83.1775643605,980.925170898
35.7103311943,-83.1776551606,981.145935059
35.7103426943,-83.1777459606,981.640014648
35.7103553943,-83.1778365606,981.858154297
35.7103699933,-83.1779269607,982.424804688
35.7103874953,-83.1780167607,982.725036621
35.7104086943,-83.1781057607,983.002319336
35.7104343943,-83.1781935607,983.510986328
35.7104618943,-83.1782764608,983.580566406
35.7104913933,-83.1783587608,983.904785156
35.7105246933,-83.1784395608,984.316162109
35.7105637943,-83.1785176608,984.605224609
35.7106014943,-83.1785798609,984.930297852
35.7106427944,-83.1786397609,984.94329834
35.7106866934,-83.1786977609,984.75378418
35.7107474944,-83.1787679609,985.092407227
35.7108137954,-83.1788329609,985.514160156
35.7108832944,-83.178894561,986.24395752
35.7109538934,-83.178954961,986.737060547
35.7110234934,-83.179016461,988.352600098
35.7110728944,-83.179062961,990.131896973
35.7111224954,-83.179109261,992.790100098
35.7111741944,-83.1791531611,995.908996582
35.7112409945,-83.1791938611,999.725585938
35.7113102945,-83.1792303611,1003.07592773
35.7113702935,-83.1792800611,1005.57720947
35.7114120955,-83.1793611611,1008.49432373
35.7114328935,-83.1794502612,1010.05419922
35.7114429945,-83.1795413612,1010.69396973
35.7114479945,-83.1796328612,1010.49932861
35.7114522945,-83.1797244612,1009.6036377
35.7114504935,-83.1798130613,1008.55908203
35.7114396945,-83.1799011613,1007.24829102
35.7114271935,-83.1799890613,1005.8649292
35.7114200935,-83.1800774613,1004.1842041
35.7114261935,-83.1801658614,1001.59631348
35.7114479945,-83.1802436614,999.347045898
35.7114684945,-83.1803217614,999.25177002
35.7114695955,-83.1804049614,1000.16564941
35.7114571935,-83.1804873615,1000.95129395
35.7114423954,-83.1805693615,1001.5335083
35.7114353954,-83.1806523615,1001.62194824
35.7114415944,-83.1807374615,1000.65045166
35.7114523934,-83.1808221616,1000.17980957
35.7114578944,-83.1809073616,1000.02893066
35.7114522944,-83.1809956616,999.50012207
35.7114455954,-83.1810838616,999.230773926
35.7114442944,-83.1811576617,999.781982422
35.7114453934,-83.1812314617,1000.71014404
35.7114505944,-83.1813050617,1001.51245117
35.7114670934,-83.1813945617,1002.02813721
35.7114899944,-83.1814827618,1002.07757568
35.7115088954,-83.1815718618,1003.3659668
35.7115160944,-83.1816569618,1004.71142578
35.7115198944,-83.1817422618,1005.22442627
35.7115312954,-83.1818267619,1005.26049805
35.7115589944,-83.1819017619,1004.70581055
35.7115934944,-83.1819739619,1004.13165283
35.7116173944,-83.1820501619,1003.88635254
35.7116201934,-83.182105562,1004.79736328
35.7116243944,-83.182160862,1005.59118652
35.7116501934,-83.182222462,1005.61584473
35.7116762944,-83.182283862,1005.32849121
35.7116812944,-83.182355662,1005.81658936
35.7116826944,-83.1824276621,1006.51947021
35.7117012954,-83.1825190621,1006.6305542
35.7117320944,-83.1826072621,1005.76611328
35.7117697944,-83.1826926621,1005.22637939
35.7118093934,-83.1827772622,1006.26104736
35.7118460954,-83.1828631622,1008.22540283
35.7118802934,-83.1829556622,1011.93829346
35.7119134954,-83.1830484623,1017.4788208
35.7119475944,-83.1831408623,1023.42132568
35.7119847935,-83.1832321623,1025.7734375
35.7120269935,-83.1833212623,1025.67346191
35.7120616945,-83.1833888624,1026.3560791
35.7120973945,-83.1834558624,1027.22668457
35.7121372935,-83.1835205624,1027.99865723
35.7121845935,-83.1835798624,1028.51159668
35.7122480955,-83.1836261624,1028.66137695
35.7123199955,-83.1836584625,1028.12060547
35.7123913945,-83.1836921625,1028.0625
35.7124520935,-83.1837418625,1029.52697754
35.7124809945,-83.1837883625,1030.89733887
35.7125135945,-83.1838319625,1032.93286133
35.7125939946,-83.1838394625,1035.94836426
35.7126758946,-83.1838253625,1038.11315918
35.7127509946,-83.1838299625,1039.38867188
35.7128258956,-83.1838379625,1039.81738281
35.7129009956,-83.1838425625,1040.13952637
35.7130009956,-83.1838422625,1041.76745605
35.7131006947,-83.1838358626,1044.19616699
35.7131988937,-83.1838174626,1046.09143066
35.7132905957,-83.1837835625,1047.77294922
35.7133804947,-83.1837450625,1049.00354004
35.7134432957,-83.1837188625,1049.51342773
35.7135061947,-83.1836929625,1049.84863281
35.7135710948,-83.1836729625,1050.23486328
35.7136606938,-83.1836561625,1051.01037598
35.7137516958,-83.1836557625,1051.4465332
35.7138109948,-83.1836704625,1051.52844238
35.7138681948,-83.1836920626,1051.70019531
35.7139377938,-83.1837222626,1051.58081055
35.7140021948,-83.1837620626,1050.09899902
35.7140626959,-83.1838271626,1048.0859375
35.7141168949,-83.1838978626,1046.27331543
35.7141700959,-83.1839623627,1043.08288574
35.7142228939,-83.1840270627,1039.125
35.7142749949,-83.1840923627,1036.6940918
35.7143262949,-83.1841583627,1036.22033691
35.7143764959,-83.1842251627,1036.43896484
35.7144251939,-83.1842930628,1037.58166504
35.7144808949,-83.1843726628,1038.62451172
35.7145354949,-83.1844529628,1038.22460938
35.7145874939,-83.1845349628,1037.31518555
35.7146355949,-83.1846193629,1036.2598877
35.714670894,-83.1846849629,1035.51501465
35.714703995,-83.1847516629,1035.17724609
35.714731095,-83.1848209629,1035.49829102
35.714749295,-83.184894163,1035.74108887
35.714761394,-83.184968563,1036.17443848
35.714772194,-83.185043263,1036.74255371
35.714781695,-83.185128463,1037.86413574
35.714789396,-83.1852138631,1039.02990723
35.714803595,-83.1852983631,1040.2644043
35.714827595,-83.1853696631,1040.98486328
35.714856795,-83.1854391631,1041.48718262
