lat,lng,ele
35.5949271411,-83.91590367,536.220336914
35.594858242,-83.9161438701,534.932678223
35.594764141,-83.9163059702,533.335510254
35.59468094,-83.9163912702,532.102355957
35.594642842,-83.9164781702,530.81640625
35.594612641,-83.9166094702,529.386413574
35.5945455409,-83.9167725703,527.934753418
35.5945066409,-83.9168924703,527.293212891
35.5944499409,-83.9170007703,526.382751465
35.5943552419,-83.9171849704,525.578186035
35.5942979409,-83.9173152704,524.645874023
35.5943051399,-83.9173927704,524.968261719
35.5943226419,-83.9174154704,525.237976074
