lat,lng,ele
35.448970324,-83.6096014718,523.390258789
35.448997423,-83.6096023718,523.690917969
35.449042224,-83.6096147718,524.368713379
35.449141722,-83.6095959718,525.229003906
35.449259123,-83.6095887718,526.267211914
35.449332323,-83.6095360718,526.703186035
35.449395424,-83.6095380718,527.319396973
35.4494665231,-83.6095844718,528.304443359
35.4495485221,-83.6095429718,528.75579834
35.4496119231,-83.6095340718,529.077087402
35.4497287241,-83.6095488718,529.196899414
35.4497565241,-83.6095166718,529.668701172
35.4497934231,-83.6094738718,529.769897461
35.4498299231,-83.6094529718,529.733703613
35.4499112242,-83.6094445718,529.780395508
35.4499665242,-83.6093912718,529.501464844
35.4500850242,-83.6093290718,529.766418457
35.4501400242,-83.6092867718,530.083129883
35.4501948232,-83.6092554718,530.446350098
