lat,lng,ele
35.6385238508,-83.8979567674,471.809112549
35.6385869518,-83.8979189674,472.435455322
35.6386517508,-83.8978841674,473.054382324
35.6387188508,-83.8978506674,473.34387207
35.6387884509,-83.8978228674,473.336791992
35.6388786509,-83.8978080674,473.668670654
35.6389693509,-83.8977962674,473.75302124
35.6390459499,-83.8977691674,473.263458252
35.6391237509,-83.8977466674,473.187225342
35.6391825509,-83.8977434674,473.625244141
35.639240852,-83.8977508674,474.279937744
35.639318751,-83.8977933674,474.104553223
35.63939175,-83.8978446674,472.563232422
35.63946145,-83.8978835675,472.074493408
35.63953425,-83.8979160675,472.380859375
35.639605751,-83.8979311675,472.975860596
35.639677851,-83.8979432675,473.785919189
35.6397673511,-83.8979685675,474.002380371
35.6398196501,-83.8979957675,473.239898682
35.6398743501,-83.8980166675,472.11920166
35.6399309511,-83.8980102675,471.190612793
35.6399831511,-83.8979874675,471.272796631
35.6400323511,-83.8979366675,471.181610107
35.6400758511,-83.8978803675,470.701293945
35.6401298511,-83.8978256675,470.822143555
35.6401866511,-83.8977739675,471.342956543
35.6402490512,-83.8977240675,471.721740723
35.6403151512,-83.8976792674,471.434448242
35.6403776502,-83.8976456674,470.732910156
35.6404428502,-83.8976176674,469.68270874
35.6405375512,-83.8975917674,468.576202393
35.6406332522,-83.8975692674,468.037689209
35.6407060513,-83.8975445674,467.357818604
35.6407786523,-83.8975193674,466.440948486
35.6408656503,-83.8974974674,465.230712891
35.6409510513,-83.8974703674,463.950042725
35.6410115513,-83.8974359674,463.162414551
35.6410682503,-83.8973954674,462.464080811
35.6411250514,-83.8973551674,461.991088867
35.6411919504,-83.8973172674,461.753875732
35.6412589514,-83.8972793674,461.424560547
35.6413173514,-83.8972296674,460.649017334
35.6413674514,-83.8971639674,459.471099854
35.6414018524,-83.8970891673,458.861785889
35.6414024524,-83.8970008673,458.031616211
35.6413971504,-83.8969123673,456.878753662
35.6414221514,-83.8968159673,455.486846924
35.6414661505,-83.8967262672,454.009307861
