lat,lng,ele
35.6032479763,-83.0967237304,959.018920898
35.6033687763,-83.0965171304,962.864135742
35.6033879743,-83.0964514304,963.69921875
35.6034692753,-83.0964424304,965.202819824
35.6035953743,-83.0964457304,966.357727051
35.6036319753,-83.0964136304,967.114501953
35.6036603754,-83.0963370304,967.727905273
35.6037266764,-83.0961511303,969.470947266
35.6038204754,-83.0959439303,973.341552734
35.6039210744,-83.0958582302,976.717834473
35.6040123764,-83.0957943302,980.493774414
35.6040940755,-83.0957633302,983.113891602
35.6041580765,-83.0957098302,986.033752441
35.6042046755,-83.0956227302,988.288024902
35.6042149765,-83.0955457302,989.482299805
