lat,lng,ele
35.5655701601,-83.3092029906,698.76361084
35.5655767591,-83.3091733906,699.082397461
35.5655787591,-83.3091425906,699.429931641
35.5655793591,-83.3091115906,699.800964355
35.5655792591,-83.3090805906,700.201293945
35.5655787591,-83.3090496906,700.666137695
35.5655780591,-83.3090186906,701.158630371
35.5655772581,-83.3089877906,701.536071777
35.5655763591,-83.3089567906,701.841247559
35.5655755591,-83.3089258906,702.196838379
35.5655748591,-83.3088948906,702.503173828
35.5655745591,-83.3088639905,702.686096191
35.5655746601,-83.3088329905,702.673461914
35.5655759601,-83.3088021905,701.761230469
35.5655811591,-83.3087719905,702.087341309
35.5655914591,-83.3087469905,703.283447266
35.5656008601,-83.3087214905,704.34197998
35.5656098581,-83.3086956905,705.108398438
35.5656188581,-83.3086698905,705.758544922
35.5656281591,-83.3086442905,706.32019043
35.5656381591,-83.3086191905,706.837768555
35.5656487601,-83.3085945905,707.269470215
35.5656594591,-83.3085702905,707.643188477
35.5656706591,-83.3085463905,708.073669434
35.5656823601,-83.3085226904,708.537231445
35.5656945581,-83.3084993904,709.079772949
35.5657098601,-83.3084724904,709.609069824
35.5657259591,-83.3084462904,710.10723877
35.5657426591,-83.3084206904,710.60534668
35.5657600581,-83.3083957904,711.115905762
35.5657780591,-83.3083714904,711.712341309
35.5657966591,-83.3083478904,712.382385254
35.5658159601,-83.3083251904,712.990783691
35.5658360601,-83.3083034904,713.587097168
35.5658566592,-83.3082823904,714.138305664
35.5658773582,-83.3082615904,714.733032227
35.5658978592,-83.3082404904,715.368347168
35.5659147582,-83.3082236904,715.8046875
35.5659319602,-83.3082075904,716.272094727
35.5659491592,-83.3081911904,716.778259277
35.5659655582,-83.3081737904,717.233825684
35.5659806592,-83.3081545904,717.649597168
35.5659943582,-83.3081311904,717.990112305
35.5660053592,-83.3081056903,718.205200195
35.5660150602,-83.3080792903,718.410888672
35.5660243582,-83.3080527903,718.635620117
35.5660346592,-83.3080267903,718.845031738
35.5660466602,-83.3080019903,719.117126465
35.5660628592,-83.3079775903,719.648132324
35.5660806592,-83.3079546903,720.437561035
35.5660977592,-83.3079310903,721.265563965
35.5661115602,-83.3079045903,721.977294922
