lat,lng,ele
35.6326277844,-83.044986517,1238.59289551
35.6325730844,-83.045050017,1238.55932617
35.6325203844,-83.045115117,1239.09399414
35.6324682844,-83.045180717,1239.84680176
35.6324162823,-83.045257917,1240.46582031
35.6323695823,-83.0453385171,1241.13269043
35.6323193843,-83.0454168171,1242.48303223
35.6322557843,-83.0454845171,1244.17321777
35.6321737833,-83.0455376171,1245.81054688
35.6321020823,-83.0455471171,1247.29223633
35.6320293833,-83.0455450171,1248.6282959
35.6319480822,-83.0455453171,1249.57836914
35.6318670832,-83.0455519171,1250.21508789
35.6317945842,-83.0455721171,1250.71887207
35.6317213832,-83.0456365171,1251.58618164
35.6316839832,-83.0456735171,1252.19250488
35.6316479822,-83.0457119171,1252.78771973
35.6316099822,-83.0457542171,1253.68115234
35.6315742831,-83.0457984171,1254.37451172
35.6315299841,-83.0458676172,1255.57263184
35.6314907821,-83.0459398172,1256.66455078
35.6314598831,-83.0460004172,1257.77832031
35.6314313831,-83.0460621172,1258.63464355
35.6314064831,-83.0461254172,1259.61791992
35.6313867841,-83.0462022172,1260.56433105
35.6313716831,-83.0462801173,1261.60009766
35.6313484841,-83.0463558173,1262.77832031
35.6313018821,-83.0464429173,1263.98669434
35.6312425831,-83.0464917173,1264.7322998
35.631174284,-83.0465280173,1265.6973877
35.631111082,-83.0465568173,1266.71264648
35.631045983,-83.0465811173,1268.00866699
35.630983582,-83.0466115173,1269.09411621
35.630912083,-83.0466612174,1270.2199707
35.630846482,-83.0467184174,1271.55993652
35.6307882819,-83.0467818174,1272.36950684
35.6307365829,-83.0468506174,1272.44494629
35.6306911819,-83.0469237174,1272.50830078
35.6306523829,-83.0470005174,1272.92004395
35.6306290839,-83.0470658175,1273.12133789
35.6306098839,-83.0471325175,1273.61828613
35.6305859839,-83.0471976175,1274.64733887
35.6305393819,-83.0472847175,1275.67028809
35.6304488839,-83.0473045175,1276.08630371
35.6304013828,-83.0473275175,1275.74182129
35.6303578828,-83.0473574175,1275.73449707
35.6302936828,-83.0474220175,1275.81628418
35.6302282828,-83.0474617176,1276.68737793
35.6301563828,-83.0474888176,1277.21166992
35.6300846828,-83.0475161176,1276.67224121
35.6300219818,-83.0475400176,1275.91186523
35.6299593827,-83.0475640176,1275.73095703
35.6299029837,-83.0475998176,1276.3894043
35.6298630837,-83.0476404176,1276.78039551
35.6298293827,-83.0476862176,1277.34899902
35.6297962837,-83.0477553176,1277.78601074
35.6297728827,-83.0478283176,1278.24951172
35.6297584827,-83.0479194177,1278.39758301
35.6297549827,-83.0480116177,1278.19274902
35.6297501827,-83.0481038177,1277.98547363
35.6297405827,-83.0481883177,1277.52050781
35.6297298817,-83.0482726178,1277.26513672
