lat,lng,ele
35.6216910784,-83.0890024293,828.646240234
35.6217818784,-83.0889606293,828.254882812
35.6218626784,-83.0889109292,827.654785156
35.6219457785,-83.0888655292,827.948974609
35.6220128785,-83.0888471292,828.341918945
35.6220815805,-83.0888360292,828.581420898
35.6221535795,-83.0888296292,828.394592285
35.6222258795,-83.0888287292,828.377990723
35.6223018795,-83.0888300292,828.051940918
35.6223776795,-83.0888365293,827.912658691
35.6224507796,-83.0888566293,827.64453125
35.6225295806,-83.0889037293,827.159118652
35.6226022796,-83.0889600293,826.993164062
35.6226706796,-83.0890149293,826.713562012
35.6227354786,-83.0890739293,826.149902344
35.6227945786,-83.0891389294,825.916381836
35.6228491806,-83.0892077294,825.784790039
35.6229032786,-83.0892770294,825.441589355
35.6229494796,-83.0893378294,825.583557129
35.6229950797,-83.0893990295,825.170959473
35.6230443797,-83.0894573295,825.185791016
35.6231035807,-83.0895174295,825.225036621
35.6231685797,-83.0895710295,824.72052002
35.6232312797,-83.0895989295,824.773498535
35.6232972787,-83.0896188295,824.763000488
35.6233564797,-83.0896531296,824.129455566
35.6234073797,-83.0897298296,824.889526367
35.6234528807,-83.0898102296,826.770385742
35.6235113807,-83.0898860296,827.830383301
35.6235752807,-83.0899572297,828.967102051
35.6236466798,-83.0900208297,829.788269043
35.6237277788,-83.0900713297,830.372436523
35.6237966798,-83.0901000297,830.567138672
35.6238688798,-83.0901191297,830.174072266
35.6239432798,-83.0901211297,829.458312988
35.6240300788,-83.0900958297,828.318664551
35.6241067789,-83.0900480297,828.573669434
35.6241612799,-83.0899790297,828.047973633
35.6242006809,-83.0899001297,827.148803711
35.6242370799,-83.0898196297,825.739196777
35.6242721799,-83.0897441296,824.300109863
35.6243028799,-83.0896667296,823.708007812
35.6243277799,-83.0895737296,822.334472656
35.6243511799,-83.0894803296,821.349609375
35.6243749789,-83.0894105295,821.272155762
35.6244011789,-83.0893416295,820.875854492
35.62442688,-83.0892725295,820.821350098
35.62445048,-83.0892013295,820.795471191
35.62447288,-83.0891296295,820.551879883
35.624495981,-83.0890583294,820.088623047
35.624521979,-83.0889879294,819.928405762
35.62455498,-83.0889095294,819.943969727
35.62459048,-83.0888322294,819.989746094
35.62462918,-83.0887564294,819.726074219
35.624671479,-83.0886826293,819.276489258
35.624723181,-83.0885981293,819.789001465
35.6247793801,-83.0885165293,819.766174316
35.6248468811,-83.0884443293,819.918579102
35.6249245811,-83.0883893293,819.406616211
35.6250107801,-83.0883492293,819.406188965
35.6250927801,-83.0883361293,819.225585938
35.6251754791,-83.0883446293,819.057006836
35.6252561802,-83.0883651293,818.840637207
35.6253355792,-83.0883905293,818.202514648
35.6254152802,-83.0884149293,818.301391602
35.6254881802,-83.0884353293,818.227722168
35.6255601812,-83.0884585293,817.716186523
35.6256303802,-83.0884868293,817.493103027
35.6257089802,-83.0885275294,817.084777832
35.6257838813,-83.0885746294,816.252807617
35.6258555793,-83.0886265294,816.057495117
35.6259244803,-83.0886821294,815.801330566
35.6259926793,-83.0887461294,815.851989746
35.6260561813,-83.0888146295,815.616821289
35.6261180803,-83.0888848295,815.489746094
35.6261811813,-83.0889538295,815.120605469
35.6262451803,-83.0890192295,814.822387695
35.6263102814,-83.0890836296,814.607177734
35.6263757814,-83.0891475296,814.312561035
35.6264414804,-83.0892112296,814.068664551
35.6265066804,-83.0892754296,813.795715332
35.6265709804,-83.0893406297,813.705993652
35.6266339814,-83.0894070297,813.94732666
35.6266949804,-83.0894752297,813.746032715
35.6267437804,-83.0895302297,813.689575195
35.6267918814,-83.0895859297,813.10357666
35.6268362814,-83.0896445298,812.960998535
35.6268764804,-83.0897197298,813.305908203
35.6269116815,-83.0897976298,813.469238281
35.6269586815,-83.0898685298,813.106079102
35.6270093805,-83.0899119298,813.372009277
35.6270653805,-83.0899485299,813.197753906
35.6271257805,-83.0899828299,812.963012695
35.6271905805,-83.0900070299,812.724182129
35.6272674795,-83.0900102299,812.321228027
35.6273439805,-83.0899999299,811.768737793
35.6274304796,-83.0899793299,811.846130371
35.6275143806,-83.0899493299,811.77947998
35.6275977806,-83.0899182299,811.399597168
35.6276640796,-83.0898935299,811.381896973
35.6277300806,-83.0898681299,811.283691406
35.6277973796,-83.0898461299,811.194458008
35.6278894807,-83.0898366299,810.920471191
35.6279822817,-83.0898408299,810.548706055
35.6280749817,-83.0898376299,810.152038574
35.6281587797,-83.0898003299,810.095703125
35.6282043807,-83.0897327299,810.081298828
35.6282391807,-83.0896585298,809.617736816
35.6282885797,-83.0895939298,809.329833984
35.6283340808,-83.0895732298,809.248291016
35.6283793808,-83.0895521298,809.146728516
35.6284215808,-83.0895042298,809.015869141
35.6284622808,-83.0894549298,808.944824219
35.6285087808,-83.0894170298,809.142211914
35.6285624808,-83.0893913298,809.189331055
35.6286120808,-83.0893959298,809.023498535
35.6286613808,-83.0894049298,808.915283203
35.6287203808,-83.0893971298,808.643493652
35.6287789809,-83.0893859298,808.401550293
35.6288750809,-83.0893818298,808.073120117
35.6289712809,-83.0893845298,807.901245117
35.6290674809,-83.0893823298,807.444824219
35.6291401819,-83.0893763298,807.111206055
35.6292119809,-83.0893640298,807.116210938
35.62927768,-83.0893432298,807.025939941
35.629339081,-83.0893121298,806.996887207
35.629386681,-83.0892711298,806.748657227
35.629430781,-83.0892262298,806.396484375
35.629495981,-83.0891626298,806.284606934
35.62955918,-83.0890970298,806.272766113
35.629618481,-83.0890264297,806.125793457
35.6296787811,-83.0889566297,805.729553223
35.6297476821,-83.0888925297,805.473754883
35.6298216811,-83.0888343297,805.506958008
35.6298995801,-83.0887813297,805.38873291
35.6299801811,-83.0887326297,805.247558594
35.6300287811,-83.0887033297,805.229431152
35.6300803822,-83.0886800297,804.962524414
35.6301658812,-83.0886860297,804.698730469
35.6302513802,-83.0886954297,804.523742676
35.6303185812,-83.0886780297,804.006713867
35.6303784812,-83.0886435297,803.893615723
35.6304167812,-83.0885846297,803.733947754
35.6304526822,-83.0885240296,803.561462402
35.6305079823,-83.0884805296,803.454040527
35.6305713813,-83.0884495296,803.366577148
35.6306347813,-83.0884183296,803.071105957
35.6307025823,-83.0883680296,803.073974609
35.6307664823,-83.0883129296,802.980041504
35.6308357813,-83.0882647296,802.928771973
35.6309171813,-83.0882490296,802.770996094
35.6310066814,-83.0882845296,802.241760254
35.6310679804,-83.0882791296,801.861206055
35.6311243814,-83.0882544296,801.622741699
35.6311662824,-83.0882063296,801.370239258
35.6312071824,-83.0881572296,801.04510498
35.6312742814,-83.0881213296,800.824523926
35.6313475804,-83.0881003296,802.453857422
35.6314235825,-83.0880979296,803.711486816
35.6314261805,-83.0881046296,803.673034668
35.6314310815,-83.0881484296,803.435668945
35.6314536805,-83.0882266296,803.453186035
35.6314739815,-83.0883054296,803.462463379
35.6314978815,-83.0883832297,803.458435059
35.6315278815,-83.0884729297,803.533203125
35.6315522815,-83.0885644297,803.555175781
35.6315727825,-83.0886568297,803.618164062
35.6315908815,-83.0887497298,803.762207031
35.6316049815,-83.0888350298,803.824951172
35.6316161815,-83.0889208298,803.823120117
35.6316257815,-83.0890067299,803.907775879
35.6316350815,-83.0890927299,803.860839844
35.6316451815,-83.0891870299,803.913818359
35.6316544815,-83.0892814299,804.224487305
35.6316625825,-83.08937593,804.332458496
35.6316690805,-83.08947053,804.377746582
35.6316736815,-83.08955673,804.542236328
35.6316770804,-83.08964293,804.62298584
35.6316791814,-83.0897292301,804.726257324
35.6316797814,-83.0898155301,804.874450684
35.6316780814,-83.0899046301,804.965148926
35.6316744804,-83.0899936301,805.012512207
35.6316701814,-83.0900826302,805.162963867
35.6316664824,-83.0901716302,805.122497559
35.6316644814,-83.0902528302,805.312683105
35.6316633814,-83.0903340302,805.621276855
35.6316620804,-83.0904152303,805.723815918
35.6316595814,-83.0904963303,805.778503418
35.6316546804,-83.0905774303,805.6484375
35.6316467814,-83.0906689303,805.651000977
35.6316368814,-83.0907603304,805.682739258
35.6316236804,-83.0908512304,806.053894043
35.6316119814,-83.0909216304,806.001831055
35.6315982814,-83.0909916304,806.042175293
35.6315794814,-83.0910604305,806.192687988
35.6315478824,-83.0911397305,806.025634766
35.6315099814,-83.0912163305,805.952392578
35.6314775823,-83.0912833305,806.277282715
35.6314337823,-83.0913429305,806.254211426
35.6313831813,-83.0913707305,806.296142578
35.6313051813,-83.0913337305,805.994750977
35.6312187803,-83.0913335305,805.962402344
35.6311331813,-83.0913497305,806.047607422
35.6310457812,-83.0913625305,806.195556641
35.6309585822,-83.0913772305,806.080566406
35.6308674822,-83.0913936305,806.328186035
35.6307765812,-83.0914113305,806.682189941
35.6306857812,-83.0914293305,806.693725586
35.6305948822,-83.0914466305,806.94543457
35.6304978811,-83.0914611305,807.082336426
35.6304007811,-83.0914752305,807.179077148
35.6303053821,-83.0914976305,807.237792969
35.6302205811,-83.0915257305,807.599975586
35.6301396811,-83.0915634305,807.564331055
35.630069781,-83.0916142305,807.62890625
35.630004181,-83.0916708305,807.905029297
35.629943481,-83.0917253306,807.901245117
35.62988518,-83.0917822306,808.153503418
35.62982828,-83.0918406306,808.168518066
35.629771982,-83.0918996306,808.308532715
