lat,lng,ele
35.5406686554,-83.2968293855,651.145019531
35.5406319534,-83.2968613855,650.060546875
35.5405687543,-83.2968706855,649.195739746
35.5405148543,-83.2968580855,649.261291504
35.5404605543,-83.2968675855,648.595092773
35.5403597543,-83.2969528856,647.603088379
35.5402673533,-83.2970715856,646.557922363
35.5401665542,-83.2971569856,646.559204102
35.5400031542,-83.2972184856,646.74017334
35.5398558542,-83.2973796857,646.735900879
35.5393703541,-83.2977848857,645.845581055
35.539158254,-83.2980324858,645.098937988
35.538993354,-83.2981711858,644.935852051
35.5388379539,-83.2982880859,644.796508789
35.5387195549,-83.2983508859,644.746582031
35.5386176529,-83.2984912859,644.65246582
35.5382966538,-83.298779986,644.161193848
35.5380685547,-83.298927786,643.810241699
35.5379566537,-83.2991231861,643.475769043
35.5378822547,-83.2992422861,643.124389648
35.5376708536,-83.2994568861,642.801818848
35.5373947536,-83.2997467862,642.166503906
35.5372824525,-83.2999640863,641.788330078
35.5371464535,-83.3000043863,641.789794922
35.5370643535,-83.3000571863,641.553649902
35.5370444535,-83.3001557863,641.80657959
35.5370408525,-83.3003431864,641.788818359
35.5370548545,-83.3005531864,639.828430176
35.5369984534,-83.3006728865,640.260620117
35.5369404544,-83.3008806865,640.897949219
35.5367914534,-83.3011300866,641.222900391
35.5365630523,-83.3012889866,641.635375977
35.5363792543,-83.3014712867,641.554626465
35.5361420532,-83.3016188867,641.499389648
35.5359874542,-83.3016916867,641.369018555
35.5358066522,-83.3017195867,641.353027344
35.5354714531,-83.3018091867,641.566589355
35.535290353,-83.3018481867,641.371337891
35.535154652,-83.3018773867,641.498291016
35.535063653,-83.3019188867,641.169128418
35.5348466529,-83.3019567867,640.966674805
35.5346842519,-83.3019631867,640.860961914
35.5344561529,-83.3020999867,640.834716797
35.5341207538,-83.3022006867,641.56640625
35.5338875517,-83.3021388867,644.51776123
35.5336474537,-83.3019665866,650.43737793
35.5335223527,-83.3019078866,653.883911133
35.5334588527,-83.3019281866,655.383483887
