lat,lng,ele
35.5979190664,-83.2929943878,1022.50170898
35.5979610674,-83.2929416878,1024.26000977
35.5980029674,-83.2928889878,1025.39550781
35.5980513665,-83.2928281878,1026.54211426
35.5980996665,-83.2927673877,1027.53125
35.5981479665,-83.2927064877,1028.65905762
35.5981963655,-83.2926456877,1029.78710938
35.5982508665,-83.2925693877,1031.28637695
35.5983052675,-83.2924930877,1032.4140625
35.5983481655,-83.2924187877,1033.37561035
35.5983910665,-83.2923445876,1034.81542969
35.5984246666,-83.2922732876,1036.05834961
35.5984582666,-83.2922019876,1037.29699707
35.5984933666,-83.2921102876,1038.73046875
35.5985285666,-83.2920185875,1040.11535645
35.5985636666,-83.2919267875,1041.51013184
35.5985987656,-83.2918350875,1042.73242188
35.5986338656,-83.2917433875,1044.76977539
35.5986690656,-83.2916516874,1046.63378906
35.5987041656,-83.2915598874,1048.42944336
35.5987392677,-83.2914681874,1049.99987793
35.5987743667,-83.2913764874,1051.5213623
35.5988095677,-83.2912847873,1052.97460938
35.5988446667,-83.2911929873,1054.28649902
35.5988797667,-83.2911012873,1055.75073242
35.5989149667,-83.2910095873,1057.07849121
35.5989500667,-83.2909178872,1058.64208984
35.5989851667,-83.2908261872,1060.4732666
35.5990202657,-83.2907343872,1061.74768066
35.5990554668,-83.2906426872,1063.1262207
35.5990905658,-83.2905509871,1064.31420898
35.5991256678,-83.2904592871,1065.05224609
35.5991607678,-83.2903674871,1065.42565918
35.5991959678,-83.2902757871,1065.81567383
35.5992310668,-83.290184087,1066.60986328
35.5992661668,-83.290092387,1067.46691895
35.5993012668,-83.290000587,1067.38391113
35.5993364668,-83.289908887,1067.75683594
35.5993715668,-83.2898171869,1069.27416992
35.5993974669,-83.2897252869,1068.47973633
35.5994226669,-83.2896330869,1070.39404297
35.5994470669,-83.2895407869,1073.43481445
35.5994708659,-83.2894482868,1075.93310547
35.5994939669,-83.2893555868,1078.04040527
35.5995164679,-83.2892627868,1079.7869873
35.5995383669,-83.2891698868,1080.51940918
35.5995596679,-83.2890767867,1080.9564209
35.5995803669,-83.2889834867,1082.20361328
35.5996006669,-83.2888901867,1085.61486816
35.5996203679,-83.2887967867,1087.60241699
35.5996397669,-83.2887031866,1089.06396484
35.599658567,-83.2886095866,1090.49243164
35.599677067,-83.2885158866,1091.93249512
35.599695168,-83.2884220866,1093.38085938
35.599712867,-83.2883282865,1094.58374023
35.599730268,-83.2882343865,1095.89074707
35.599747467,-83.2881403865,1096.96398926
35.599764266,-83.2880463865,1098.09423828
35.599777268,-83.2879571864,1099.37365723
35.599777966,-83.2878804864,1100.52075195
35.599766667,-83.2877889864,1101.67089844
35.599751368,-83.2877168864,1102.75378418
35.599736068,-83.2876448863,1103.82189941
35.599720766,-83.2875727863,1104.8873291
35.599715867,-83.2875050863,1105.76538086
35.599710967,-83.2874373863,1106.65856934
35.599720567,-83.2873450862,1108.00512695
35.599730268,-83.2872526862,1109.63146973
35.599739868,-83.2871603862,1111.12475586
35.599749468,-83.2870679862,1112.45092773
35.599759068,-83.2869756861,1113.8807373
35.599768767,-83.2868833861,1115.15039062
35.5997783671,-83.2867909861,1116.5814209
35.5997879671,-83.2866986861,1117.91052246
35.5998026671,-83.286639786,1118.53894043
35.5998173671,-83.286580886,1118.9675293
35.5998379681,-83.286524686,1119.97509766
35.5998586671,-83.286468486,1121.36181641
35.5998973671,-83.286389886,1123.2611084
35.5999360671,-83.286311186,1124.40185547
35.5999747681,-83.2862325859,1124.78564453
35.6000134681,-83.2861539859,1124.86193848
35.6000521661,-83.2860752859,1125.29223633
35.6000908661,-83.2859966859,1127.66259766
35.6001094672,-83.2859496859,1128.99365234
35.6001280672,-83.2859027858,1130.74401855
35.6001508682,-83.2858071858,1133.09570312
35.6001603672,-83.2857164858,1134.95959473
35.6001592662,-83.2856332858,1136.40649414
35.6001552672,-83.2855918858,1137.28833008
35.6001393682,-83.2854945857,1138.9675293
35.6001148672,-83.2853991857,1141.09790039
35.6000842672,-83.2853053857,1143.34716797
35.6000504672,-83.2852127856,1144.99536133
35.6000160662,-83.2851203856,1147.06091309
35.5999834662,-83.2850272856,1148.73095703
35.5999555682,-83.2849327855,1150.39611816
35.5999416672,-83.2848736855,1151.28369141
35.5999276672,-83.2848146855,1151.87353516
35.5999179662,-83.2847544855,1152.58044434
35.5999082682,-83.2846941855,1153.3963623
35.5999021672,-83.2846176855,1154.92651367
35.5998959672,-83.2845412854,1156.40136719
35.5998966672,-83.2844644854,1158.12426758
35.5998973672,-83.2843876854,1159.44567871
35.5999054662,-83.2842995854,1161.57824707
35.5999136672,-83.2842113853,1163.46728516
35.5999217662,-83.2841232853,1165.69689941
35.5999414672,-83.2840622853,1166.71850586
35.5999612672,-83.2840012853,1167.65637207
35.6000012682,-83.2839554853,1167.01171875
35.6000411672,-83.2839096853,1166.94543457
35.6000934672,-83.2838894852,1167.15075684
35.6001456672,-83.2838693852,1170.05944824
35.6002350673,-83.2838802853,1171.48217773
35.6003127673,-83.2839271853,1170.52587891
35.6003709673,-83.2839820853,1169.21911621
35.6004298683,-83.2840361853,1168.23303223
35.6004951673,-83.2840777853,1167.8359375
35.6005817663,-83.2841029853,1167.58190918
35.6006705663,-83.2840991853,1167.60498047
35.6007338664,-83.2840780853,1168.31958008
35.6007925684,-83.2840419853,1169.10021973
35.6008628684,-83.2839885853,1168.99816895
35.6009299674,-83.2839312853,1169.03833008
35.6009951684,-83.2838717853,1171.24743652
35.6010597684,-83.2838116853,1173.04248047
35.6011252685,-83.2837525853,1176.0559082
35.6011929675,-83.2836958853,1179.82470703
35.6012413665,-83.2836604852,1182.11401367
35.6012896675,-83.2836250852,1184.3605957
35.6013341675,-83.2836015852,1186.4588623
35.6013785675,-83.2835781852,1188.56469727
35.6014339685,-83.2835590852,1190.6229248
35.6014893665,-83.2835400852,1192.87841797
35.6015451685,-83.2835310852,1193.92004395
35.6016009676,-83.2835220852,1193.90283203
35.6016745676,-83.2835153852,1193.89038086
35.6017483676,-83.2835129852,1194.29370117
35.6018305686,-83.2835165852,1195.38964844
35.6019114686,-83.2835304853,1196.16821289
35.6019896676,-83.2835594853,1195.04992676
35.6020630677,-83.2835993853,1194.52502441
35.6021322687,-83.2836507853,1192.80078125
35.6021968667,-83.2837079853,1200.48266602
35.6022619677,-83.2837712853,1206.69714355
35.6023225677,-83.2838389854,1212.49951172
35.6023793667,-83.2839098854,1217.01660156
35.6024334677,-83.2839829854,1220.83654785
35.6024854667,-83.2840573854,1223.66687012
35.6025364677,-83.2841325855,1225.55578613
35.6025872677,-83.2842079855,1226.85583496
35.6026386677,-83.2842828855,1226.2565918
35.6026834678,-83.2843525855,1223.57775879
35.6027281678,-83.2844221856,1220.36474609
35.6027729678,-83.2844918856,1217.15283203
35.6028064678,-83.2845567856,1215.81433105
35.6028398668,-83.2846216856,1216.94848633
35.6028690678,-83.2846894856,1218.76611328
