lat,lng,ele
35.7594878064,-83.1059486424,495.841583252
35.7595063084,-83.1060289424,496.679626465
35.7595206074,-83.1061101425,497.738983154
35.7595305074,-83.1061919425,498.790802002
35.7595359074,-83.1062741425,499.472259521
35.7595368074,-83.1063565425,500.172241211
35.7595354064,-83.1064284426,501.136474609
35.7595307074,-83.1065002426,502.631134033
35.7595181083,-83.1065710426,503.396087646
35.7594886073,-83.1066418426,503.725708008
35.7594601073,-83.1067129426,504.268554688
35.7594570073,-83.1068026427,505.777984619
35.7594687073,-83.1068921427,507.929077148
35.7594707073,-83.1069820427,510.349945068
35.7594486073,-83.1070660427,510.698883057
35.7594133083,-83.1071456428,511.98236084
35.7593752073,-83.1072239428,513.074768066
35.7593434063,-83.1073049428,514.611755371
35.7593187083,-83.1073928428,515.794921875
35.7592975073,-83.1074816428,516.786499023
35.7592799073,-83.1075712429,517.441833496
35.7592658073,-83.1076614429,518.011474609
35.7592556072,-83.1077521429,520.280883789
35.7592495072,-83.107843243,521.972839355
35.7592479072,-83.107934543,523.537780762
35.7592537072,-83.108023343,522.869567871
35.7592664072,-83.108111343,522.590332031
35.7592814062,-83.1081990431,523.366088867
35.7592943072,-83.1082871431,524.870788574
35.7593006072,-83.1083758431,527.162109375
35.7593016072,-83.1084535431,528.708129883
35.7593007072,-83.1085313432,529.411499023
35.7592956072,-83.1086088432,530.177490234
35.7592837072,-83.1086856432,530.728149414
35.7592568072,-83.1087673432,530.969543457
35.7592225082,-83.1088464432,531.477783203
35.7591956072,-83.1089281433,531.738647461
35.7591877062,-83.1090103433,532.867919922
35.7591901072,-83.1090931433,534.404785156
35.7591917072,-83.1091758433,535.612243652
35.7591811072,-83.1092577434,536.325927734
35.7591441072,-83.1093442434,536.42376709
35.7590957061,-83.1094252434,536.074890137
35.7590543071,-83.1095098434,535.899230957
35.7590271071,-83.1095867434,535.996032715
35.7590100081,-83.1096663435,536.176330566
35.7590209061,-83.1097440435,536.354248047
35.7590516061,-83.1098167435,536.977172852
35.7590868071,-83.1098873435,537.733459473
35.7591147071,-83.1099611436,538.579711914
35.7591328071,-83.1100529436,539.148010254
35.7591436061,-83.1101460436,539.224060059
35.7591510061,-83.1102393436,539.551574707
35.7591591071,-83.1103326437,539.910705566
35.7591715071,-83.1104254437,539.887023926
35.7591882071,-83.1105207437,539.85559082
35.7592058071,-83.1106158438,540.514343262
35.7592253071,-83.1107106438,540.905273438
35.7592478061,-83.1108046438,541.434631348
35.7592742071,-83.1108977439,542.213562012
35.7593058071,-83.1109891439,543.406494141
35.7593395061,-83.1110654439,544.146728516
35.7593786071,-83.1111390439,545.253723145
35.7594195071,-83.111211744,546.055419922
35.7594590081,-83.111285244,546.862060547
35.7594934072,-83.111361144,547.884338379
35.7595201062,-83.111441744,548.775512695
35.7595421082,-83.1115238441,549.076721191
35.7595654082,-83.1116055441,549.480224609
35.7595965062,-83.1116845441,550.661987305
35.7596439072,-83.1117597441,551.823852539
35.7596976072,-83.1118307441,552.691711426
35.7597433072,-83.1119069442,553.586181641
35.7597678062,-83.1119704442,554.451416016
35.7597878082,-83.1120355442,555.494873047
35.7598065072,-83.1121009442,556.490234375
35.7598303082,-83.1121858443,557.770996094
35.7598518062,-83.1122713443,558.730407715
35.7598711072,-83.1123573443,559.309753418
35.7598885082,-83.1124437443,560.481018066
35.7599043072,-83.1125304444,561.768981934
35.7599185082,-83.1126174444,562.638244629
35.7599315072,-83.1127046444,563.193664551
35.7599433072,-83.1127919444,563.804321289
35.7599542072,-83.1128827445,564.606079102
35.7599636082,-83.1129737445,565.26763916
35.7599714072,-83.1130649445,565.966247559
35.7599777062,-83.1131562446,566.679504395
35.7599824072,-83.1132475446,567.063537598
35.7599857062,-83.1133389446,567.276000977
35.7599875072,-83.1134304446,567.839477539
35.7599879082,-83.1135219447,568.619689941
35.7599845072,-83.1136180447,569.192687988
35.7599761062,-83.1137138447,569.729736328
35.7599645072,-83.1138092447,570.028259277
35.7599513071,-83.1139045448,570.522460938
35.7599381061,-83.1139997448,571.140075684
35.7599265081,-83.1140952448,571.581665039
35.7599182081,-83.1141909449,572.215576172
35.7599148061,-83.1142870449,573.049987793
35.7599182081,-83.1143831449,573.825622559
35.7599273071,-83.1144574449,574.724914551
35.7599336061,-83.114532045,575.89855957
35.7599215061,-83.114626245,576.55859375
35.7598968081,-83.114718245,576.997497559
35.7598757081,-83.114810945,577.40435791
35.7598661081,-83.1148953451,577.995788574
35.7598611061,-83.1149802451,578.645324707
35.7598588081,-83.1150651451,579.343505859
35.7598575081,-83.1151501451,580.508117676
35.7598553061,-83.1152351452,581.922241211
35.7598505081,-83.1153199452,582.849609375
35.7598417071,-83.1154148452,583.729003906
35.7598307061,-83.1155095452,584.943847656
35.7598179081,-83.1156039453,585.409484863
35.759803906,-83.1156982453,585.490600586
35.759789206,-83.1157924453,586.58807373
35.759774207,-83.1158865453,587.076904297
35.759759507,-83.1159807454,587.478149414
35.759745607,-83.1160750454,587.869995117
35.759732906,-83.1161694454,588.576904297
35.759722008,-83.1162641455,589.169555664
35.759713507,-83.1163633455,589.823974609
35.759707406,-83.1164627455,590.547241211
35.759702007,-83.1165622455,591.629882812
35.759695407,-83.1166615456,592.44354248
35.759685908,-83.1167607456,593.633300781
35.759671606,-83.1168592456,594.329528809
35.759652308,-83.1169460457,594.872131348
35.759627607,-83.1170315457,595.775756836
35.7596005069,-83.1171163457,596.78503418
35.7595740079,-83.1172012457,597.347045898
35.7595512069,-83.1172872457,598.245178223
35.7595352069,-83.1173747458,599.055603027
35.7595246059,-83.1174530458,600.264160156
35.7595168079,-83.1175317458,601.094909668
35.7595174069,-83.1176107458,601.944641113
35.7595313059,-83.1176823459,603.698242188
35.7595445069,-83.1177540459,605.01953125
35.7595416069,-83.1178342459,605.246337891
35.7595282069,-83.1179134459,604.882568359
35.7595115059,-83.117992046,605.134033203
35.7594882069,-83.118074446,606.117004395
35.7594561079,-83.118153946,607.285644531
35.7594203079,-83.118231746,608.217407227
35.7593855079,-83.118310146,608.608703613
35.7593569068,-83.1183908461,609.990478516
35.7593397068,-83.1184747461,610.833557129
35.7593366078,-83.1185450461,611.742126465
35.7593321078,-83.1186151461,612.792663574
35.7593128068,-83.1186823461,612.926635742
35.7592863068,-83.1187471462,613.132202148
35.7592663078,-83.1188141462,613.539916992
35.7592619058,-83.1188912462,614.148864746
35.7592682078,-83.1189683462,614.746398926
35.7592762078,-83.1190452462,615.304626465
35.7592774068,-83.1191225463,616.030151367
35.7592642068,-83.1192099463,616.570068359
35.7592457068,-83.1192964463,617.510681152
35.7592358068,-83.1193842463,618.046691895
35.7592411058,-83.1194557464,618.805297852
35.7592520058,-83.1195266464,619.619506836
35.7592588068,-83.1195980464,620.324584961
35.7592543068,-83.1196891464,621.114013672
35.7592433058,-83.1197797465,621.862365723
35.7592344058,-83.1198705465,622.810668945
35.7592331058,-83.1199618465,623.81036377
35.7592376058,-83.1200529465,624.169799805
35.7592465058,-83.1201438466,625.478881836
35.7592579068,-83.1202344466,626.389892578
35.7592705058,-83.1203248466,627.424621582
35.7592825068,-83.1204153467,628.63104248
35.7592926067,-83.1205060467,629.340942383
35.7592989077,-83.1205971467,630.144836426
35.7593000067,-83.1206883467,630.233886719
35.7592939067,-83.1207794468,629.872070312
35.7592785057,-83.1208673468,630.046691895
35.7592601067,-83.1209546468,629.951843262
35.7592503077,-83.1210432468,629.588317871
35.7592557077,-83.1211274469,630.164489746
35.7592714077,-83.1212104469,631.704345703
35.7592938057,-83.1212918469,633.305541992
35.7593195067,-83.1213722469,634.157409668
