lat,lng,ele
35.6604953619,-83.7089304134,346.27456665
35.6604630619,-83.7089967135,346.322570801
35.6604408629,-83.7090666135,347.628417969
35.6604754639,-83.7091105135,347.924072266
35.6605201629,-83.7091466135,347.756011963
35.6605655639,-83.7092149135,349.146606445
35.6606031629,-83.7092879136,351.142211914
35.6606415629,-83.7093605136,352.124694824
35.6606851619,-83.7094373136,352.815246582
35.6607278629,-83.7095145136,353.161590576
35.6607723639,-83.7095908137,354.706604004
35.6608209639,-83.7096644137,356.15914917
35.6608765639,-83.7097329137,357.107208252
35.660936662,-83.7097921137,357.826660156
35.661000163,-83.7098475137,358.971130371
35.661064663,-83.7099019138,359.919433594
35.661132963,-83.7099514138,361.380065918
35.661192863,-83.7099777138,362.261169434
35.661248864,-83.7100106138,363.286254883
35.661277062,-83.7100631138,365.25100708
35.661309662,-83.7101120138,366.383331299
35.661381663,-83.7101145138,364.3671875
35.661453762,-83.7101761139,365.658691406
35.6615137641,-83.7102515139,368.112823486
35.6615579621,-83.7102917139,369.332946777
35.6616021631,-83.7103318139,370.818511963
35.6616604641,-83.7103880139,372.537567139
35.6617167621,-83.710446114,373.815032959
35.6617768621,-83.710521114,374.279449463
35.6618395631,-83.710593814,376.027832031
35.6619103641,-83.710651414,378.516906738
35.6619916621,-83.710643114,376.576751709
35.6620731622,-83.7106870141,378.359405518
35.6621518632,-83.7107369141,380.199462891
35.6622325642,-83.7107495141,381.24105835
35.6623139632,-83.7107424141,383.269500732
35.6623894642,-83.7107116141,383.66607666
35.6624597642,-83.7106700141,383.366424561
35.6625247633,-83.7106156141,382.911743164
35.6625970633,-83.7105753141,382.016601562
35.6626631633,-83.7106377141,387.538879395
35.6627294643,-83.7107012141,389.55267334
35.6627924643,-83.7107034141,388.309051514
35.6628547643,-83.7107386141,389.199432373
35.6628997633,-83.7107723141,390.350494385
35.6629433623,-83.7108079141,391.727874756
35.6629962633,-83.7108486142,392.916259766
35.6630496643,-83.7108888142,393.742034912
35.6630991634,-83.7109226142,394.604248047
35.6631472624,-83.7109583142,395.081268311
35.6632155644,-83.7110301142,396.504089355
35.6632791644,-83.7111064142,397.956207275
35.6633271624,-83.7111585143,398.780578613
35.6633751634,-83.7112107143,400.04876709
35.6634197644,-83.7112658143,401.451812744
35.6634712644,-83.7113508143,402.934661865
35.6635241634,-83.7114350144,404.773651123
35.6635736634,-83.7114853144,404.722808838
35.6636209634,-83.7115376144,404.826171875
35.6636596634,-83.7116196144,406.835357666
35.6636892624,-83.7117056144,409.660705566
35.6637190635,-83.7117824145,410.280883789
35.6637398635,-83.7118620145,410.835296631
35.6637383645,-83.7119227145,412.462097168
35.6637370634,-83.7119834145,413.897888184
35.6637537644,-83.7120517146,413.21081543
35.6637791635,-83.7121173146,413.345245361
35.6638192645,-83.7121898146,413.664672852
35.6638569645,-83.7122635146,413.963317871
35.6638721635,-83.7123185146,414.226928711
35.6638814635,-83.7123748147,414.842437744
35.6638771625,-83.7124685147,415.465087891
35.6638682635,-83.7125621147,416.613525391
35.6638726624,-83.7126362147,416.810241699
35.6638815644,-83.7127100148,417.540496826
35.6638902624,-83.7127838148,419.192871094
35.6638961634,-83.7128615148,420.194854736
35.6639018634,-83.7129392148,421.218780518
35.6639120634,-83.7130164148,422.425964355
35.6639297634,-83.7130957149,423.164031982
35.6639525624,-83.7131737149,424.363464355
35.6639788634,-83.7132506149,425.797912598
35.6640064635,-83.7133233149,427.425628662
35.6640373635,-83.713394715,428.793640137
35.6640731635,-83.713463815,429.966247559
35.6641105635,-83.713522715,430.509918213
35.6641519645,-83.713579015,430.675506592
35.6641955635,-83.713633615,431.009643555
35.6642558625,-83.7136995151,431.730682373
35.6643195635,-83.7137622151,432.570495605
35.6643804645,-83.7138276151,433.605773926
35.6644268625,-83.7138914151,435.441467285
35.6644767635,-83.7139524152,437.399871826
35.6645383625,-83.7139939152,437.626922607
35.6646010635,-83.7140339152,437.68737793
35.6646465636,-83.7140782152,438.440704346
35.6646891646,-83.7141252152,439.758148193
35.6647368626,-83.7141826152,441.296112061
35.6647857626,-83.7142390153,442.748352051
35.6648551636,-83.7142983153,443.820770264
35.6649273636,-83.7143542153,445.367401123
35.6649933646,-83.7144121153,446.322265625
35.6650578636,-83.7144716153,447.44241333
35.6651234646,-83.7145300154,448.95123291
35.6651925626,-83.7145841154,450.375396729
35.6652463637,-83.7146183154,450.881896973
35.6652991637,-83.7146540154,451.569335938
35.6653488627,-83.7146986154,452.934448242
35.6653962637,-83.7147456154,454.301635742
35.6654538637,-83.7148025155,456.330352783
35.6655108627,-83.7148599155,457.486572266
35.6655770627,-83.7149185155,456.897735596
35.6656341647,-83.7149856155,457.174560547
35.6656586637,-83.7150458155,458.841888428
35.6656764637,-83.7151085156,460.352905273
35.6656919637,-83.7151635156,460.377166748
35.6657009647,-83.7152198156,460.204925537
35.6656871637,-83.7152913156,461.574981689
35.6656707637,-83.7153624156,463.628662109
35.6656774637,-83.7154462157,464.9296875
35.6656940637,-83.7155288157,465.681854248
35.6657135637,-83.7155950157,465.973327637
35.6657270637,-83.7156625157,466.249084473
35.6657153647,-83.7157289157,468.044311523
35.6656970637,-83.7157940158,470.188354492
35.6656837627,-83.7158765158,471.157745361
35.6656743637,-83.7159594158,470.33682251
35.6656631637,-83.7160422158,468.691497803
35.6656445637,-83.7161236159,468.177124023
35.6656165647,-83.7161929159,467.979797363
35.6655841637,-83.7162603159,468.655303955
35.6655587647,-83.7163305159,469.529785156
35.6655463626,-83.7164017159,470.986907959
35.6655374636,-83.716473416,472.146759033
35.6655213646,-83.716560916,473.213592529
35.6655154636,-83.716649416,474.10269165
35.6655284626,-83.716699416,472.718292236
35.6655402626,-83.716749616,471.669403076
35.6655308636,-83.7168220161,472.042663574
35.6655100636,-83.7168922161,472.705383301
35.6654809636,-83.7169796161,472.268798828
35.6654530626,-83.7170420161,472.16506958
35.6654152646,-83.7170988161,472.124969482
35.6653668636,-83.7171330161,473.18170166
35.6653146626,-83.7171617161,474.244995117
35.6652413646,-83.7172144162,474.693054199
35.6651965635,-83.7172019161,474.629364014
35.6651643645,-83.7171550161,474.187530518
35.6651447635,-83.7171007161,474.611663818
35.6651253645,-83.7170242161,474.946838379
35.6651158625,-83.7169457161,475.162353516
35.6651049645,-83.716867416,475.112335205
35.6650846635,-83.716770616,474.727630615
35.6650624645,-83.716674216,474.25592041
35.6650394625,-83.716578016,474.098968506
35.6650216635,-83.7164937159,474.780914307
35.6649981645,-83.7164109159,475.260925293
35.6649712635,-83.7163608159,474.747558594
35.6649463635,-83.7163098159,474.318969727
35.6649368645,-83.7162491159,474.737915039
35.6649310645,-83.7161878158,475.247894287
35.6649139635,-83.7161129158,474.803100586
35.6648926635,-83.7160391158,474.455291748
35.6648729625,-83.7159649158,474.277587891
35.6648578645,-83.7158948157,474.124389648
35.6648442625,-83.7158244157,473.80645752
35.6648326645,-83.7157537157,473.689331055
35.6648270635,-83.7156795157,474.043212891
35.6648237625,-83.7156051157,474.664703369
35.6648106625,-83.7155320156,474.716796875
35.6647877635,-83.7154746156,474.375610352
35.6647590635,-83.7154198156,473.982452393
