lat,lng,ele
35.6251197661,-83.4703400414,1171.02514648
35.6251452651,-83.4704180415,1171.80786133
35.6251979651,-83.4704859415,1172.56237793
35.6253215641,-83.4706111415,1174.1472168
35.6254379651,-83.4706478415,1174.64038086
35.6255800641,-83.4707516416,1176.47058105
35.6257027642,-83.4709209416,1177.51708984
35.6258164662,-83.4710900417,1180.51098633
35.6257874642,-83.4711885417,1183.35302734
35.6258806652,-83.4714784418,1184.96887207
35.6259112652,-83.4717443419,1189.16821289
35.6259152662,-83.471987542,1191.67749023
35.6259285652,-83.472219742,1193.05004883
35.6258246651,-83.4724483421,1199.60083008
35.6257559651,-83.4727222422,1205.40515137
35.6256964651,-83.4729854422,1208.51342773
35.625633764,-83.4734029424,1215.0880127
35.625545864,-83.4737314425,1219.19458008
35.625480064,-83.4738619425,1223.02685547
35.625441565,-83.4739822425,1224.5682373
35.625391766,-83.4742125426,1226.3894043
35.6253414649,-83.4744648427,1229.18505859
35.6253200649,-83.4746298427,1232.12341309
35.6252614639,-83.4748488428,1236.5892334
35.6251956649,-83.4749792428,1240.17687988
35.6251738639,-83.4751662429,1241.56494141
35.6251514659,-83.4753753429,1246.32824707
35.6251298649,-83.475551343,1248.62060547
35.6250458648,-83.475692243,1254.671875
35.6249320648,-83.4759647431,1264.09448242
35.6249169638,-83.4762624432,1272.35461426
35.6247948637,-83.4765015432,1279.86169434
35.6246634657,-83.4767514433,1289.88330078
35.6247256647,-83.4767975433,1286.59594727
35.6247148657,-83.4768854433,1288.41442871
35.6246505647,-83.4769387433,1291.80249023
35.6245766647,-83.4770247434,1297.4519043
35.6245930647,-83.4771025434,1295.5480957
35.6244421646,-83.4774290435,1303.20703125
35.6242927636,-83.4776783435,1311.14831543
35.6242094646,-83.4777862436,1315.79516602
35.6241702646,-83.4779395436,1318.5369873
35.6242037646,-83.4780620436,1321.83032227
35.6241465645,-83.4782148437,1326.17346191
35.6241062645,-83.4784233437,1334.89526367
35.6240397645,-83.4785868438,1337.2253418
35.6239503645,-83.4785510438,1338.8885498
35.6238260645,-83.4784588437,1341.63122559
35.6237710645,-83.4785013437,1344.51147461
35.6236265644,-83.4785189437,1347.5111084
35.6234629644,-83.4785801438,1351.04797363
35.6233717634,-83.4786324438,1353.84326172
35.6233976634,-83.4786884438,1358.14916992
35.6235321634,-83.4787257438,1360.10522461
35.6236395634,-83.4787622438,1360.95373535
35.6237363654,-83.4788755439,1363.46911621
35.6237865634,-83.4790648439,1366.21850586
35.6238180644,-83.479286544,1370.62780762
35.6238670654,-83.4795309441,1373.99084473
35.6239740655,-83.4795894441,1376.02294922
35.6240456655,-83.4796137441,1380.27246094
35.6241379645,-83.4795062441,1378.80297852
35.6242298635,-83.479420744,1380.66796875
35.6243679645,-83.479281444,1384.75854492
35.6245123636,-83.479274944,1386.12915039
35.6246922636,-83.479291544,1390.76953125
35.6248305657,-83.479141244,1396.70874023
35.6249182647,-83.4788237439,1399.82373047
35.6250833657,-83.4786853439,1404.84411621
35.6251918647,-83.4786666439,1405.10388184
35.6253071638,-83.4787585439,1407.90100098
35.6254219648,-83.478872444,1414.82104492
35.6255480658,-83.478876344,1415.19152832
35.6257005638,-83.478914144,1419.86230469
35.6257836639,-83.478817344,1419.1739502
35.6258767649,-83.4786767439,1422.5949707
35.6259593659,-83.4786020439,1422.28771973
35.6261399639,-83.4785855439,1428.91833496
35.626299965,-83.4782592438,1429.25012207
35.626284865,-83.4781152438,1427.28479004
35.626340364,-83.4780507438,1426.06469727
35.626375766,-83.4780849438,1425.22668457
35.626482665,-83.4781434438,1421.3737793
35.626516565,-83.4782438438,1423.59606934
35.6266048661,-83.4783348439,1422.96984863
35.6267127651,-83.4783492439,1418.82910156
35.6268360641,-83.4784855439,1416.00854492
35.6270029651,-83.478700444,1419.05407715
35.6271212651,-83.478648944,1414.84594727
35.6272293662,-83.478652244,1416.78637695
35.6273653652,-83.478612344,1418.05212402
35.6274840662,-83.478538644,1417.18505859
35.6276385653,-83.478477244,1416.91430664
35.6278099653,-83.478471444,1414.98632812
35.6278912643,-83.478462944,1413.57214355
35.6281275654,-83.478370844,1415.57080078
35.6282013654,-83.4782848439,1416.30664062
35.6284365654,-83.478247944,1417.01013184
35.6284284664,-83.4782035439,1418.24304199
35.6285835655,-83.4781089439,1418.53417969
35.6287118665,-83.4780636439,1425.85998535
35.6287122645,-83.4780635439,1425.85998535
35.6287561655,-83.4780480439,1428.66833496
35.6289671656,-83.4778668439,1435.63146973
35.6291504646,-83.4777179438,1443.15722656
35.6292489656,-83.4777541439,1448.20568848
35.6293387656,-83.4777679439,1451.12744141
35.6294115647,-83.4777370439,1451.25463867
