lat,lng,ele
35.6543701733,-83.4412004346,1945.30163574
35.6543601723,-83.4412273346,1945.54589844
35.6543509733,-83.4412547346,1946.02734375
35.6543429723,-83.4412826347,1946.45751953
35.6543357713,-83.4413109347,1946.84533691
35.6543298723,-83.4413395347,1947.23181152
35.6543248713,-83.4413684347,1947.6151123
35.6543210713,-83.4413977347,1948.00256348
35.6543192723,-83.4414264347,1948.27966309
35.6543191723,-83.4414551347,1948.45947266
35.6543197713,-83.4414838347,1948.54882812
35.6543198723,-83.4415125347,1948.65014648
35.6543181713,-83.4415412347,1948.83752441
35.6543143723,-83.4415705347,1949.16381836
35.6543092723,-83.4415993347,1949.58166504
35.6543030733,-83.4416280348,1950.01843262
35.6542958723,-83.4416563348,1950.36938477
35.6542878722,-83.4416842348,1950.73266602
35.6542791712,-83.4417118348,1951.20874023
35.6542698712,-83.4417392348,1951.63439941
35.6542601722,-83.4417663348,1952.04553223
35.6542499722,-83.4417931348,1952.39904785
35.6542391732,-83.4418204348,1952.75183105
35.6542276732,-83.4418473348,1953.20568848
35.6542156722,-83.4418739348,1953.72290039
35.6542030732,-83.4419000348,1954.2409668
35.6541898722,-83.4419258348,1954.76147461
35.6541760722,-83.4419510348,1955.3314209
35.6541616722,-83.4419756348,1955.82043457
35.6541465712,-83.4419998349,1956.27746582
35.6541297722,-83.4420222349,1956.62316895
35.6541109732,-83.4420420349,1957.1171875
35.6540913722,-83.4420609349,1957.67175293
35.6540719722,-83.4420799349,1958.45349121
35.6540535712,-83.4421004349,1959.08251953
35.6540376722,-83.4421237349,1959.60693359
35.6540263712,-83.4421508349,1960.03381348
35.6540206722,-83.4421796349,1960.41625977
35.6540177712,-83.4422092349,1960.80114746
35.6540155722,-83.4422388349,1961.17358398
35.6540142712,-83.4422675349,1961.57348633
35.6540142712,-83.4422962349,1961.88220215
35.6540147732,-83.4423249349,1962.17700195
35.6540145712,-83.4423536349,1962.52172852
35.6540126712,-83.442382335,1962.96313477
35.6540077732,-83.442411235,1963.43884277
35.6540007732,-83.442439535,1963.94494629
35.6539932722,-83.442467535,1964.44714355
35.6539867712,-83.442495935,1964.88391113
35.6539826722,-83.442524935,1965.41723633
35.6539822711,-83.442551535,1965.8560791
35.6539837731,-83.442578135,1966.1607666
35.6539861721,-83.442604635,1966.67102051
35.6539882731,-83.442631035,1967.29333496
35.6539889711,-83.442657735,1967.91809082
35.6539869731,-83.442688435,1968.43725586
35.6539825711,-83.4427188351,1968.93273926
35.6539763721,-83.4427487351,1969.53930664
35.6539689721,-83.4427782351,1970.2010498
35.6539609721,-83.4428074351,1970.86535645
35.6539527721,-83.4428367351,1971.48254395
35.6539448711,-83.4428659351,1972.02111816
35.6539378711,-83.4428956351,1972.67028809
35.6539323731,-83.4429257351,1973.45019531
35.6539288731,-83.4429563351,1974.17016602
35.6539281731,-83.4429871351,1974.86169434
35.6539280721,-83.4430171351,1975.45275879
35.6539289721,-83.4430470351,1975.9354248
35.6539353721,-83.4430757352,1976.20288086
35.6539519721,-83.4430962352,1976.52233887
35.6539717711,-83.4431120352,1976.76843262
35.6539883711,-83.4431325352,1977.10827637
35.6539928721,-83.4431617352,1977.66918945
35.6539920721,-83.4431916352,1978.32678223
35.6539955721,-83.4432211352,1978.80871582
35.6540091721,-83.4432445352,1979.0748291
35.6540260711,-83.4432649352,1979.34411621
35.6540392721,-83.4432887352,1979.75073242
35.6540395721,-83.4433162352,1980.3190918
35.6540320731,-83.4433424352,1980.97497559
35.6540223721,-83.4433675352,1981.65856934
35.6540136721,-83.4433932353,1982.29870605
35.6540095721,-83.4434203353,1982.89416504
35.6540124721,-83.4434456353,1983.46569824
35.6540184721,-83.4434701353,1984.05578613
35.6540240731,-83.4434948353,1984.64379883
35.6540255721,-83.4435202353,1985.31323242
35.6540174711,-83.4435501353,1986.23217773
35.6540053721,-83.4435780353,1986.96069336
35.6539966711,-83.4436077353,1987.77429199
35.6539987721,-83.4436376353,1988.36193848
35.6540080731,-83.4436655353,1988.78845215
35.6540201721,-83.4436918353,1989.06494141
35.6540323731,-83.4437180353,1989.39379883
35.6540427721,-83.4437454354,1989.72912598
35.6540473731,-83.4437749354,1990.18884277
35.6540434721,-83.4438038354,1990.77404785
35.6540345721,-83.4438309354,1991.39562988
35.6540234731,-83.4438571354,1992.20251465
35.6540124721,-83.4438832354,1993.35107422
35.6540032731,-83.4439103354,1994.5904541
35.6539989721,-83.4439391354,1995.63037109
35.6540000731,-83.4439685354,1996.33679199
35.6540040721,-83.4439977354,1996.84289551
35.6540102721,-83.4440261354,1996.97363281
35.6540185721,-83.4440538354,1997.04211426
35.6540286721,-83.4440806355,1996.97937012
35.6540406731,-83.4441061355,1997.01806641
35.6540564721,-83.4441307355,1997.17333984
35.6540746711,-83.4441525355,1997.27722168
35.6540933721,-83.4441739355,1997.19116211
35.6541109731,-83.4441966355,1996.89733887
35.6541236721,-83.4442160355,1996.62158203
35.6541359711,-83.4442357355,1996.25708008
35.6541479721,-83.4442558355,1995.80090332
35.6541594721,-83.4442764355,1994.90649414
