lat,lng,ele
35.55785565,-83.4975160454,1887.97692871
35.55792665,-83.4975734454,1888.31481934
35.55799465,-83.4976181454,1888.83044434
35.5580664491,-83.4976566455,1889.7019043
35.5581405511,-83.4976903455,1890.58422852
35.5582205501,-83.4977169455,1891.52587891
35.5583022511,-83.4977377455,1892.8861084
35.5583823501,-83.4977640455,1894.13244629
35.5584549501,-83.4977969455,1894.46740723
35.5585251501,-83.4978346455,1895.78942871
35.5585902492,-83.4978766456,1896.98693848
35.5586523502,-83.4979228456,1898.0748291
35.5587115502,-83.4979728456,1899.0135498
35.5587676492,-83.4980294456,1900.16760254
35.5588192502,-83.4980901456,1900.74047852
35.5588698492,-83.4981516457,1901.19543457
35.5589229492,-83.4982110457,1901.82519531
35.5589838502,-83.4982744457,1902.76806641
35.5590454502,-83.4983370457,1903.83483887
35.5591100502,-83.4983967457,1903.99267578
35.5591793503,-83.4984506458,1904.77233887
35.5592372503,-83.4984855458,1906.078125
35.5592951513,-83.4985204458,1906.93188477
35.5593751493,-83.4985780458,1908.51306152
35.5594502493,-83.4986419458,1909.98352051
35.5595164503,-83.4987149459,1910.87854004
35.5595627493,-83.4987947459,1911.52734375
35.5596123503,-83.4988723459,1911.44787598
35.5596944503,-83.4989280459,1913.07958984
35.5597813494,-83.498976846,1914.67822266
35.5598382494,-83.499022146,1915.63317871
35.5598919504,-83.499071146,1916.41296387
35.5599405504,-83.499125246,1916.91564941
35.5599831504,-83.499193546,1916.15515137
35.5600279514,-83.499260346,1916.23352051
35.5601050494,-83.4993165461,1918.23254395
35.5601879504,-83.4993645461,1920.01916504
35.5602484504,-83.4994087461,1921.11730957
35.5603076495,-83.4994547461,1922.37097168
35.5603654515,-83.4995024461,1923.53686523
35.5604335515,-83.4995609462,1924.90783691
35.5605001505,-83.4996211462,1925.88452148
35.5605634505,-83.4996848462,1926.54260254
35.5606216505,-83.4997531462,1927.73498535
35.5606644505,-83.4998214463,1927.75415039
35.5607034505,-83.4998921463,1927.04418945
35.5607526505,-83.4999557463,1927.51208496
35.5608202515,-83.4999951463,1928.78369141
35.5608861495,-83.5000370463,1930.99121094
35.5609303506,-83.5001205464,1932.20678711
35.5609727496,-83.5002052464,1932.45739746
35.5610380506,-83.5002584464,1933.6739502
35.5611058506,-83.5003086464,1935.3092041
35.5611657496,-83.5003822464,1936.77453613
35.5612161516,-83.5004627465,1938.09790039
35.5612631516,-83.5005452465,1938.72009277
35.5613017506,-83.5006194465,1939.14355469
35.5613375506,-83.5006949465,1939.64794922
35.5613757496,-83.5007693466,1940.67224121
35.5614252496,-83.5008471466,1942.07299805
35.5614715516,-83.5009267466,1943.78320312
35.5614967516,-83.5009964466,1944.49560547
35.5615162516,-83.5010679467,1944.50024414
35.5615393496,-83.5011384467,1945.22399902
35.5615741516,-83.5012111467,1946.59191895
35.5616084506,-83.5012840467,1948.25512695
35.5616336497,-83.5013617468,1950.01391602
35.5616517517,-83.5014414468,1950.65991211
35.5616656507,-83.5015220468,1950.63598633
35.5616776517,-83.5016028468,1951.50817871
35.5616902507,-83.5016836469,1952.73095703
35.5617030507,-83.5017631469,1953.4576416
35.5617144496,-83.5018428469,1954.3828125
35.5617250496,-83.5019227469,1955.59997559
35.5617351516,-83.502002647,1956.94055176
35.5617450506,-83.502082547,1958.46936035
35.5617558506,-83.502165447,1959.85021973
35.5617666506,-83.502248347,1960.63513184
35.5617761496,-83.5023313471,1962.11450195
35.5617832506,-83.5024146471,1963.55932617
35.5617868506,-83.5025050471,1964.53076172
35.5617868506,-83.5025954471,1965.36694336
35.5617850516,-83.5026859472,1966.15942383
35.5617831516,-83.5027763472,1967.00366211
35.5617827506,-83.5028668472,1968.21984863
35.5617827506,-83.5029478472,1968.42492676
35.5617830506,-83.5030288473,1969.41674805
35.5617867506,-83.5031097473,1970.35009766
35.5617957506,-83.5031936473,1971.70861816
35.5618088506,-83.5032770473,1973.03381348
35.5618248506,-83.5033599474,1974.07678223
35.5618429496,-83.5034423474,1975.11425781
35.5618633516,-83.5035244474,1976.20996094
35.5618862506,-83.5036059474,1977.4888916
35.5619099506,-83.5036871475,1978.66381836
35.5619349516,-83.5037689475,1979.77416992
35.5619609506,-83.5038504475,1980.93395996
35.5619859506,-83.5039322475,1982.02734375
35.5620094496,-83.5040140476,1983.33569336
35.5620320516,-83.5040961476,1984.36560059
35.5620537506,-83.5041785476,1985.8215332
35.5620745516,-83.5042610476,1986.65026855
35.5620945506,-83.5043438477,1986.6204834
