lat,lng,ele
35.55785565,-83.4975160454,1887.97692871
35.55783205,-83.4974697454,1888.40600586
35.557803449,-83.4974262454,1889.03442383
35.55774355,-83.4973733454,1890.01147461
35.557673349,-83.4973342453,1890.25622559
35.55760805,-83.4972877453,1891.22314453
35.55754635,-83.4972196453,1892.39294434
35.557476751,-83.4971530453,1893.86755371
35.5574023489,-83.4970920453,1894.74902344
35.5573235499,-83.4970365452,1895.82470703
35.5572411499,-83.4969867452,1896.39221191
35.5571554499,-83.4969428452,1897.11828613
35.5570981489,-83.4969169452,1898.30688477
35.5570392509,-83.4968950452,1898.76416016
35.5569766489,-83.4968813452,1899.41809082
35.5569136508,-83.4968691452,1900.4609375
35.5568347508,-83.4968524452,1901.38208008
35.5567614498,-83.4968202451,1903.02026367
35.5566997498,-83.4967521451,1904.45922852
35.5566650508,-83.4966830451,1905.71264648
35.5566576508,-83.4966074451,1907.76171875
35.5567038498,-83.4965537451,1908.953125
35.5567550498,-83.496506345,1910.22351074
35.5568137498,-83.496468945,1911.91186523
35.5569080499,-83.496463045,1913.28662109
35.5570031509,-83.4964637451,1914.99658203
35.5570849509,-83.496433245,1916.61999512
35.5571130509,-83.496378945,1918.13269043
35.5570962499,-83.496323245,1919.20495605
35.5570462509,-83.496293345,1920.46337891
35.5569890509,-83.496275845,1921.82971191
35.5569150499,-83.496223445,1923.10070801
35.5568502499,-83.496160145,1922.77954102
35.5567945489,-83.4960885449,1922.17089844
35.5568776499,-83.4961187449,1923.28918457
35.5569623499,-83.496144345,1925.71264648
35.5570482489,-83.496165145,1924.5793457
35.5571352499,-83.496181045,1924.0534668
35.5572039499,-83.496189445,1924.40332031
35.55727305,-83.496194645,1924.97375488
35.55734215,-83.496198545,1925.80114746
35.557437549,-83.496198945,1926.09118652
35.557532749,-83.496191145,1926.6328125
35.55762715,-83.496176945,1928.0135498
35.557720649,-83.496158145,1929.54992676
35.5578136491,-83.496136345,1930.91906738
35.5579062511,-83.496113145,1932.28796387
35.5579988501,-83.496089945,1933.38146973
35.5580918501,-83.496068245,1934.36462402
35.5581854501,-83.496049545,1935.52587891
35.5582798512,-83.496035545,1936.82922363
35.5583750502,-83.496028145,1937.84936523
35.5584704502,-83.496029245,1939.61633301
35.5585651502,-83.496040745,1941.02832031
35.5586612502,-83.496067145,1942.66503906
35.5587548493,-83.496101945,1944.17199707
35.5588494493,-83.4961334451,1945.67944336
35.5589477503,-83.4961490451,1947.46911621
35.5590242493,-83.4961404451,1948.67468262
35.5590998503,-83.4961245451,1949.76000977
35.5591766493,-83.4961211451,1951.16064453
35.5592566504,-83.4961442451,1952.79711914
35.5593317504,-83.4961804451,1953.89855957
