lat,lng,ele
35.5010369345,-83.6165658769,1508.28015137
35.5009510345,-83.6165795769,1508.18945312
35.5008650345,-83.6165933769,1507.01721191
35.5007928345,-83.6165983769,1506.52124023
35.5007205334,-83.6166033769,1506.90185547
35.5006483344,-83.6166083769,1508.12792969
35.5005540334,-83.6165942769,1507.24731445
35.5004596334,-83.6165801769,1506.52087402
35.5003790324,-83.6165554769,1504.98278809
35.5002984344,-83.6165308769,1502.36621094
35.5002177333,-83.6165098768,1500.53942871
35.5001371323,-83.6164888768,1499.56506348
35.5000564333,-83.6164678768,1498.5838623
35.4999814323,-83.6164617768,1497.78393555
35.4999065333,-83.6164556768,1496.37414551
35.4998315343,-83.6164495768,1494.91430664
35.4997538342,-83.6164966768,1494.83898926
35.4996762322,-83.6165437768,1493.13659668
35.4996117322,-83.6166077768,1492.29638672
35.4995472332,-83.6166718769,1490.47167969
35.4995038332,-83.6167328769,1489.21154785
35.4994605322,-83.6167939769,1488.11157227
35.4994171332,-83.6168549769,1486.64587402
35.4993749321,-83.6169307769,1485.57470703
35.4993326341,-83.6170065769,1484.62854004
35.4992904341,-83.617082377,1483.17980957
35.4992482341,-83.617158177,1481.59509277
35.4992195341,-83.617237177,1481.21459961
35.4991907341,-83.617316077,1479.95617676
35.4991620321,-83.617395077,1478.45251465
35.4991332341,-83.6174740771,1477.53491211
35.4990954331,-83.6175554771,1476.42102051
35.4990576331,-83.6176369771,1475.64428711
35.498996134,-83.6177010771,1474.44909668
35.498934633,-83.6177652771,1472.76733398
35.498873132,-83.6178293772,1471.3248291
35.498823932,-83.6178828772,1470.32653809
35.498774634,-83.6179363772,1469.23779297
35.498725434,-83.6179898772,1468.32141113
35.498661033,-83.6180502772,1466.93200684
35.4985965329,-83.6181105772,1465.60217285
35.4985321319,-83.6181709772,1464.16333008
35.4984710339,-83.6182167772,1462.87768555
35.4984100339,-83.6182624773,1461.97619629
35.4983489339,-83.6183082773,1461.17175293
35.4982790319,-83.6183427773,1459.63122559
35.4982092328,-83.6183772773,1458.33605957
35.4981393338,-83.6184117773,1456.97790527
35.4980622328,-83.6184367773,1455.28967285
35.4979850318,-83.6184618773,1453.8182373
35.4979079338,-83.6184869773,1452.80529785
35.4978307328,-83.6185119773,1451.7142334
35.4977582327,-83.6185316773,1450.50354004
35.4976856327,-83.6185512773,1449.35571289
35.4976131327,-83.6185709773,1448.3404541
35.4975345327,-83.6185941773,1447.1027832
35.4974558317,-83.6186172773,1445.68017578
35.4973772327,-83.6186404773,1443.8684082
35.4972956336,-83.6186635773,1441.94030762
35.4972139326,-83.6186865773,1440.86950684
35.4971323336,-83.6187096773,1440.14868164
35.4970423326,-83.6187067773,1438.609375
35.4969522326,-83.6187038773,1437.68139648
35.4968804326,-83.6186904773,1436.06689453
35.4968085325,-83.6186771773,1434.79125977
35.4967367315,-83.6186637773,1434.4074707
35.4966622335,-83.6186356773,1433.00048828
35.4965877335,-83.6186074772,1431.6953125
35.4965132325,-83.6185793772,1430.68969727
35.4964238335,-83.6185489772,1429.50769043
35.4963343335,-83.6185184772,1427.77380371
35.4962576334,-83.6185214772,1427.0123291
35.4961809334,-83.6185244772,1425.85351562
35.4961083324,-83.6185496772,1424.60693359
35.4960356324,-83.6185748772,1423.17480469
35.4959716314,-83.6186168772,1422.0814209
35.4959076324,-83.6186588772,1420.25048828
35.4958792333,-83.6187203772,1419.85644531
35.4958507323,-83.6187819773,1419.32226562
35.4958223333,-83.6188434773,1418.58435059
35.4957995323,-83.6189235773,1418.01586914
35.4957768323,-83.6190036773,1417.15087891
35.4957540313,-83.6190837773,1416.30554199
35.4957254323,-83.6191572774,1415.19348145
35.4956968313,-83.6192306774,1414.49926758
35.4956681323,-83.6193041774,1413.97460938
35.4956395333,-83.6193776774,1413.0435791
35.4956047333,-83.6194573774,1411.80371094
35.4955699313,-83.6195370775,1410.61804199
35.4955351312,-83.6196167775,1409.68640137
35.4955061322,-83.6197094775,1408.72338867
35.4954770322,-83.6198021775,1407.77038574
35.4954260332,-83.6198666775,1406.04418945
