lat,lng,ele
35.4568796282,-83.5178989454,642.883666992
35.4567814282,-83.5178518454,639.266357422
35.4566550292,-83.5178588454,638.000793457
35.4565920292,-83.5178569454,637.833190918
35.4564929281,-83.5178538454,637.329284668
35.4564384271,-83.5178741454,637.152648926
35.4563744291,-83.5179162454,635.997619629
35.4563275271,-83.5180029454,635.988098145
35.4562728291,-83.5180342454,634.265686035
35.4562278271,-83.5180328454,632.158508301
35.4561906281,-83.5180867454,632.294616699
35.4561441281,-83.5181514455,631.071350098
35.456097427,-83.5182270455,629.128234863
35.456050328,-83.5183247455,626.762207031
35.456040428,-83.5183685455,626.15411377
35.456021528,-83.5184120455,625.426452637
35.455985227,-83.5184218455,624.41394043
35.455877829,-83.5183854455,624.523010254
35.455779228,-83.5183603455,624.884399414
35.455716127,-83.5183584455,624.774047852
35.4556433269,-83.5183891455,623.914001465
35.4555794279,-83.5184312455,622.641113281
35.4554410269,-83.5185811455,622.252746582
35.4553309279,-83.5186769456,619.540771484
35.4552119278,-83.5187613456,621.557922363
35.4550937278,-83.5188127456,622.735961914
35.4550024288,-83.5188649456,622.165161133
35.4549569278,-83.5188855456,621.599487305
35.4549029278,-83.5188838456,620.452819824
35.4548583288,-83.5188604456,619.48425293
35.4547424267,-83.5188017456,619.168457031
35.4546446267,-83.5187326455,620.907043457
35.4545827277,-83.5186756455,621.777587891
