lat,lng,ele
35.5371144534,-83.3021540869,643.366455078
35.5371563534,-83.3023206869,644.329284668
35.5371889534,-83.302498087,645.684265137
35.5372949534,-83.302611387,647.84979248
35.5373379544,-83.3027228871,649.651245117
35.5374357545,-83.3027918871,651.973754883
35.5375059535,-83.3028931871,655.516967773
35.5376857525,-83.3029202872,660.305786133
35.5377747535,-83.3029779872,662.00958252
35.5378627545,-83.3030907872,663.606811523
35.5379589545,-83.3032479873,665.764770508
35.5380194536,-83.3033820873,669.697509766
35.5380366526,-83.3034266873,671.688415527
35.5380083535,-83.3034919873,673.83013916
35.5379628525,-83.3035127873,674.892822266
35.5378629535,-83.3035539874,677.474243164
35.5377996535,-83.3035632873,678.573303223
35.5377269525,-83.3035942874,679.485229492
