lat,lng,ele
35.4936553407,-83.3700467043,767.17779541
35.4937523417,-83.3700298043,768.539001465
35.4938488417,-83.3700106043,769.811706543
35.4939449418,-83.3699891043,770.880554199
35.4940038418,-83.3699743043,771.252685547
35.4940626418,-83.3699595043,771.609802246
35.4941558408,-83.3699348043,772.268066406
35.4942486418,-83.3699087042,771.336975098
35.4943422418,-83.3698851042,771.595947266
35.4944371419,-83.3698684042,772.601074219
35.4945333419,-83.3698631043,773.355041504
35.4946146429,-83.3698683043,773.455871582
35.4946953419,-83.3698788043,773.795593262
35.4947893419,-83.3699051043,774.121887207
35.494877842,-83.3699467043,774.602539062
35.494963041,-83.3699949043,774.74395752
35.495047942,-83.3700435043,775.220825195
35.495135941,-83.3700861044,775.632873535
35.495140542,-83.3700879044,775.657165527
35.495158742,-83.3700948044,775.717407227
35.495163242,-83.3700964044,775.723815918
35.495229742,-83.3701138044,776.274475098
35.495269841,-83.3701178044,776.53918457
35.495276543,-83.3701180044,776.586914062
35.495303643,-83.3701172044,776.93157959
35.4953955421,-83.3701043044,778.136962891
35.4954846411,-83.3700784044,778.655151367
35.4955563421,-83.3700352044,779.152648926
35.4956222421,-83.3699831044,779.223449707
35.4956946421,-83.3699413043,779.389953613
35.4957838421,-83.3699190043,780.625671387
35.4958755422,-83.3699135043,780.676147461
35.4959516422,-83.3699281044,780.825927734
35.4960249432,-83.3699540044,782.327270508
35.4960996422,-83.3699752044,782.128967285
35.4961771412,-83.3699883044,781.47052002
35.4962552422,-83.3699965044,781.460266113
35.4963336423,-83.3699931044,781.802734375
35.4964073423,-83.3699682044,781.781555176
35.4964772413,-83.3699336044,781.758300781
35.4965516433,-83.3699113044,782.036254883
35.4966245433,-83.3699165044,782.391418457
35.4966957433,-83.3699340044,782.509277344
35.4967671413,-83.3699507044,782.793823242
35.4968518414,-83.3699698044,783.053039551
35.4969379424,-83.3699778044,783.451293945
35.4970215424,-83.3699526044,783.992431641
35.4971014424,-83.3699165044,784.274414062
35.4971855424,-83.3698764044,784.743530273
35.4972686425,-83.3698343044,785.537353516
35.4973561415,-83.3698027044,785.700012207
35.4974549425,-83.3697931044,785.534118652
35.4975542415,-83.3697978044,786.101623535
35.4976536415,-83.3698004044,786.607055664
35.4977349426,-83.3697966044,787.041809082
35.4978161426,-83.3697915044,787.522216797
35.4978972426,-83.3697855044,788.187194824
35.4979874426,-83.3697758044,788.499755859
35.4980776436,-83.3697650044,788.918701172
35.4981682426,-83.3697604044,789.27722168
35.4982670427,-83.3697742044,790.395202637
35.4983661427,-83.3697773045,790.879760742
35.4984444427,-83.3697456044,791.157470703
35.4985139417,-83.3696975044,791.532043457
35.4985762417,-83.3696401044,792.375427246
35.4986235417,-83.3695699044,793.421142578
35.4986582428,-83.3694924044,793.64074707
35.4986937428,-83.3694152044,793.789001465
35.4987442428,-83.3693475043,794.501159668
35.4987999418,-83.3693072043,795.334472656
35.4988613418,-83.3692762043,795.7421875
35.4989263428,-83.3692536043,796.053955078
35.4990194438,-83.3692484043,796.97454834
35.4991122419,-83.3692613043,798.279602051
35.4992056429,-83.3692618044,799.506164551
35.4992908419,-83.3692410043,800.538757324
35.4993729439,-83.3692101043,800.720092773
35.4994508429,-83.3691698043,800.839904785
35.499528342,-83.3691108043,801.074279785
35.499598844,-83.3690434043,801.115112305
35.499671043,-83.3689779043,801.72064209
35.499733643,-83.3689338043,802.45690918
35.499797243,-83.3688911043,803.644226074
35.499854043,-83.3688399043,804.002502441
35.499902043,-83.3687668042,804.299377441
35.4999376441,-83.3686867042,804.676208496
35.4999693421,-83.3686050042,804.780151367
35.5000044441,-83.3685247042,805.264343262
35.5000440441,-83.3684419042,805.84173584
35.5000887441,-83.3683618041,806.124694824
35.5001478431,-83.3683058041,807.41986084
35.5002180431,-83.3682638041,808.647949219
35.5002851431,-83.3682172041,809.50402832
35.5003273432,-83.3681484041,809.811889648
35.5003380442,-83.3680605041,808.467346191
35.5003490432,-83.367961604,809.734863281
35.5003839432,-83.367887204,811.050231934
35.5004420432,-83.367829104,812.31439209
35.5005146432,-83.367790104,813.239807129
