lat,lng,ele
35.6189063457,-83.9238719738,362.478973389
35.6188538447,-83.9239409738,362.08480835
35.6188037457,-83.9240117738,361.586669922
35.6187510457,-83.9240895739,361.229980469
35.6187003466,-83.9241685739,360.941772461
35.6186542456,-83.9242504739,360.694152832
35.6186156466,-83.9243360739,360.399353027
35.6185890456,-83.9244117739,360.113037109
35.6185668446,-83.924488774,359.688659668
35.6185532456,-83.924560374,359.469055176
35.6185363456,-83.924631174,359.663299561
35.6184885446,-83.924714374,360.329772949
35.6184332446,-83.9247929741,360.393554688
35.6183953456,-83.9248706741,360.664031982
35.6183597445,-83.9249494741,360.711151123
35.6183106455,-83.9250202741,360.246459961
35.6182568445,-83.9250585741,360.227325439
35.6182006455,-83.9250935741,360.113250732
35.6181402455,-83.9251458741,360.3621521
35.6180809455,-83.9251995741,360.689208984
35.6180206445,-83.9252463742,360.569732666
35.6179614465,-83.9252945742,359.97052002
35.6178992444,-83.9253473742,359.198364258
35.6178504454,-83.9254119742,358.590576172
35.6178302454,-83.9254994742,358.181121826
35.6178044454,-83.9255694742,357.356994629
35.6177728454,-83.9256371743,356.50213623
35.6177441464,-83.9257060743,355.992431641
35.6177261454,-83.9257759743,355.9246521
35.6177107454,-83.9258464743,356.415618896
35.6176850464,-83.9259136743,356.945220947
35.6176415464,-83.9259695743,357.206298828
35.6175923463,-83.9260206744,356.987365723
35.6175389463,-83.9260730744,356.182739258
35.6174843463,-83.9261240744,355.274841309
35.6174352453,-83.9261804744,354.770812988
35.6174020453,-83.9262342744,354.335906982
35.6173694453,-83.9262884744,354.218017578
35.6173231453,-83.9263482744,353.947723389
35.6172726453,-83.9264044745,353.695922852
35.6172210443,-83.9264596745,353.133026123
35.6171687452,-83.9265116745,352.274688721
35.6171193462,-83.9265662745,351.706115723
35.6170807442,-83.9266305745,351.539276123
35.6170440442,-83.9266959745,351.396820068
35.6169980452,-83.9267573745,351.005950928
35.6169488452,-83.9268161746,350.861053467
35.6169044452,-83.9268786746,350.590454102
35.6168699452,-83.9269429746,350.382476807
35.6168381462,-83.9270086746,350.207183838
35.6168015451,-83.9270907746,350.186920166
35.6167621441,-83.9271714746,350.073272705
35.6167181451,-83.9272342747,349.829040527
35.6166689451,-83.9272930747,349.652862549
35.6166224461,-83.9273540747,349.439453125
35.6165826451,-83.9274175747,349.349700928
35.6165454441,-83.9274826747,349.255462646
35.6165096441,-83.9275485747,348.966339111
35.6164772451,-83.9276140748,348.721801758
35.616443345,-83.9276786748,348.645263672
35.616404746,-83.9277402748,348.149017334
35.616359345,-83.9277969748,347.854766846
35.616284245,-83.9278446748,347.394836426
35.616198845,-83.9278713748,346.96105957
35.616113545,-83.9278983748,346.247558594
35.6160425449,-83.9279338748,346.212646484
35.6159678449,-83.9279592748,346.05166626
35.6158951439,-83.9279514748,345.938720703
35.6158243449,-83.9279319748,345.678771973
35.6157426439,-83.9279106748,345.542907715
35.6156633459,-83.9278819748,345.35244751
35.6156095449,-83.9278531748,345.344940186
35.6155565449,-83.9278228748,345.15713501
35.6155083458,-83.9277973748,345.004272461
35.6154586448,-83.9277751747,344.812042236
35.6153784448,-83.9277579747,344.85559082
35.6152970448,-83.9277471747,344.92010498
35.6152312458,-83.9277339747,344.947357178
35.6151655438,-83.9277200747,345.092773438
35.6150997448,-83.9277068747,345.483795166
35.6150175437,-83.9276993747,346.159637451
35.6149382457,-83.9276788747,346.907073975
35.6148900437,-83.9276326747,347.023132324
35.6148413447,-83.9275870747,346.936798096
35.6147758457,-83.9275779746,347.660217285
35.6147096447,-83.9275893746,349.472961426
35.6146429457,-83.9275908746,350.954772949
35.6145624437,-83.9275658746,350.763214111
35.6144937436,-83.9275994746,351.971893311
35.6144341446,-83.9276494746,353.30368042
35.6143783456,-83.9276906747,353.869750977
35.6143239446,-83.9277337747,354.135101318
35.6142615446,-83.9277839747,354.155151367
35.6142041456,-83.9278397747,354.545837402
35.6141571456,-83.9279152747,356.265594482
35.6141103445,-83.9279908747,358.229248047
35.6140619455,-83.9280410747,358.117767334
35.6140089435,-83.9280864747,357.614562988
35.6139588445,-83.9281237748,357.857666016
35.6139079435,-83.9281600748,358.159759521
35.6138498445,-83.9282097748,358.755340576
35.6137885445,-83.9282550748,359.609222412
35.6137336445,-83.9282744748,360.051605225
35.6136793444,-83.9282952748,360.053955078
35.6136157444,-83.9283556748,360.135101318
35.6135591444,-83.9284232748,359.728240967
35.6135108444,-83.9284693748,358.46987915
35.6134666434,-83.9285192748,356.751251221
35.6134393454,-83.9285956749,356.017211914
35.6134242444,-83.9286759749,354.653503418
35.6133889434,-83.9287481749,353.978240967
35.6133068433,-83.9287893749,354.261199951
35.6132075443,-83.9287967749,355.10736084
35.6131438433,-83.9288097749,355.451446533
35.6130806443,-83.9288252749,354.509246826
35.6129946443,-83.9288441749,352.45413208
35.6129085453,-83.9288630749,350.6796875
35.6128445442,-83.9288751749,349.668395996
35.6127816452,-83.9288915749,349.004577637
35.6127072452,-83.9289306749,348.595672607
35.6126354442,-83.9289745749,348.42880249
35.6125852432,-83.9290002749,347.850006104
35.6125350432,-83.9290260749,347.646118164
35.6124787452,-83.9290547749,347.266143799
35.6124253452,-83.9290882749,346.655639648
35.6123695441,-83.929152275,345.710662842
