lat,lng,ele
35.7502699014,-83.2089556721,761.132202148
35.7502446014,-83.2088635721,760.357543945
35.7502244004,-83.2087705721,759.653442383
35.7502445024,-83.2086771721,758.261657715
35.7502639014,-83.208583672,757.382263184
35.7502592024,-83.208498472,757.034240723
35.7502452004,-83.208414072,756.173278809
35.7502415014,-83.208328772,754.739562988
35.7502560024,-83.2082571719,753.452392578
35.7502713024,-83.2081857719,752.552307129
35.7502741014,-83.2080973719,752.019592285
35.7502745024,-83.2080089719,751.414978027
35.7502852014,-83.2079244718,750.562438965
35.7502993014,-83.2078403718,749.35345459
35.7503062004,-83.2077554718,748.36706543
35.7503007024,-83.2077001718,747.759094238
35.7502992004,-83.2076447718,747.104431152
35.7503217014,-83.2075897718,746.091064453
35.7503463014,-83.2075354717,745.210266113
35.7503569015,-83.2074472717,743.639404297
35.7503221025,-83.2073799717,742.504882812
35.7502698004,-83.2073035717,741.866210938
35.7502258014,-83.2072224716,741.011230469
35.7502094004,-83.2071335716,740.782104492
35.7502377014,-83.2070679716,740.297973633
35.7502676015,-83.2070087716,739.971801758
35.7502940025,-83.2069479716,740.17779541
35.7503076015,-83.2068826715,740.843383789
35.7503130015,-83.2068161715,741.708557129
35.7503157015,-83.2067494715,742.009887695
35.7503193005,-83.2066657715,741.918395996
35.7503199025,-83.2065820715,741.628417969
35.7503135025,-83.2064986714,741.511962891
35.7502947005,-83.2064171714,741.478393555
35.7502710025,-83.2063601714,741.640380859
35.7502427015,-83.2063051714,741.868225098
35.7501885015,-83.2062272713,742.287963867
35.7501374025,-83.2061474713,742.683105469
35.7501114015,-83.2060529713,743.34197998
35.7500868015,-83.2059580713,744.669067383
35.7500434015,-83.2058683712,746.850341797
35.7500089014,-83.2058132712,747.986022949
35.7499641014,-83.2057666712,748.543457031
35.7499164014,-83.2057483712,748.925598145
35.7498654014,-83.2057418712,749.556884766
35.7498158014,-83.2057472712,750.305969238
35.7497661004,-83.2057501712,751.071350098
35.7497047024,-83.2057216712,751.752441406
35.7496502014,-83.2056805711,752.585205078
35.7495799014,-83.2056162711,753.87322998
35.7495175004,-83.2055441711,754.521179199
35.7494630013,-83.2054664711,754.703918457
35.7494122013,-83.205386371,755.117919922
35.7493698023,-83.205322171,755.752197266
35.7493276023,-83.205257771,756.34362793
35.7492861003,-83.205192971,756.678710938
35.7492457013,-83.205127471,756.632080078
35.7491904013,-83.2050493709,757.144470215
35.7491362003,-83.2049704709,758.716125488
35.7491060013,-83.2048803709,759.61126709
35.7491131013,-83.2048141709,759.214416504
35.7491174003,-83.2047479708,758.888000488
35.7490873023,-83.2046836708,759.488891602
35.7490476013,-83.2046243708,760.19543457
35.7490083023,-83.2045487708,760.703491211
35.7489696013,-83.2044727708,760.79675293
35.7489255013,-83.2043998707,760.493835449
35.7488608013,-83.2043250707,760.532531738
35.7487890013,-83.2042569707,760.304016113
35.7487221012,-83.2041841707,760.029052734
35.7486791012,-83.2041301706,759.890808105
35.7486431002,-83.2040714706,759.614807129
35.7486214002,-83.2040003706,759.159118652
35.7486097012,-83.2039267706,759.43347168
35.7486058012,-83.2038382705,760.78137207
35.7486123012,-83.2037497705,760.883605957
35.7486235012,-83.2036617705,760.883972168
35.7486343013,-83.2035952705,761.022094727
35.7486479003,-83.2035293705,760.960632324
35.7486632023,-83.2034637704,760.937927246
35.7486790013,-83.2033913704,761.246643066
35.7487019003,-83.2033211704,761.588928223
35.7487477013,-83.2032336704,761.117370605
35.7488112003,-83.2031588704,760.450134277
