lat,lng,ele
35.7532727021,-83.2057475714,694.990112305
35.7533201031,-83.2056883714,694.81262207
35.7533578022,-83.2056225714,694.519714355
35.7533845022,-83.2055515713,694.052856445
35.7533999022,-83.2054695713,694.399719238
35.7534056022,-83.2053862713,695.145812988
35.7533976022,-83.2053156713,695.877441406
35.7533842022,-83.2052456712,696.307312012
35.7533914032,-83.2051757712,696.106201172
35.7534192032,-83.2051322712,695.178771973
35.7534381012,-83.2050885712,695.428039551
35.7534857032,-83.2050942712,695.390808105
35.7535276012,-83.2051242712,694.905944824
35.7535701012,-83.2051894712,694.096313477
35.7536062012,-83.2052590713,693.222961426
35.7536719022,-83.2053184713,693.127197266
35.7537301022,-83.2053841713,692.557189941
35.7537457022,-83.2054445713,691.866577148
35.7537549022,-83.2055064713,691.318725586
35.7537624032,-83.2055851714,690.733154297
35.7537791012,-83.2056619714,689.86541748
35.7538210012,-83.2057094714,689.23046875
35.7538676033,-83.2057528714,688.875061035
35.7539092013,-83.2058273714,688.22833252
35.7539550023,-83.2058990715,687.512878418
35.7540010023,-83.2059331715,686.994384766
35.7540531023,-83.2059570715,686.058410645
35.7541018033,-83.2059695715,685.606994629
35.7541520033,-83.2059708715,685.542236328
35.7542100023,-83.2059347715,685.87701416
35.7542704023,-83.2059077715,685.703918457
35.7543236033,-83.2059534715,685.133239746
35.7543192013,-83.2060194715,685.189697266
35.7543122013,-83.2060858715,685.231750488
35.7543560013,-83.2061534716,684.68157959
35.7543994013,-83.2062430716,683.976928711
35.7544248023,-83.2063322716,683.217956543
35.7545149024,-83.2063347716,682.68157959
35.7545596024,-83.2063633716,682.083007812
35.7546040014,-83.2063924717,681.291564941
35.7546739034,-83.2063894717,680.444702148
35.7547391034,-83.2063615717,680.846130371
35.7548035024,-83.2063316716,680.82800293
35.7548521024,-83.2063070716,681.061157227
35.7549034014,-83.2062901716,680.872436523
35.7549547025,-83.2063019716,680.351379395
35.7550019025,-83.2063260717,679.737060547
35.7550629015,-83.2063734717,678.899597168
35.7551172015,-83.2064287717,678.091247559
35.7551660035,-83.2064851717,677.30670166
35.7552142025,-83.2065420717,676.510742188
35.7552585015,-83.2065875718,675.796508789
35.7553100025,-83.2065732717,675.45489502
35.7553584035,-83.2065460717,675.167114258
35.7554272015,-83.2065459717,674.417480469
35.7554959016,-83.2065553718,673.322692871
35.7555570026,-83.2065294718,672.84588623
35.7555756026,-83.2064967717,672.650939941
35.7556074036,-83.2064530717,672.336486816
35.7556403036,-83.2064100717,672.342346191
35.7556899016,-83.2063434717,672.989440918
35.7557241016,-83.2062686717,672.155151367
35.7557255026,-83.2061912717,671.910888672
35.7557177016,-83.2061246716,671.561889648
35.7556642026,-83.2060900716,672.300720215
35.7556006026,-83.2060934716,673.539611816
35.7555377036,-83.2061086716,674.304260254
35.7554791026,-83.2061073716,674.934692383
35.7554206026,-83.2061054716,675.637023926
35.7553709035,-83.2061150716,676.162231445
35.7553213025,-83.2061137716,676.664978027
35.7552682025,-83.2060569716,676.812255859
35.7552389035,-83.2059946716,677.138183594
35.7552074025,-83.2059336716,678.203979492
35.7551435025,-83.2058979715,678.754638672
35.7550733025,-83.2058746715,679.595825195
35.7550218025,-83.2058554715,680.505371094
35.7549750015,-83.2058276715,681.310180664
35.7549311025,-83.2057601715,681.731628418
